dataset,formule_candidate,origine,qualite_heuristique
GWmodel::EWHP,Bld60s ~ Bld70s + Bld80s,papier,a_valider
GWmodel::LondonHP,PURCHASE ~ FLOORSZ + BATH2 + BEDS2 + CENTHEAT + GARAGE1 + BLDPWW1 + BLDINTW + BLD60S + BLD70S + BLD80S,papier,a_valider
GWmodel::LondonHP,PURCHASE ~ FLOORSZ + PROF + BATH2,papier,a_valider
SpatialEpi::pennLC_sf,houseValue ~ age + nBedrooms m1 <-lm,papier,suspecte (texte casse)
SpatialEpi::pennLC_sf,population ~ county + age + cases,papier,a_valider
agridat::lasrosas.corn,yield ~ 1 + nitro + I(nitro^2,doc_package,a_valider
agridat::wallace.iowaland,fedval ~ yield + corn + grain + untillable,doc_package,a_valider
geodatasets::cincinnati,TRACT ~ WHITE + POPULATION + HOUSEHOLDS + DENSITY,papier,a_valider
geodatasets::home_sales,price ~ bedrooms + bathrooms + sqft_lot + sqft_lot15 + grade,papier,a_valider
geodatasets::nyc_neighborhoods,american ~ households + bachelor,papier,a_valider
gstat::meuse.all,soil ~ sample + lead,papier,a_valider
libpysal::NYC Socio-Demographics,american ~ households + bachelor,papier,a_valider
spDataLarge::lsl,lslpts ~ slope + cplan + cprof + elev + log10_carea,papier,a_valider
spaMM::Leuca,numalive ~ ldose + sex,papier,a_valider
spaMM::Leuca,sex ~ male + female,papier,a_valider
