jeux,papier_ou_livre,annee,doi_ou_lien,type_preuve,telechargeable,note
"GWmodel::GeorgiaCounties, USelect, LondonBorough (+ DubVoter, EWHP, LondonHP)","Gollini, Lu, Charlton, Brunsdon & Harris — GWmodel: An R Package for Exploring Spatial Heterogeneity Using Geographically Weighted Models",2015,10.18637/jss.v063.i17,modelisation GWR (article JSS),oui (open access JSS),Couvre tous les jeux GWmodel. PDF libre.
"GWmodel (idem, fond methodologique)","Fotheringham, Brunsdon & Charlton — Geographically Weighted Regression: The Analysis of Spatially Varying Relationships (Wiley)",2002,ISBN 9780471496168,livre de reference GWR,manuel (achat/biblio),Source historique des donnees Georgia.
GWmodel (topics avances),"Lu, Harris, Charlton & Brunsdon — The GWmodel R package: further topics for exploring spatial heterogeneity",2014,10.1080/10095020.2014.917453,modelisation GWR,oui,Complement au JSS.
spDataLarge::pol_pres15,Kopczewska — Applied Spatial Statistics and Econometrics: Data Analysis in R (Routledge),2020,ISBN 9780367470760,modelisation econometrie spatiale (livre),manuel (achat/biblio),Utilise explicitement pol_pres15.
spDataLarge::pol_pres15 (alt.),"Pebesma & Bivand — Spatial Data Science: With Applications in R (CRC), ch.14 Areal",2023,https://r-spatial.org/book/,modelisation areale,oui (libre en ligne),Chapitre areal utilise pol_pres15.
gstat::DE_RB_2005,"Graler, Pebesma & Heuvelink — Spatio-Temporal Interpolation using gstat (The R Journal 8(1))",2016,https://journal.r-project.org/articles/RJ-2016-014/ (RJ-2016-014),krigeage spatio-temporel,oui (open access),Application directe sur PM10 rural Allemagne 2005.
gstat::DE_RB_2005 (classes ST),Pebesma — spacetime: Spatio-Temporal Data in R (JSS 51(7)),2012,10.18637/jss.v051.i07,structure de donnees ST,oui (open access JSS),Cadre spacetime du jeu.
spData::meuse.grid_ll,Rikken & Van Rijn — Soil pollution with heavy metals ... floodplains of the Meuse,1993,(rapport Utrecht Univ.),source des donnees meuse,rapport (difficile),Meme source que meuse ; voir aussi vignettes gstat/sp (Pebesma).
spData::properties,(jeu pedagogique synthetique de spData),,,aucun papier de modelisation,n/a,Donnee d'illustration : pas de papier attendu.
ade4::oribatid,"Borcard & Legendre — Environmental control and spatial structure in ecological communities (Env. Ecol. Stat. 1:37-61) ; Borcard, Legendre & Drapeau — Partialling out the spatial component (Ecology 73:1045-1055)",1994,10.2307/1940179 (Ecology 1992),partition de variation spatiale,oui,Jeu spatial-ecologie tres cite.
