source_language,package,dataset,modalite_spatiale,reponse,n_papiers_kg,type_preuve_kg,doi_kg,titre_kg
R,spdep,oldcol,point,CRIME,1,doi,10.1007/978-94-015-7799-1,Spatial econometrics: methods and models doi:10.1007/978-94-015-7799-1
R,spData,house,point,price,4,doi,10.1080/13658816.2013.865739,Geographically weighted regression with a non-Euclidean distance metric: a case study using hedonic house price data doi:10.1080/13658816.20
R,spData,depmunic,polygone,population,1,doi,10.1007/s13253-023-00571-0,Spatial Statistics for Data Science doi:10.1007/s13253-023-00571-0
R,spData,nz,polygone,Population,4,catalog,,Fundamental investigation on the preparation of gradient structures by sedimentation of different powder fractions under gravity. _Proc. of 
R,spData,properties,point,price,0,,,
R,spData,world,polygone,pop,2,doi,10.1007/s13253-023-00571-0,Spatial Statistics for Data Science doi:10.1007/s13253-023-00571-0
R,spDataLarge,lsl,point,lslpts(cand),2,doi,10.1016/j.geomorph.2011.10.029,Geomorphic process rates of landslides along a humidity gradient in the tropical Andes doi:10.1016/j.geomorph.2011.10.029
R,spDataLarge,pol_pres15,polygone,I_turnout,0,,,
R,GWmodel,DubVoter,polygone,LARent,1,catalog,,Turnout or turned off? Electoral participation in Dublin in the early 21st Century
R,GWmodel,GeorgiaCounties,polygone,,0,,,
R,GWmodel,USelect,polygone,unemploy,0,,,
R,GWmodel,EWHP,point,PurPrice,2,doi,10.1080/13658816.2013.865739,Geographically weighted regression with a non-Euclidean distance metric: a case study using hedonic house price data doi:10.1080/13658816.20
R,GWmodel,LondonBorough,polygone,,0,,,
R,GWmodel,LondonHP,point,UNEMPLOY,2,doi,10.1080/13658816.2013.865739,Geographically weighted regression with a non-Euclidean distance metric: a case study using hedonic house price data doi:10.1080/13658816.20
R,gstat,DE_RB_2005,point,PM10,0,,,
R,gstat,jura,point,Cd,1,catalog,,"Geostatistics for Natural Resources Evaluation. Oxford Univ. Press, New-York, 483 p. Appendix C describes (and gives) the Jura data set. Att"
R,gstat,meuse.all,point,cadmium,2,catalog,,Principles of Geographical Information Systems. Oxford University Press.
R,gstat,oxford,point,VAL1,1,catalog,,"Principles of Geographical Information Systems. Oxford University Press. | Data: 126 soil augerings on a 100 x 100m square grid, with 6 colu"
R,sp,meuse,point,cadmium,4,doi,10.1007/s13253-023-00571-0,Spatial Statistics for Data Science doi:10.1007/s13253-023-00571-0
R,sp,meuse.grid,grille,,1,doi,10.1007/s13253-023-00571-0,Spatial Statistics for Data Science doi:10.1007/s13253-023-00571-0
R,sp,meuse.grid_ll,grille,,0,,,
R,sfdep,guerry_nb,polygone,count,0,,,
R,surveillance,hagelloch,point,,1,doi,10.18637/jss.v077.i11,Spatio-Temporal Analysis of Epidemic Phenomena Using the R Package surveillance doi:10.18637/jss.v077.i11
R,surveillance,imdepi,point(ST),,1,doi,10.1111/j.1541-0420.2011.01684.x,A Space–Time Conditional Intensity Model for Invasive Meningococcal Disease Occurrence doi:10.1111/j.1541-0420.2011.01684.x
R,SpatialEpi,pennLC_sf,polygone,cases,1,tei,,Spatial Data Analysis with R
R,spatstat.data,nbfires,point,,1,doi,10.1007/s10651-007-0085-1,"197 - 223, 'DOI:10.1007/s10651-007-0085-1'. Thomson, D. B., Mephan, M. P., and Steeves, R. R. (1977) The stereographic double projection. Te"
R,spaMM,Leuca,point,,2,doi,10.1214/aos/1176347963.pdf,Notes on the earth package doi:10.1214/aos/1176347963.pdf
R,spaMM,Loaloa,point,,1,catalog,,"Model-based geostatistics, Springer series in statistics, Springer, New York. Diggle, P. J., Thomson, M. C., Christensen, O. F., Rowlingson,"
R,spaMM,arabidopsis,point,,1,doi,10.1111/ecog.00566,"A map of local adaptation in Arabidopsis thaliana. Science 334: 86-89. Hancock, A. M., Brachi, B., Faure, N., Horton, M. W., Jarymowycz, L. "
R,ade4,atlas,point,,0,,,
R,ade4,atya,point,,0,,,
R,ade4,avijons,point,,0,,,
R,ade4,buech,point,,0,,,
R,ade4,butterfly,point,,0,,,
R,ade4,chevaine,point,,1,catalog,,"Spatial aspects of genetic differentiation of the European chub in the Rhone River basin. _Journal of Fish Biology_, *49*, 714-726. See a da"
R,ade4,doubs,point,,0,,,
R,ade4,elec88,point,,0,,,
R,ade4,ggtortoises,point,,0,,,
R,ade4,irishdata,point,sales,1,catalog,,"The contiguity ratio and statistical mapping. _The incorporated Statistician_, *5*, 3, 115-145. Cliff, A.D. and Ord, J.K. (1973) _Spatial au"
R,ade4,julliot,point,,2,doi,10.1111/mec.15833,Sex‐specific spatial variation in fitness in the highly dimorphic Leucadendron rubrum doi:10.1111/mec.15833
R,ade4,jv73,point,,0,,,
R,ade4,kcponds,point,,0,,,
R,ade4,macon,point,,0,,,
R,ade4,mafragh,point,,1,doi,10.1111/j.1365-2745.2010.01743.x,Composition et d<c3><a9>terminisme de la v<c3><a9>g<c3><a9>tation d'une plaine c<c3><b4>ti<c3><a8>re mar<c3><a9>cageuse : La Mafragh (Annaba
R,ade4,oribatid,point,,0,,,
R,ade4,pcw,point,,1,catalog,,"Community ecology in the age of multivariate multiscale spatial analysis. _Ecological Monographs_, *82*, 257-275. | Condit, R., N. Pitman, E"
R,ade4,sarcelles,point,,0,,,
R,ade4,t3012,point,,0,,,
R,ade4,tintoodiel,point,Cu,0,,,
R,ade4,vegtf,point,,1,catalog,,Spatial ordination of vegetation data using a generalization of Wartenberg's multivariate spatial correlation. _Journal of vegetation scienc
R,ade4,westafrica,a_determiner,,0,,,
R,ade4,zealand,point,,0,,,
R,dismo,acaule,point,,0,,,
R,HistData,Snow.polygons,polygone,,1,catalog,,"_Cartographies of Disease: Maps, Mapping, and Medicine_. ESRI Press. ISBN: 9781589481206. Koch, T. (2004). The Map as Intent: Variations on "
R,agridat,gartner.corn,point,,1,doi,10.1016/j.fcr.2020.107783,"Novel approach to the analysis of spatially-varying treatment effects in on-farm experiments. Field Crops Research, 255, 15 September 2020, "
R,agridat,lasrosas.corn,point,yield,1,doi,10.1111/j.0002-9092.2004.00610.x,Nitrogen management in corn with a spatial regression model. Proceedings of the Fifth International Conference on Precision Agriculture. Ans
R,agridat,ortiz.tomato.covs,point,env,1,doi,10.1007/s10681-006-9248-7,"Studying the Effect of Environmental Variables On the Genotype x Environment Interaction of Tomato. Euphytica, 153, 119-134. https://doi.org"
R,agridat,usgs.herbicides,point,,1,catalog,,""". U.S. Geological Survey Open File Report 03-217. Herbicide data from table 5, page 30-37. Site coordinates page 7-8. https://ks.water.usgs"
R,agridat,wallace.iowaland,point,fedval,1,doi,10.2307/3138610,"Comparative Farm-Land Values in Iowa. _The Journal of Land & Public Utility Economics_, 2, 385-392. Page 387-388. https://doi.org/10.2307/31"
Python,geodatasets,airbnb,polygone,response_r,0,,,
Python,geodatasets,charleston1,polygone,TOT_POP,0,,,
Python,geodatasets,charleston2,polygone,POP2001,0,,,
Python,geodatasets,chicago_commpop,polygone,POP2010,0,,,
Python,geodatasets,chicago_health,polygone,Pop2012,0,,,
Python,geodatasets,chile_labor,polygone,pop_1982,0,,,
Python,geodatasets,cincinnati,polygone,POPULATION,2,doi,10.1016/j.compenvurbsys.2022.101845,Extracting spatial effects from machine learning model using local interpretation method: An example of SHAP and XGBoost doi:10.1016/j.compe
Python,geodatasets,guerry,polygone,Pop1831,1,doi,10.1214/10-aoas356,"A Revisit Of Guerry's Data: Introducing Spatial Constraints In Multivariate Analysis. _The Annals of Applied Statistics_, Vol. 5, No. 4, 227"
Python,geodatasets,health,polygone,cty_pop200,1,doi,10.1214/aos/1176347963.pdf,Notes on the earth package doi:10.1214/aos/1176347963.pdf
Python,geodatasets,health_indicators,polygone,Gener_Rate,0,,,
Python,geodatasets,hickory1,polygone,tot_pop,0,,,
Python,geodatasets,hickory2,polygone,POP2001,0,,,
Python,geodatasets,home_sales,point,price,2,doi,10.1080/13658816.2024.2342319,SGWR: similarity and geographically weighted regression doi:10.1080/13658816.2024.2342319
Python,geodatasets,lansing1,polygone,TOT_POP,0,,,
Python,geodatasets,lansing2,polygone,POP2001,0,,,
