"site_id","state_code","county_code","site_num","latitude","longitude","n_daily_observations","no2_mean_2016","measurement_column","response_units","no2_grid_prediction_2016","no2_grid_distance_m","elevation_m_usgs_epqs","power_t2m_mean_c","power_rh2m_mean_pct","power_ws10m_mean_m_s","power_prectotcorr_sum_mm","power_swdwn_mean_mj_m2_day","power_ps_mean_kpa","nlcd_land_cover_code","nlcd_land_cover_label","nlcd_developed","nlcd_forest","nlcd_agriculture","nlcd_water","road_density_primary_secondary_1km_m_per_km2","road_density_primary_secondary_10km_m_per_km2","pollutant","year","source_observations","source_grid_prediction"
"25-009-2006","25","009","2006",42.474642,-70.970816,361,5.2087492132964,"Arithmetic Mean","ppb",16.38435,3734.09925160393,47.686893463,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.3174043715847,100.725027322404,22,"Developed, Low Intensity",1,0,0,0,0,1540.32554789903,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-009-4005","25","009","4005",42.814412,-70.817783,356,2.72062126123596,"Arithmetic Mean","ppb",7.37556,6540.9289508039,3.8289361,10.0617759562842,80.0157650273224,4.3620218579235,1064.42,14.3174043715847,101.318005464481,23,"Developed, Medium Intensity",1,0,0,0,0,508.036195721976,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-013-0008","25","013","0008",42.19438,-72.555112,366,6.3396263579235,"Arithmetic Mean","ppb",16.91768,8127.16326574771,85.060821533,10.3135792349727,75.5615300546448,2.17071038251366,924.19,14.3317213114754,99.6968306010929,22,"Developed, Low Intensity",1,0,0,0,0,1462.32720404388,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-013-0016","25","013","0016",42.108992,-72.590803,366,11.1265455819672,"Arithmetic Mean","ppb",24.73493,4396.88257037035,27.273067474,10.3135792349727,75.5615300546448,2.17071038251366,924.19,14.3317213114754,99.6968306010929,24,"Developed, High Intensity",1,0,0,0,2875.63961436765,1530.66748976457,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-015-4002","25","015","4002",42.298493,-72.334079,357,2.7975467535014,"Arithmetic Mean","ppb",6.5976,4224.74528641926,307.234741211,9.1455737704918,76.3298907103825,2.23830601092896,902.66,14.3317213114754,98.2189344262295,41,"Deciduous Forest",0,1,0,0,0,423.339621880468,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-021-3003","25","021","3003",42.211774,-71.11397,366,3.80590398360656,"Arithmetic Mean","ppb",13.48306,5013.11023071985,188.645233154,10.8580601092896,76.7976502732241,2.55934426229508,959.2,14.342349726776,100.837404371585,22,"Developed, Low Intensity",1,0,0,0,3256.01732454226,1757.1642412991,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-025-0002","25","025","0002",42.348873,-71.097163,366,15.0702683087432,"Arithmetic Mean","ppb",13.48306,12710.5874530508,4.350067616,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.342349726776,100.725027322404,24,"Developed, High Intensity",1,0,0,0,9091.26690951874,2717.14727865356,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-025-0042","25","025","0042",42.3295,-71.0826,360,13.2167125166667,"Arithmetic Mean","ppb",13.48306,11358.1373423165,7.319979668,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.342349726776,100.725027322404,24,"Developed, High Intensity",1,0,0,0,1453.92793401488,2442.19410481738,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-025-0044","25","025","0044",42.325186,-71.056061,358,14.8986742988827,"Arithmetic Mean","ppb",13.48306,12313.58215284,4.05772686,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.342349726776,100.725027322404,24,"Developed, High Intensity",1,0,0,0,8914.70742787208,2325.02625594373,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
"25-027-0023","25","027","0023",42.263955,-71.794322,359,12.2757853342618,"Arithmetic Mean","ppb",14.18073,7049.31955316644,148.452529907,9.58732240437159,75.8207650273224,2.21920765027322,896.49,14.342349726776,99.1377868852459,22,"Developed, Low Intensity",1,0,0,0,3432.57999352344,1586.7954308822,"no2",2016,"EPA AirData daily_42602_2016.zip","paper_no2_grid.rds"
