"site_id","state_code","county_code","site_num","latitude","longitude","n_daily_observations","o3_mean_2016","measurement_column","response_units","o3_grid_prediction_2016","o3_grid_distance_m","elevation_m_usgs_epqs","power_t2m_mean_c","power_rh2m_mean_pct","power_ws10m_mean_m_s","power_prectotcorr_sum_mm","power_swdwn_mean_mj_m2_day","power_ps_mean_kpa","nlcd_land_cover_code","nlcd_land_cover_label","nlcd_developed","nlcd_forest","nlcd_agriculture","nlcd_water","road_density_primary_secondary_1km_m_per_km2","road_density_primary_secondary_10km_m_per_km2","pollutant","year","source_observations","source_grid_prediction"
"25-001-0002","25","001","0002",41.975804,-70.023598,362,34.9109198895028,"Arithmetic Mean","ppb_converted_from_ppm",39.06187,17167.5518791435,40.092689514,11.2257650273224,81.7703825136612,6.77713114754098,1167.38,14.7567759562842,101.591475409836,22,"Developed, Low Intensity",1,0,0,0,337.919670930918,89.5068723693565,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-005-1004","25","005","1004",41.685707,-71.169235,365,31.8075890410959,"Arithmetic Mean","ppb_converted_from_ppm",38.42928,6476.09069953824,54.578548431,11.5578415300546,78.9062568306011,3.83677595628415,1002.09,15.1227595628415,101.441038251366,24,"Developed, High Intensity",1,0,0,0,3071.86930411532,1019.53567186806,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-005-1006","25","005","1006",41.645381,-70.897504,365,30.5298876712329,"Arithmetic Mean","ppb_converted_from_ppm",38.56366,12496.0065912658,8.616986275,11.6473224043716,80.4364207650273,6.41073770491803,1067.6,14.7567759562842,101.551010928962,24,"Developed, High Intensity",1,0,0,0,1270.85136563978,654.768720005254,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-007-0001","25","007","0001",41.330469,-70.785225,363,34.4332947658402,"Arithmetic Mean","ppb_converted_from_ppm",38.70937,10551.4200610592,0.530555546,11.6473224043716,80.4364207650273,6.41073770491803,1067.6,14.7567759562842,101.551010928962,95,"Emergent Herbaceous Wetlands",0,0,0,0,0,0,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-009-2006","25","009","2006",42.474642,-70.970816,363,31.8708374655647,"Arithmetic Mean","ppb_converted_from_ppm",37.20658,8375.00515242034,47.686893463,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.3174043715847,100.725027322404,22,"Developed, Low Intensity",1,0,0,0,0,1540.32554789903,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-009-4005","25","009","4005",42.814412,-70.817783,363,32.3200082644628,"Arithmetic Mean","ppb_converted_from_ppm",38.22212,2786.88771383653,3.8289361,10.0617759562842,80.0157650273224,4.3620218579235,1064.42,14.3174043715847,101.318005464481,23,"Developed, Medium Intensity",1,0,0,0,0,508.036195721976,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-009-5005","25","009","5005",42.770837,-71.10229,366,29.1674371584699,"Arithmetic Mean","ppb_converted_from_ppm",37.35998,5606.57412925503,55.108531952,9.44800546448087,77.2462295081967,2.27655737704918,912.5,14.342349726776,100.288169398907,21,"Developed, Open Space",1,0,0,0,2554.46631234606,1088.91837595372,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-011-2005","25","011","2005",42.605816,-72.596689,364,25.4562472527473,"Arithmetic Mean","ppb_converted_from_ppm",37.25471,8967.8294876034,82.391265869,9.1455737704918,76.3298907103825,2.23830601092896,902.66,14.3317213114754,98.2189344262295,23,"Developed, Medium Intensity",1,0,0,0,2974.26052313969,725.666369354542,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-013-0008","25","013","0008",42.19438,-72.555112,354,30.205854519774,"Arithmetic Mean","ppb_converted_from_ppm",39.17743,6348.79048802952,85.060821533,10.3135792349727,75.5615300546448,2.17071038251366,924.19,14.3317213114754,99.6968306010929,22,"Developed, Low Intensity",1,0,0,0,0,1462.32720404388,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-015-4002","25","015","4002",42.298493,-72.334079,360,35.1016791666667,"Arithmetic Mean","ppb_converted_from_ppm",39.79123,11596.0095310679,307.234741211,9.1455737704918,76.3298907103825,2.23830601092896,902.66,14.3317213114754,98.2189344262295,41,"Deciduous Forest",0,1,0,0,0,423.339621880468,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-017-0009","25","017","0009",42.62668,-71.362068,365,28.7582876712329,"Arithmetic Mean","ppb_converted_from_ppm",37.70906,19731.4992998724,47.640415192,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.342349726776,100.725027322404,24,"Developed, High Intensity",1,0,0,0,3431.05538524291,1239.28530412503,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-021-3003","25","021","3003",42.211774,-71.11397,366,34.8165765027322,"Arithmetic Mean","ppb_converted_from_ppm",39.09065,10452.5401367042,188.645233154,10.8580601092896,76.7976502732241,2.55934426229508,959.2,14.342349726776,100.837404371585,22,"Developed, Low Intensity",1,0,0,0,3256.01732454226,1757.1642412991,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-023-0005","25","023","0005",42.065106,-71.012129,365,28.4853178082192,"Arithmetic Mean","ppb_converted_from_ppm",38.24008,6114.50549800965,23.621679306,10.8580601092896,76.7976502732241,2.55934426229508,959.2,14.342349726776,100.837404371585,22,"Developed, Low Intensity",1,0,0,0,1347.64122836923,1263.35788043536,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-025-0042","25","025","0042",42.3295,-71.0826,363,24.9823829201102,"Arithmetic Mean","ppb_converted_from_ppm",34.96494,6341.47136892522,7.319979668,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.342349726776,100.725027322404,24,"Developed, High Intensity",1,0,0,0,1453.92793401488,2442.19410481738,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-027-0015","25","027","0015",42.274319,-71.875511,366,33.9225136612022,"Arithmetic Mean","ppb_converted_from_ppm",39.38893,14724.8149210689,304.632904053,9.58732240437159,75.8207650273224,2.21920765027322,896.49,14.342349726776,99.1377868852459,24,"Developed, High Intensity",1,0,0,0,799.131693128638,1147.79564137386,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
"25-027-0024","25","027","0024",42.099699,-71.619399,366,29.2305956284153,"Arithmetic Mean","ppb_converted_from_ppm",39.37757,3654.80590414063,77.424217224,10.1626775956284,76.545,2.22478142076503,962.88,14.342349726776,99.5974863387978,22,"Developed, Low Intensity",1,0,0,0,0,752.81631325676,"o3",2016,"EPA AirData daily_44201_2016.zip","paper_o3_grid.rds"
