"site_id","state_code","county_code","site_num","latitude","longitude","n_daily_observations","pm25_mean_2016","measurement_column","response_units","pm25_grid_prediction_2016","pm25_grid_distance_m","elevation_m_usgs_epqs","power_t2m_mean_c","power_rh2m_mean_pct","power_ws10m_mean_m_s","power_prectotcorr_sum_mm","power_swdwn_mean_mj_m2_day","power_ps_mean_kpa","nlcd_land_cover_code","nlcd_land_cover_label","nlcd_developed","nlcd_forest","nlcd_agriculture","nlcd_water","road_density_primary_secondary_1km_m_per_km2","road_density_primary_secondary_10km_m_per_km2","pollutant","year","source_observations","source_grid_prediction"
"25-003-0006","25","003","0006",42.452017,-73.255089,360,6.76251903472222,"Arithmetic Mean","micrograms_per_cubic_meter",4.2142,11266.2334656726,316.410644531,8.60844262295082,77.9068306010929,2.29021857923497,904.88,14.2322950819672,97.3735792349727,24,"Developed, High Intensity",1,0,0,0,3826.3728006071,486.525419651411,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-003-5001","25","003","5001",42.448009,-73.254108,113,5.96106194690265,"Arithmetic Mean","micrograms_per_cubic_meter",4.2142,10829.268204882,314.615081787,8.60844262295082,77.9068306010929,2.29021857923497,904.88,14.2322950819672,97.3735792349727,24,"Developed, High Intensity",1,0,0,0,4500.76021908765,493.732547785017,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-005-1004","25","005","1004",41.685707,-71.169235,358,5.25080363081937,"Arithmetic Mean","micrograms_per_cubic_meter",4.99073,14478.3617645805,54.578548431,11.5578415300546,78.9062568306011,3.83677595628415,1002.09,15.1227595628415,101.441038251366,24,"Developed, High Intensity",1,0,0,0,3071.86930411532,1019.53567186806,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-009-2006","25","009","2006",42.474642,-70.970816,361,5.20926177146814,"Arithmetic Mean","micrograms_per_cubic_meter",4.55787,3734.09925160393,47.686893463,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.3174043715847,100.725027322404,22,"Developed, Low Intensity",1,0,0,0,0,1540.32554789903,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-009-5005","25","009","5005",42.770837,-71.10229,349,5.14021078366762,"Arithmetic Mean","micrograms_per_cubic_meter",5.79014,12520.9136983108,55.108531952,9.44800546448087,77.2462295081967,2.27655737704918,912.5,14.342349726776,100.288169398907,21,"Developed, Open Space",1,0,0,0,2554.46631234606,1088.91837595372,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-009-6001","25","009","6001",42.698215,-71.164413,113,5.24247787610619,"Arithmetic Mean","micrograms_per_cubic_meter",5.66021,12161.2114453385,19.21913147,10.3731693989071,76.4662021857924,2.58325136612022,923.43,14.342349726776,100.725027322404,23,"Developed, Medium Intensity",1,0,0,0,2416.60301025127,1283.73508641506,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-011-2005","25","011","2005",42.605816,-72.596689,343,5.02218528231293,"Arithmetic Mean","micrograms_per_cubic_meter",4.48026,10298.3261883183,82.391265869,9.1455737704918,76.3298907103825,2.23830601092896,902.66,14.3317213114754,98.2189344262295,23,"Developed, Medium Intensity",1,0,0,0,2974.26052313969,725.666369354542,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-013-0008","25","013","0008",42.19438,-72.555112,120,5.57041666666667,"Arithmetic Mean","micrograms_per_cubic_meter",5.54606,8127.16326574771,85.060821533,10.3135792349727,75.5615300546448,2.17071038251366,924.19,14.3317213114754,99.6968306010929,22,"Developed, Low Intensity",1,0,0,0,0,1462.32720404388,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-013-0016","25","013","0016",42.108992,-72.590803,238,6.27743382422969,"Arithmetic Mean","micrograms_per_cubic_meter",7.16766,4396.88257037035,27.273067474,10.3135792349727,75.5615300546448,2.17071038251366,924.19,14.3317213114754,99.6968306010929,24,"Developed, High Intensity",1,0,0,0,2875.63961436765,1530.66748976457,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
"25-015-4002","25","015","4002",42.298493,-72.334079,360,5.07058808888889,"Arithmetic Mean","micrograms_per_cubic_meter",4.78576,4224.74528641926,307.234741211,9.1455737704918,76.3298907103825,2.23830601092896,902.66,14.3317213114754,98.2189344262295,41,"Deciduous Forest",0,1,0,0,0,423.339621880468,"pm25",2016,"EPA AirData daily_88101_2016.zip","paper_pm25_grid.rds"
