dataset_id,regression_status,evidence_level,method,homolog
Python_geodatasets_geoda.airbnb,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.charleston1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.charleston2,mauvais candidat,,,
Python_geodatasets_geoda.chicago_commpop,mauvais candidat,,,
Python_geodatasets_geoda.chicago_health,candidat par analogie -- non verifie,analogie,OLS/GWR,
Python_geodatasets_geoda.chile_labor,a verifier,article,,
Python_geodatasets_geoda.cincinnati,a verifier,article,GWR,
Python_geodatasets_geoda.guerry,bon candidat,verbatim,OLS,
Python_geodatasets_geoda.health,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.health_indicators,candidat par analogie -- non verifie,analogie,OLS/GWR,
Python_geodatasets_geoda.hickory1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.hickory2,mauvais candidat,,,
Python_geodatasets_geoda.home_sales,bon candidat,verbatim,Splines / SEM (erreur spatiale),
Python_geodatasets_geoda.lansing1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.lansing2,mauvais candidat,,,
Python_geodatasets_geoda.lasrosas,bon candidat,verbatim,SEM heteroskedastique,R_agridat_lasrosas.corn_lasrosas.corn
Python_geodatasets_geoda.milwaukee1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.ndvi,bon candidat,verbatim,Autoregression spatiale discrete,
Python_geodatasets_geoda.nepal,mauvais candidat,,,
Python_geodatasets_geoda.nyc,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.nyc_education,bon candidat,verbatim,OLS/GWR/GWRBoost,
Python_geodatasets_geoda.nyc_neighborhoods,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.orlando1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.phoenix_acs,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.police,bon candidat,verbatim,OLS,
Python_geodatasets_geoda.sacramento1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.savannah1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.seattle1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.tampa1,candidat par analogie -- non verifie,analogie,OLS,
Python_geodatasets_geoda.us_sdoh,bon candidat,verbatim,OLS/SAR,
Python_geodatasets_naturalearth.cities,mauvais candidat,,,
Python_geodatasets_spdata.boston,bon candidat,verbatim,OLS hedonique,
Python_geodatasets_spdata.columbus,bon candidat,verbatim,OLS/Lag/Erreur,R_spdep_oldcol_COL.OLD
Python_geodatasets_spdata.eire,bon candidat,verbatim,OLS,
Python_geodatasets_spdata.nydata,bon candidat,verbatim,GLM Poisson,
Python_geodatasets_spdata.wheat,a verifier,article,,
Python_libpysal_Baltimore,bon candidat,verbatim,OLS hedonique,
Python_libpysal_Elections,candidat par analogie -- non verifie,analogie,GWR/OLS,
Python_libpysal_NYC_Socio-Demographics,candidat par analogie -- non verifie,analogie,OLS,
Python_libpysal_Ohiolung,bon candidat,verbatim,Bayesien hierarchique CAR,
Python_libpysal_Snow,candidat par analogie -- non verifie,analogie,GLM Poisson (analogie avec geoda.nydata / R_SpatialEpi_pennLC),
Python_libpysal_chicagoSDOH,candidat par analogie -- non verifie,analogie,OLS/GWR (analogie avec geoda.us_sdoh),
Python_libpysal_georgia,bon candidat,verbatim,GWR,R_GWmodel_GeorgiaCounties_Gedu.counties
R_GWmodel_DubVoter_Dub.voter,bon candidat,verbatim,GWR,
R_GWmodel_EWHP_ewhp,bon candidat,verbatim,GWR/OLS,
R_GWmodel_GeorgiaCounties_Gedu.counties,bon candidat,verbatim,GWR,Python_libpysal_georgia
R_GWmodel_LondonBorough_londonborough,bon candidat,verbatim,GWR non-euclidienne,R_GWmodel_LondonHP_londonhp
R_GWmodel_LondonHP_londonhp,bon candidat,verbatim,GWR non-euclidienne,R_GWmodel_LondonBorough_londonborough
R_GWmodel_USelect_USelect2004,bon candidat,article,GWR (regression logistique/discriminante geographiquement ponderee),
R_SpatialEpi_pennLC_sf_pennLC_sf,bon candidat,verbatim,Poisson/BYM,
R_ade4_atlas_atlas,mauvais candidat,,,
R_ade4_atya_atya,mauvais candidat,,,
R_ade4_avijons_avijons,mauvais candidat,,,
R_ade4_buech_buech,mauvais candidat,,,
