dataset_id,N,T,structure,data_type,geometrie,n_y_candidates,n_x_candidates,license,publication_doi,formula_pub
Python_geodatasets_geoda.airbnb,77,1,coupe_transversale,spatial,POINT,5,11,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.charleston1,117,1,coupe_transversale,spatial,POINT,3,23,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.charleston2,42,40,panel,spatio-temporel,POINT,6,24,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.chicago_commpop,77,1,coupe_transversale,spatial,POINT,5,1,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.chicago_health,77,1,coupe_transversale,spatial,POINT,23,34,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.chile_labor,64,1,coupe_transversale,spatial,POINT,3,133,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.cincinnati,457,1,coupe_transversale,spatial,POINT,7,23,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.guerry,85,1,coupe_transversale,spatial,POINT,6,11,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.health,3984,1,coupe_transversale,spatial,POINT,17,12,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.health_indicators,77,1,coupe_transversale,spatial,POINT,10,11,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.hickory1,68,1,coupe_transversale,spatial,POINT,3,23,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.hickory2,29,29,panel,spatio-temporel,POINT,6,24,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.home_sales,21613,372,panel,spatio-temporel,POINT,1,15,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.lansing1,117,1,coupe_transversale,spatial,POINT,3,23,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.lansing2,46,42,panel,spatio-temporel,POINT,4,16,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.lasrosas,1738,1,coupe_transversale,spatial,POINT,1,30,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.milwaukee1,417,1,coupe_transversale,spatial,POINT,4,22,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.ndvi,49,1,coupe_transversale,spatial,POINT,1,3,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.nepal,75,1,coupe_transversale,spatial,POINT,9,20,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.nyc,55,1,coupe_transversale,spatial,POINT,5,25,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.nyc_education,2216,1,coupe_transversale,spatial,POINT,5,26,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.nyc_neighborhoods,195,1,coupe_transversale,spatial,POINT,5,32,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.orlando1,328,1,coupe_transversale,spatial,POINT,3,23,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.phoenix_acs,985,1,coupe_transversale,spatial,POINT,4,8,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.police,82,1,coupe_transversale,spatial,POINT,2,11,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.sacramento1,403,1,coupe_transversale,spatial,POINT,3,23,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.savannah1,77,1,coupe_transversale,spatial,POINT,3,23,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.seattle1,664,1,coupe_transversale,spatial,POINT,3,24,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.tampa1,547,1,coupe_transversale,spatial,POINT,3,23,BSD 3-Clause,pending,pending
Python_geodatasets_geoda.us_sdoh,71901,1,coupe_transversale,spatial,POINT,4,15,BSD 3-Clause,pending,pending
Python_geodatasets_naturalearth.cities,243,1,coupe_transversale,spatial,POINT,4,9,BSD 3-Clause,pending,pending
Python_geodatasets_spdata.boston,506,1,coupe_transversale,spatial,POINT,4,15,BSD 3-Clause,pending,pending
Python_geodatasets_spdata.columbus,49,1,coupe_transversale,spatial,POINT,2,10,BSD 3-Clause,pending,pending
Python_geodatasets_spdata.eire,26,1,coupe_transversale,spatial,POINT,3,6,BSD 3-Clause,pending,pending
