dataset_id,fiche_path,status,formula_pub,x_terms_pub,y_term_pub,source_ref,source_type,evidence_source,evidence_fiche,manual_search_reason,search_queries
Python_geodatasets_geoda.airbnb,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.airbnb.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::airbnb"" regression formula ; ""geodatasets geoda.airbnb"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::airbnb"" model formula"
Python_geodatasets_geoda.charleston1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.charleston1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::charleston1"" regression formula ; ""geodatasets geoda.charleston1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::charleston1"" model formula"
Python_geodatasets_geoda.charleston2,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.charleston2.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::charleston2"" regression formula ; ""geodatasets geoda.charleston2"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::charleston2"" model formula"
Python_geodatasets_geoda.chicago_commpop,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.chicago_commpop.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::chicago_commpop"" regression formula ; ""geodatasets geoda.chicago commpop"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::chicago_commpop"" model formula"
Python_geodatasets_geoda.chicago_health,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.chicago_health.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::chicago_health"" regression formula ; ""geodatasets geoda.chicago health"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::chicago_health"" model formula"
Python_geodatasets_geoda.chile_labor,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.chile_labor.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::chile_labor"" regression formula ; ""geodatasets geoda.chile labor"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::chile_labor"" model formula"
Python_geodatasets_geoda.cincinnati,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.cincinnati.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::cincinnati"" regression formula ; ""geodatasets geoda.cincinnati"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::cincinnati"" model formula"
Python_geodatasets_geoda.guerry,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.guerry.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::guerry"" regression formula ; ""geodatasets geoda.guerry"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::guerry"" model formula"
Python_geodatasets_geoda.health,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.health.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::health"" regression formula ; ""geodatasets geoda.health"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::health"" model formula"
Python_geodatasets_geoda.health_indicators,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.health_indicators.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::health_indicators"" regression formula ; ""geodatasets geoda.health indicators"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::health_indicators"" model formula"
Python_geodatasets_geoda.hickory1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.hickory1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::hickory1"" regression formula ; ""geodatasets geoda.hickory1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::hickory1"" model formula"
Python_geodatasets_geoda.hickory2,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.hickory2.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::hickory2"" regression formula ; ""geodatasets geoda.hickory2"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::hickory2"" model formula"
Python_geodatasets_geoda.home_sales,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.home_sales.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::home_sales"" regression formula ; ""geodatasets geoda.home sales"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::home_sales"" model formula"
Python_geodatasets_geoda.lansing1,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.lansing1.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::lansing1"" regression formula ; ""geodatasets geoda.lansing1"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::lansing1"" model formula"
Python_geodatasets_geoda.lansing2,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.lansing2.md,manual_search_required,,,,,,,,"Aucune formule de regression publiee n'a ete trouvee dans les fiches Python, les homologues R connus ou le cache local.","""geodatasets::lansing2"" regression formula ; ""geodatasets geoda.lansing2"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::lansing2"" model formula"
Python_geodatasets_geoda.lasrosas,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.lasrosas.md,resolved_existing_python_fiche,yield ~ 1 + nitro + I(nitro^2),1 + nitro + I(nitro^2),yield,Bongiovanni and Lowenberg-DeBoer (2000). Nitrogen management in corn with a spatial regression model. Proceedings of the Fifth International Conference on Precision Agriculture.,conference_paper,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.lasrosas.md,wiki/datasets/fiches_datasets/Python_geodatasets_geoda.lasrosas.md,,"""geodatasets::lasrosas"" regression formula ; ""geodatasets geoda.lasrosas"" spatial regression formula ; ""package Python `geodatasets`"" ""geodatasets::lasrosas"" model formula"
