source_language;source_catalogue;final_category;final_sheet;package;bundle;main_object;dataset_key;dataset;main_file_or_entry;role;keep;description_bundle;description;theme;n;k;useful_variable_count;useful_variables;variables;geometry_type;has_geometry;has_coordinates;coordinate_columns;has_place_name_if_no_geometry;place_name_columns;has_datetime;datetime_columns;has_y;candidate_y_variables;has_multiple_x;candidate_x_variables;auxiliary_files;local_files;duplicate_in_r;r_match;curation_decision;curation_reason;source;source_url;inventory_status;download_status
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;spDataLarge;bristol_stations;bristol_stations;;;;main_spatial_sf;;Datasets providing a snapshot of Bristol's transport system;;transport / mobilite;43;2;0;;name, geometry;;Yes;No;;No;name;No;;No;;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;NA;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;spDataLarge;bristol_zones;bristol_zones;;;;main_spatial_sf;;Datasets providing a snapshot of Bristol's transport system;;transport / mobilite;102;3;0;;geo_code, name, geometry;;Yes;No;;No;name;No;;No;;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;NA;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;spDataLarge;london_streets;london_streets;;;;main_spatial_sf;;Streets of london downloaded from OSM;;biodiversite / ecologie;20972;2;0;;osm_id, geometry;;Yes;No;;No;;No;;Yes;osm_id;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;OpenStreetMap (see <https://www.openstreetmap.org/>).;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;spDataLarge;random_points;random_points;;;;main_spatial_sf;;Random points.;;a qualifier manuellement;100;3;1;spri;id, spri, geometry;;Yes;No;;No;;No;;Yes;id;No;spri;;;;;Declasser auxiliaire;"Nom et structure suggerent une couche support; peu de variables modelisables.";NA;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;spDataLarge;zion_points;zion_points;;;;main_spatial_sf;;Point vector data;;a qualifier manuellement;30;1;0;;geometry;;Yes;No;;No;;No;;No;;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;NA;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;spacetime;fires;fires;;;;main_table;;Northern Los Angeles County Fires;;environnement / climat;313;3;0;;Time, X, Y;;Yes;Yes;X, Y;No;;Yes;Time;No;;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;NA;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;spaMM;seaMask;seaMask;;;;main_table;;Masks of seas or lands;;a qualifier manuellement;19533;2;0;;x, y;;Yes;Yes;x, y;No;;No;;No;;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;NA;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;vegan;mite.xy;mite.xy;;;;main_table;;Oribatid Mite Data with Explanatory Variables;;biodiversite / ecologie;70;2;0;;x, y;;Yes;Yes;x, y;No;;No;;No;;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;NA;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;HistData;Minard.cities;Minard.cities;;;;main_table;;Data from Minard's famous graphic map of Napoleon's march on Moscow;;a qualifier manuellement;20;3;0;;long, lat, city;;Yes;Yes;long, lat;No;city;No;;No;;No;;;;;;Declasser auxiliaire;Couche spatiale/objet auxiliaire sans variable modelisable hors geometrie, ID, lieu ou date.;NA;;;
R;software_r_catalog_curated_workbook.xlsx;Declasser auxiliaire;Declasser_auxiliaire_R;HistData;Snow.streets;Snow.streets;;;;main_table;;John Snow's Map and Data on the 1854 London Cholera Outbreak;;biodiversite / ecologie;1241;4;2;street, n;street, n, x, y;;Yes;Yes;x, y;No;;No;;Yes;street;No;n;;;;;Declasser auxiliaire;"Nom et structure suggerent une couche support; peu de variables modelisables.";NA;;;
