package;dataset_key;dataset;main_file_or_entry;role;keep;description;source_url;variables;auxiliary_files;local_files;n;k;geometry_type;has_geometry;has_coordinates;coordinate_columns;has_multiple_x;candidate_x_variables;has_y;candidate_y_variables;has_place_name_if_no_geometry;place_name_columns;has_datetime;datetime_columns;inventory_status;download_status;theme
geodatasets;abs.australia;australia;abs.australia;main_dataset_catalog_entry;yes;Australia land polygon including Norfolk Island, the Territory of Christmas Island, and the Territory of Cocos (Keeling) Islands.;https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/AUS_2021_AUST_SHP_GDA2020.zip;AUS_CODE21, AUS_NAME21, CHG_FLAG21, CHG_LBL21, AREASQKM21, LOCI_URI21, geometry;;data\downloads\software\python_datasets\csv\geodatasets__abs_australia.csv, data\downloads\software\python_datasets\geojson\geodatasets__abs_australia.geojson;2;7;Polygon;Yes;No;;Yes;CHG_LBL21, AREASQKM21, LOCI_URI21;Yes;CHG_FLAG21;No;AUS_CODE21, AUS_NAME21;No;;listed_from_geodatasets_catalog;extracted_csv_geojson;a qualifier manuellement
geodatasets;abs.australia_states_territories;australia_states_territories;abs.australia_states_territories;main_dataset_catalog_entry;yes;Australian state and territory boundaries.;https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3/jul2021-jun2026/access-and-downloads/digital-boundary-files/STE_2021_AUST_SHP_GDA2020.zip;STE_CODE21, STE_NAME21, CHG_FLAG21, CHG_LBL21, AUS_CODE21, AUS_NAME21, AREASQKM21, LOCI_URI21, geometry;;data\downloads\software\python_datasets\csv\geodatasets__abs_australia_states_territories.csv, data\downloads\software\python_datasets\geojson\geodatasets__abs_australia_states_territories.geojson;10;9;Polygon;Yes;No;;Yes;CHG_LBL21, AREASQKM21, LOCI_URI21;Yes;CHG_FLAG21;No;STE_CODE21, STE_NAME21, AUS_CODE21, AUS_NAME21;No;;listed_from_geodatasets_catalog;extracted_csv_geojson;a qualifier manuellement
geodatasets;eea.large_rivers;large_rivers;eea.large_rivers;main_dataset_catalog_entry;yes;Large rivers in Europe that have a catchment area large than 50,000 km2.;https://github.com/geopandas/geodatasets/raw/refs/heads/main/data_backup/wise_large_rivers.zip;NAME, Shape_Leng, geometry;;data\downloads\software\python_datasets\csv\geodatasets__eea_large_rivers.csv, data\downloads\software\python_datasets\geojson\geodatasets__eea_large_rivers.geojson;20;3;LineString;Yes;No;;No;;Yes;Shape_Leng;No;NAME;No;;listed_from_geodatasets_catalog;extracted_csv_geojson;a qualifier manuellement
geodatasets;eurostat.nuts_lb_2024_3035;nuts_lb_2024_3035;eurostat.nuts_lb_2024_3035;main_dataset_catalog_entry;yes;NUTS 2024 label points (LB), EPSG:3035 (ETRS89 / LAEA Europe).;https://gisco-services.ec.europa.eu/distribution/v2/nuts/gpkg/NUTS_LB_2024_3035.gpkg;;;;1798;9;Point;Yes;No;;No;;No;;No;;No;;listed_from_geodatasets_catalog;extract_failed;a qualifier manuellement
geodatasets;eurostat.nuts_rg_10m_2024_3035;nuts_rg_10m_2024_3035;eurostat.nuts_rg_10m_2024_3035;main_dataset_catalog_entry;yes;NUTS 2024 statistical regions (RG polygons), scale 1:10M, EPSG:3035 (ETRS89 / LAEA Europe).;https://gisco-services.ec.europa.eu/distribution/v2/nuts/gpkg/NUTS_RG_10M_2024_3035.gpkg;;;;1798;9;Polygon;Yes;No;;No;;No;;No;;No;;listed_from_geodatasets_catalog;extract_failed;a qualifier manuellement
geodatasets;geoda.airbnb;airbnb;geoda.airbnb;main_dataset_catalog_entry;yes;Airbnb rentals, socioeconomics, and crime in Chicago;https://geodacenter.github.io/data-and-lab//data/airbnb.zip;community, shape_area, shape_len, AREAID, response_r, accept_r, rev_rating, price_pp, room_type, num_spots, poverty, crowded, dependency, without_hs, unemployed, income_pc, harship_in, num_crimes, num_theft, population, geometry;;data\downloads\software\python_datasets\csv\geodatasets__geoda_airbnb.csv, data\downloads\software\python_datasets\geojson\geodatasets__geoda_airbnb.geojson;77;21;Polygon;Yes;Yes;population;Yes;community, shape_area, shape_len, AREAID, accept_r, rev_rating, room_type, num_spots, poverty, crowded, dependency, without_hs, unemployed, harship_in, num_theft;Yes;response_r, price_pp, income_pc, num_crimes;No;;No;;listed_from_geodatasets_catalog;extracted_csv_geojson;housing / immobilier
geodatasets;geoda.atlanta;atlanta;geoda.atlanta;main_dataset_catalog_entry;yes;Atlanta, GA region homicide counts and rates;https://geodacenter.github.io/data-and-lab//data/atlanta_hom.zip;NAME, STATE_NAME, STATE_FIPS, CNTY_FIPS, FIPS, STFIPS, COFIPS, FIPSNO, HR7983, HR8587, HR8995, HC7983, HC8587, HC8995, PO7983, PO8587, PO8995, PE77, PE82, PE87, RDAC80, RDAC85, RDAC90, geometry;;data\downloads\software\python_datasets\csv\geodatasets__geoda_atlanta.csv, data\downloads\software\python_datasets\geojson\geodatasets__geoda_atlanta.geojson;90;24;Polygon;Yes;No;;Yes;HR8587, HR8995, HC7983, HC8587, HC8995, PO7983, PO8587, PO8995, PE77, PE82, PE87, RDAC80, RDAC85, RDAC90;Yes;HR7983;No;NAME, STATE_NAME, STATE_FIPS, CNTY_FIPS, FIPS, STFIPS, COFIPS, FIPSNO;No;;listed_from_geodatasets_catalog;extracted_csv_geojson;crime / securite
geodatasets;geoda.cars;cars;geoda.cars;main_dataset_catalog_entry;yes;2011 abandoned vehicles in Chicago (311 complaints).;https://geodacenter.github.io/data-and-lab//data/Abandoned_Vehicles_Map.csv;;;;137867;21;Point;Yes;No;;No;;No;;No;;No;;listed_from_geodatasets_catalog;extract_failed;a qualifier manuellement
geodatasets;geoda.charleston1;charleston1;geoda.charleston1;main_dataset_catalog_entry;yes;2000 Census Tract Data for Charleston, SC MSA and counties;https://geodacenter.github.io/data-and-lab//data/CharlestonMSA.zip;FIPS, MSA, TOT_POP, POP_16, POP_65, WHITE_, BLACK_, ASIAN_, HISP_, MULTI_RA, MALES, FEMALES, MALE1664, FEM1664, EMPL16, EMP_AWAY, EMP_HOME, EMP_29, EMP_30, EMP16_2, EMP_MALE, EMP_FEM, OCC_MAN, OCC_OFF1, OCC_INFO, HH_INC, POV_POP, POV_TOT, HSG_VAL, POLYID, geometry;;data\downloads\software\python_datasets\csv\geodatasets__geoda_charleston1.csv, data\downloads\software\python_datasets\geojson\geodatasets__geoda_charleston1.geojson;117;31;Polygon;Yes;No;;Yes;MSA, WHITE_, BLACK_, ASIAN_, HISP_, MULTI_RA, MALES, FEMALES, MALE1664, FEM1664, EMPL16, EMP_AWAY, EMP_HOME, EMP_29, EMP_30, EMP16_2, EMP_MALE, EMP_FEM, OCC_MAN, OCC_OFF1, OCC_INFO, HH_INC, POV_TOT, HSG_VAL, POLYID;Yes;TOT_POP, POP_16, POP_65, POV_POP;No;FIPS;No;;listed_from_geodatasets_catalog;extracted_csv_geojson;socio-economie / demographie
geodatasets;geoda.charleston2;charleston2;geoda.charleston2;main_dataset_catalog_entry;yes;1998 and 2001 Zip Code Business Patterns (Census Bureau) for Charleston, SC MSA;https://geodacenter.github.io/data-and-lab//data/CharlestonMSA2.zip;ZIP, PO_NAME, STATE, POP2001, MSA, EST98, EMP98, EFLAG98, PAY98, EST01, EMP01, EFLAG01, PAY01, CBSA_CODE, MAN98, MAN98_12, MAN98_39, MAN01, MAN01_12, MAN01_39, MAN98US, MAN98US12, MAN98US39, MAN01US, MANUS01_12, MANUS01_39, OFF98, OFF98_12, OFF98_39, OFF01, OFF01_12, OFF01_39, OFF98US, OFF98US12, OFF98US39, OFF01US, OFFUS01_12, OFFUS01_39, INFO98, INFO98_12, INFO98_39, INFO01, INFO01_12, INFO01_39, INFO98US, INFO98US12, INFO98US39, INFO01US, INFOUS01_1, INFOUS01_3, INDEX, NUMSEC, EST98_0, EST01_0, PCTNGE, PCTIME, PCTCSE, PCTGRO, ID, geometry;;data\downloads\software\python_datasets\csv\geodatasets__geoda_charleston2.csv, data\downloads\software\python_datasets\geojson\geodatasets__geoda_charleston2.geojson;42;60;Polygon;Yes;No;;Yes;MSA, EST98, EMP98, EFLAG98, PAY98, EST01, EMP01, EFLAG01, PAY01, MAN98, MAN98_12, MAN98_39, MAN01, MAN01_12, MAN01_39, MAN98US, MAN98US12, MAN98US39, MAN01US, MANUS01_12, MANUS01_39, OFF98, OFF98_12, OFF98_39, OFF01, OFF01_12, OFF01_39, OFF98US, OFF98US12, OFF98US39, OFF01US, OFFUS01_12, OFFUS01_39, INFO98, INFO98_12, INFO98_39, INFO01, INFO01_12, INFO01_39, INFO98US, INFO98US12, INFO98US39, INFO01US, INFOUS01_1, INFOUS01_3, INDEX, NUMSEC, EST98_0, EST01_0, PCTNGE, PCTCSE, PCTGRO;Yes;POP2001;No;ZIP, PO_NAME, STATE, CBSA_CODE, ID;Yes;PCTIME;listed_from_geodatasets_catalog;extracted_csv_geojson;socio-economie / demographie
