"package";"bundle";"main_object";"role";"description_bundle";"source";"variables";"auxiliary_files";"n";"k";"has_geometry";"has_coordinates";"coordinate_columns";"has_multiple_x";"candidate_x_variables";"candidate_y_variables";"target_status";"formula_text";"has_referenced_paper";"paper_doi";"paper_title";"paper_use_summary";"paper_model_keywords";"paper_formula_or_equation";"paper_variables_used";"paper_related_datasets";"paper_reference_evidence";"paper_evidence_status";"has_place_name_if_no_geometry";"place_name_columns";"datetime_columns";"theme";"analytical_group";"linked_datasets";"group_has_y";"group_y_variables";"group_x_variables";"duplicate_key";"duplicate_status"
"spdep";"oldcol";"COL.OLD";"observation_table";"Columbus OH spatial analysis data set - old numbering";NA;"AREA_PL, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, NEIG, HOVAL, INC, CRIME, OPEN, PLUMB, DISCBD, X, Y, AREA_SS, NSA, NSB, EW, CP, THOUS, NEIGNO, PERIM";"COL.nb";49;22;"Yes";"Yes";"X, Y";"Yes";"AREA_PL, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, HOVAL, INC, OPEN, PLUMB, DISCBD, AREA_SS, NSA, NSB, EW, CP, THOUS, PERIM";"CRIME";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"NEIG, NEIGNO";"";"crime / conflit / securite";"spdep::bundle::oldcol";"oldcol";"Yes";"CRIME";"AREA_PL, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, HOVAL, INC, OPEN, PLUMB, DISCBD, AREA_SS, NSA, NSB, EW, CP, THOUS, PERIM";"colold::columbusohspatialanalysisdatasetoldnumbering";"unique"
"spdep";"columbus";"columbus";"observation_table";"Columbus OH spatial analysis data set";NA;"AREA, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, NEIG, HOVAL, INC, CRIME, OPEN, PLUMB, DISCBD, X, Y, AREA, NSA, NSB, EW, CP, THOUS, NEIGNO, PERIM";"bbs, col.gal.nb, coords, polys";49;22;"Yes";"Yes";"X, Y";"Yes";"AREA, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, HOVAL, INC, OPEN, PLUMB, DISCBD, NSA, NSB, EW, CP, THOUS, PERIM";"CRIME";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"NEIG, NEIGNO";"";"crime / conflit / securite";"spdep::bundle::columbus";"columbus";"Yes";"CRIME";"AREA, PERIMETER, COLUMBUS., COLUMBUS.I, POLYID, HOVAL, INC, OPEN, PLUMB, DISCBD, NSA, NSB, EW, CP, THOUS, PERIM";"columbus::columbusohspatialanalysisdataset";"duplicate_lower_information"
"spdep";"eire";"eire.df";"observation_table";"Eire data sets";NA;"A, towns, pale, size, ROADACC, OWNCONS, POPCHG, RETSALE, INCOME";"eire.coords.utm, eire.nb, eire.polys.utm";26;9;"No";"No";"";"Yes";"A, pale, size, ROADACC, OWNCONS, RETSALE";"POPCHG, INCOME";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"Yes";"towns";"";"economie / panel / econometrie";"spdep::bundle::eire";"eire";"Yes";"POPCHG, INCOME";"A, pale, size, ROADACC, OWNCONS, RETSALE";"eiredf::eiredatasets";"duplicate_lower_information"
"spData";"house";"house";"spatial_observations";"Lucas county OH housing";"Dataset included in the Spatial Econometrics toolbox for Matlab, formerly available from http://www.spatial-econometrics.com/html/jplv7.zip.";"price, yrbuilt, stories, TLA, wall, beds, baths, halfbaths, frontage, depth, garage, garagesqft, rooms, lotsize, sdate, avalue, s1993, s1994, s1995, s1996, s1997, s1998, syear, age";"LO_nb, trMat";25357;24;"Yes";"No";"";"Yes";"yrbuilt, stories, TLA, wall, beds, baths, halfbaths, frontage, depth, garage, garagesqft, rooms, lotsize, s1993, s1994, s1995, s1996, s1997, s1998, age";"price, avalue";"strong_name";"";"Yes";"";"";"";"";"";"";"";"Source: Dataset included in the Spatial Econometrics toolbox for Matlab, formerly available from http://www.spatial-econometrics.com/html/jplv7.zip. || Description: Data on 25,357 single family homes sold in Lucas County, Ohio, 1993-1998 from the county auditor, together with an ‘nb’ neighbour object constructed as a sphere of influence graph from projected coordinates.";"paper_identified_no_equation";"No";"";"sdate, syear";"housing / immobilier";"spData::bundle::house";"house";"Yes";"price, avalue";"yrbuilt, stories, TLA, wall, beds, baths, halfbaths, frontage, depth, garage, garagesqft, rooms, lotsize, s1993, s1994, s1995, s1996, s1997, s1998, age";"house::lucascountyohhousing";"unique"
"spData";"SplashDams";"SplashDams";"spatial_observations";"Data for Splash Dams in western Oregon";"R. R. Miller (2010) Is the Past Present? Historical Splash-dam Mapping and Stream Disturbance Detection in the Oregon Coastal Province. MSc. thesis, Oregon State University; packaged by Jonathan Callahan";"streamName, locationCode, height, lastDate, owner, datesUsed";"";232;6;"Yes";"No";"";"Yes";"locationCode, height, owner";"";"unknown";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"streamName";"lastDate, datesUsed";"a qualifier manuellement";"spData::bundle::SplashDams";"SplashDams";"No";"";"locationCode, height, owner";"splashdams::dataforsplashdamsinwesternoregon";"unique"
"spData";"afcon";"afcon";"response_table";"Spatial patterns of conflict in Africa 1966-78";"Anselin, L. and John O'Loughlin. 1992. Geography of international conflict and cooperation: spatial dependence and regional context in Africa. In The New Geopolitics, ed. M. Ward, pp. 39-75. Philadelphia, PA: Gordon and Breach. also: Anselin, L. 1995. Local indicators of spatial association, Geographical Analysis, 27, Table 1, p. 103.";"x, y, totcon, name, id";"africa.rook.nb, afxy, paper.nb";42;5;"Yes";"Yes";"x, y";"No";"";"totcon, id";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"name";"";"crime / conflit / securite";"spData::bundle::afcon";"afcon";"Yes";"totcon, id";"";"afcon::spatialpatternsofconflictinafrica196678";"unique"
"spData";"aggregating_zones";"aggregating_zones";"spatial_observations";"Datasets to illustrate the concept of spatial congruence";NA;"geo_code, geo_label, geo_labelw, geometry";"";2;4;"Yes";"No";"";"Yes";"geo_code, geo_label, geo_labelw";"";"unknown";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"";"";"a qualifier manuellement";"spData::bundle::aggregating_zones";"aggregating_zones";"No";"";"geo_code, geo_label, geo_labelw";"aggregatingzones::datasetstoillustratetheconceptofspatialcongruence";"unique"
"spData";"alaska";"alaska";"spatial_observations";"Alaska multipolygon";"<https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html>";"GEOID, NAME, REGION, AREA, total_pop_10, total_pop_15, geometry";"";1;7;"Yes";"No";"";"No";"AREA";"total_pop_10, total_pop_15";"strong_name";"";"Yes";"";"";"";"";"";"";"";"Source: <https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html> || Description: The object loaded is a ‘sf’ object containing the state of Alaska from the US Census Bureau with a few variables from American Community Survey (ACS)";"paper_identified_no_equation";"No";"GEOID, NAME, REGION";"";"geometries administratives / demographie";"spData::bundle::alaska";"alaska";"Yes";"total_pop_10, total_pop_15";"AREA";"alaska::alaskamultipolygon";"unique"
"spData";"auckland";"auckland";"response_table";"Marshall's infant mortality in Auckland dataset";"Marshall R M (1991) Mapping disease and mortality rates using Empirical Bayes Estimators, Applied Statistics, 40, 283-294; Bailey T, Gatrell A (1995) Interactive Spatial Data Analysis, Harlow: Longman - INFOMAP data set used with permission.";"Easting, Northing, Deaths.1977.85, Under.5.1981";"auckland.nb, auckpolys";167;4;"Yes";"Yes";"Easting, Northing";"No";"Under.5.1981";"Deaths.1977.85";"strong_name";"";"No";"";"";"";"";"";"";"";"";"rd_reference_only";"No";"";"";"sante / epidemiologie";"spData::bundle::auckland";"auckland";"Yes";"Deaths.1977.85";"Under.5.1981";"auckland::marshallsinfantmortalityinaucklanddataset";"unique"
"spData";"baltimore";"baltimore";"observation_table";"House sales prices, Baltimore, MD 1978";"Prepared by Luc Anselin. Original data made available by Robin Dubin, Weatherhead School of Management, Case Western Research University, Cleveland, OH. http://sal.agecon.uiuc.edu/datasets/baltimore.zip";"STATION, PRICE, NROOM, DWELL, NBATH, PATIO, FIREPL, AC, BMENT, NSTOR, GAR, AGE, CITCOU, LOTSZ, SQFT, X, Y";"";211;17;"Yes";"Yes";"X, Y";"Yes";"STATION, NROOM, DWELL, NBATH, PATIO, FIREPL, AC, BMENT, NSTOR, GAR, AGE, CITCOU, LOTSZ, SQFT";"PRICE";"strong_name";"";"Yes";"";"";"Models/methods detected: regression.";"regression";"regression, Baltimore, MD 1978. X,Y on Maryland grid, projection";"regression, Baltimore, MD, ., X, Y, on, Maryland, grid, projection";"";"Source: Prepared by Luc Anselin. Original data made available by Robin Dubin, Weatherhead School of Management, Case Western Research University, Cleveland, OH. http://sal.agecon.uiuc.edu/datasets/baltimore.zip || References: Dubin, Robin A. (1992). Spatial autocorrelation and neighborhood quality. Regional Science and Urban Economics 22(3), 433-452. || Description: House sales price and characteristics for a spatial hedonic regression, Baltimore, MD 1978. X,Y on Maryland grid, projection type unknown.";"formula_or_model_found";"No";"";"";"housing / immobilier";"spData::bundle::baltimore";"baltimore";"Yes";"PRICE";"STATION, NROOM, DWELL, NBATH, PATIO, FIREPL, AC, BMENT, NSTOR, GAR, AGE, CITCOU, LOTSZ, SQFT";"baltimore::housesalespricesbaltimoremd1978";"unique"
