package;dataset;reference_type;doi;doi_url;source_url;doi_verified;doi_type;paper_or_book_title;authors;year;venue;publisher;model_or_equation_found_locally;model_keywords;detected_reference;local_raw_match;doc_path;verification_note
ade4;arrival;url;;;https://www.kovcomp.co.uk/oriana/index.html;;;;;;;;;;Source: Data taken from the Oriana software developed by Warren L. Kovach <mailto:sales@kovcomp.com> starting from <https://www.kovcomp.co.uk/oriana/index.html>. || References: Fisher, N. I. (1993) _Statistical Analysis of Circular Data_. Cambridge University Press. || Description: This data set gives arrival times of 254 patients at an intensive care unit during one day.;;wiki\datasets\r_package_docs\ade4\topics\arrival.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;avijons;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps051.pdf;;;;;;;;;;Source: Bournaud, M., Amoros, C., Chessel, D., Coulet, M., Doledec, S., Michelot, J.L., Pautou, G., Rostan, J.C., Tachet, H. and Thioulouse, J. (1990). _Peuplements d'oiseaux et propriétés des écocomplexes de la plaine du Rhône : descripteurs de fonctionnement global et gestion des berges._ Rapport programme S.R.E.T.I.E., Ministère de l'Environnement CORA et URA CNRS 367, Univ. Lyon I. || References: Thioulouse, J., Chessel, D. and Champely, S. (1995) Multivariate analysis of spatial patterns: a unified approach to local and global structures. _Environmental and Ecological Statistics_, *2*, 1-14. See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps051.pdf> (in French). || Description: This data set contains information about spatial distribution of bird species in a zone surrounding the river Rhône near Lyon (France).;;wiki\datasets\r_package_docs\ade4\topics\avijons.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;bacteria;url;;;https://www.jcvi.org/;;;;;;;;;;Source: Data prepared by J. Lobry <mailto:Jean.Lobry@univ-lyon1.fr> starting from <https://www.jcvi.org/>. || Description: ‘bacteria’ is a list containing 43 species and genomic informations : codons, amino acid and bases.;;wiki\datasets\r_package_docs\ade4\topics\bacteria.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;baran95;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps027.pdf;;;;;;;;;;Source: Baran, E. (1995) _Dynamique spatio-temporelle des peuplements de Poissons estuariens en Guinée (Afrique de l'Ouest)_. Thèse de Doctorat, Université de Bretagne Occidentale. Data collected by net fishing sampling in the Fatala river estuary. || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps027.pdf> (in French). || Description: This data set is a list containing relations between sites and fish species linked to dates.;;wiki\datasets\r_package_docs\ade4\topics\baran95.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;bsetal97;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps029.pdf;;;;;;;;;;Source: Statzner, B., Hoppenhaus, K., Arens, M.-F. and Richoux, P. (1997) Reproductive traits, habitat use and templet theory: a synthesis of world-wide data on aquatic insects. _Freshwater Biology_, *38*, 109-135. || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps029.pdf> (in French). || Description: This data set gives ecological and biological characteristics of 131 species of aquatic insects. || Details: The 10 variables of the data frame ‘bsetal97$biol’ are called in ‘bsetal97$biol.blo.names’ and the number of modalities per variable given in ‘bsetal97$biol.blo’. The variables are: female size - the body length from the front of the head to the end of the abdomen (7 length modalities), egg length - the egg size (6 modalities), egg number - count of eggs actually oviposited, generations per year (3 modalities: <= 1, 2, > 2), oviposition period - the length of time during which oviposition occurred (3 modalities: <= 2 months, between 2 and 5 months, > 5 months), incubation time - the time between oviposition and hatching of the larvae (3 modalities: <= 4 weeks, between 4 and 12 weeks, > 12 weeks), egg shape (1-spherical, 2-oval, 3-cylindrical), egg attachment - physiological feature of the egg and of the female (4 modalities), clutch structure (1-single eggs, 2-grouped eggs, 3-egg masses), clutch number (3 modalities : 1, 2, > 2). The 7 variables of the data frame ‘bsetal97$ecol’ are called in ‘bsetal97$ecol.blo.names’ and the number of modalities per variable given in ‘bsetal97$ecol.blo’. The variables are: oviposition site - position relative to the water (7 modalities), substratum type for eggs - the substratum to which the eggs are definitely attached (6 modalities), egg deposition - the position of the eggs during the oviposition process (4 modalities), gross habitat - the general habitat use of the species such as temporary waters or estuaries (8 modalities), saturation variance - the exposure of eggs to the risk of dessication (2 modalities), time of day (1-morning, 2-day, 3-evening, 4-night), season - time of the year (1-Spring, 2-Summer, 3-Automn).;;wiki\datasets\r_package_docs\ade4\topics\bsetal97.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;casitas;url;;;https://kimura.univ-montp2.fr/genetix/;;;;;;;;;;Source: Exemple du logiciel GENETIX. Belkhir k. et al. GENETIX, logiciel sous WindowsTM pour la génétique des populations. Laboratoire Génome, Populations, Interactions CNRS UMR 5000, Université de Montpellier II, Montpellier (France). <https://kimura.univ-montp2.fr/genetix/> || References: Orth, A., T. Adama, W. Din and F. Bonhomme. (1998) Hybridation naturelle entre deux sous espèces de souris domestique _Mus musculus domesticus_ et _Mus musculus castaneus_ près de Lake Casitas (Californie). _Genome_, *41*, 104-110. || Description: This data set is a data frame with 74 rows (mice) and 15 columns (loci enzymatic polymorphism of the DNA mitochondrial). Each value contains 6 characters coding for two allelles. The missing values are coding by '000000'.;;wiki\datasets\r_package_docs\ade4\topics\casitas.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;chevaine;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps054.pdf;;;;;;;;;;References: Guinand B., Bouvet Y. and Brohon B. (1996) Spatial aspects of genetic differentiation of the European chub in the Rhone River basin. _Journal of Fish Biology_, *49*, 714-726. See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps054.pdf> (in French). || Description: This data set contains a list of three components: spatial map, allellic profiles and sample sizes.;;wiki\datasets\r_package_docs\ade4\topics\chevaine.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;clementines;local_model_signal;;;;;;;;;;;lm(clementines[, i] ~ w0 | lm(clem0[, i] ~ croi * alter | abline(lm(clementines[, i] ~ w0)) | z <- predict(lm(clem0[, i] ~ croi * alter));lm;Source: Tisné-Agostini, D. (1988) _Description par analyse en composantes principales de l'évolution de la production du clémentinier en association avec 12 types de porte-greffe_. Rapport technique, DEA Analyse et modélisation des systèmes biologiques, Université Lyon 1. || Description: The ‘clementines’ is a data set containing the fruit production of 20 clementine trees during 15 years.;;wiki\datasets\r_package_docs\ade4\topics\clementines.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;doubs;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps047.pdf;;;;;;;;;;Source: Verneaux, J. (1973) _Cours d'eau de Franche-Comté (Massif du Jura). Recherches écologiques sur le réseau hydrographique du Doubs. Essai de biotypologie_. Thèse d'état, Besançon. 1-257. || References: See a French description of fish species at <http://pbil.univ-lyon1.fr/R/pdf/pps047.pdf>. Chessel, D., Lebreton, J.D. and Yoccoz, N.G. (1987) Propriétés de l'analyse canonique des correspondances. Une illustration en hydrobiologie. _Revue de Statistique Appliquée_, *35*, 4, 55-72. || Description: This data set gives environmental variables, fish species and spatial coordinates for 30 sites. || Details: The rows of ‘doubs$env’, ‘doubs$fish’ and ‘doubs$xy’ are 30 sites along the Doubs, a French and Switzerland river. ‘doubs$env’ contains the following variables: dfs - distance from the source (km * 10), alt - altitude (m), slo (log(x + 1) where _x_ is the slope (per mil * 100), flo - minimum average stream flow (m3/s * 100), pH (* 10), har - total hardness of water (mg/l of Calcium), pho - phosphates (mg/l * 100), nit - nitrates (mg/l * 100), amm - ammonia nitrogen (mg/l * 100), oxy - dissolved oxygen (mg/l * 10), bdo - biological demand for oxygen (mg/l * 10). ‘doubs$fish’ contains the abundance of the following fish species: _Cottus gobio_ (Cogo), _Salmo trutta fario_ (Satr), _Phoxinus phoxinus_ (Phph), _Nemacheilus barbatulus_ (Neba), _Thymallus thymallus_ (Thth), _Telestes soufia agassizi_ (Teso), _Chondrostoma nasus_ (Chna), _Chondostroma toxostoma_ (Chto), _Leuciscus leuciscus_ (Lele), _Leuciscus cephalus cephalus_ (Lece), _Barbus barbus_ (Baba), _Spirlinus bipunctatus_ (Spbi), _Gobio gobio_ (Gogo), _Esox lucius_ (Eslu), _Perca fluviatilis_ (Pefl), _Rhodeus amarus_ (Rham), _Lepomis gibbosus_ (Legi), _Scardinius erythrophtalmus_ (Scer), _Cyprinus carpio_ (Cyca), _Tinca tinca_ (Titi), _Abramis brama_ (Abbr), _Ictalurus melas_ (Icme), _Acerina cernua_ (Acce), _Rutilus rutilus_ (Ruru), _Blicca bjoerkna_ (Blbj), _Alburnus alburnus_ (Alal), _Anguilla anguilla_ (Anan). ‘doubs$species’ contains the names of the 27 fish species. The four columns correspond to: 1 = scientific name (Genus species), 2 = French common name, 3 = English common name, 4 = Four character code.;;wiki\datasets\r_package_docs\ade4\topics\doubs.md;"Lien non DOI ou signal local; verification manuelle requise."
ade4;ecomor;url;;;http://pbil.univ-lyon1.fr/R/pdf/pps023.pdf;;;;;;;;;;Source: Blondel, J., Vuilleumier, F., Marcus, L.F., and Terouanne, E. (1984). Is there ecomorphological convergence among mediterranean bird communities of Chile, California, and France. In _Evolutionary Biology_ (eds M.K. Hecht, B. Wallace and R.J. MacIntyre), 141-213, *18*. Plenum Press, New York. || References: See a data description at <http://pbil.univ-lyon1.fr/R/pdf/pps023.pdf> (in French). || Description: This data set gives ecomorphological informations about 129 bird species.;;wiki\datasets\r_package_docs\ade4\topics\ecomor.md;"Lien non DOI ou signal local; verification manuelle requise."
