doi;doi_url;package_datasets;title;authors;year;doi_type;venue;oa_status;download_status;downloaded_file;pdf_url;source_api;license;landing_url;file_size;sha256;failure_reason;model_signal
10.1002/jae.1190;https://doi.org/10.1002/jae.1190;plm::RiceFarms;Alternative technical efficiency measures: Skew, bias and scale;"Qu Feng; William C. Horrace";2012;journal-article;Journal of Applied Econometrics;green;no_legal_pdf_url_found;;;;;https://doi.org/10.1002/jae.1190;;;crossref:http_400 | unpaywall_skipped_missing_email;
10.1007/bf00226108;https://doi.org/10.1007/bf00226108;agridat::crossa.wheat;AMMI adjustment for statistical analysis of an international wheat yield trial;"J. Crossa; P. N. Fox; W. H. Pfeiffer; S. Rajaram; H. G. Gauch";1991;journal-article;Theoretical and Applied Genetics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1007/bf00226108;;;"crossref:not_pdf content_type=text/html; charset=utf-8 prefix=b'<!DOC' | unpaywall_skipped_missing_email";"yield~gen*loc | Jr, HG. (1991). AMMI adjustment for statistical analysis of an | # AMMI biplot. Fig 3 of Crossa et al. | m1 <- with(dat, AMMI(E=loc, G=gen, R=1, Y=yield)) | main=""crossa.wheat AMMI biplot"", | m2 <- gge(dat2, yield~gen*loc,"
10.1007/s00362-007-0104-1;https://doi.org/10.1007/s00362-007-0104-1;agridat::bachmaier.nitrogen;A confidence set for that x-coordinate where a quadratic regression model has a given gradient;Martin Bachmaier;2009;journal-article;Statistical Papers;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1007/s00362-007-0104-1;;;"crossref:not_pdf content_type=text/html; charset=utf-8 prefix=b'<!DOC' | unpaywall_skipped_missing_email";lm(yield ~ nitro + I(nitro^2 | yield~nitro | pred~nitro | Where a Quadratic Regression Model Has a Given Gradient. | the x-coordinates of the vertices of two quadratic regression | m1 <- lm(yield ~ nitro + I(nitro^2), dlow)
10.1007/s00362-008-0159-7;https://doi.org/10.1007/s00362-008-0159-7;agridat::bachmaier.nitrogen;Test and confidence set for the difference of the x-coordinates of the vertices of two quadratic regression models;Martin Bachmaier;2010;journal-article;Statistical Papers;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1007/s00362-008-0159-7;;;"crossref:not_pdf content_type=text/html; charset=utf-8 prefix=b'<!DOC' | unpaywall_skipped_missing_email";lm(yield ~ nitro + I(nitro^2 | yield~nitro | pred~nitro | Where a Quadratic Regression Model Has a Given Gradient. | the x-coordinates of the vertices of two quadratic regression | m1 <- lm(yield ~ nitro + I(nitro^2), dlow)
10.1007/s11119-004-6344-3;https://doi.org/10.1007/s11119-004-6344-3;agridat::lasrosas.corn;A Comparison of Four Spatial Regression Models for Yield Monitor Data: A Case Study from Argentina;"Dayton M. Lambert; James Lowenberg-Deboer; Rodolfo Bongiovanni";2004;journal-article;Precision Agriculture;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1007/s11119-004-6344-3;;;"crossref:not_pdf content_type=text/html; charset=utf-8 prefix=b'<!DOC' | unpaywall_skipped_missing_email";yield ~ long*lat|factor(year | lat~long | yield~nitro|topo | lm(yield ~ 1 + nitro + I(nitro^2 | corn with a spatial regression model. Proceedings of the Fifth | Four Spatial Regression Models for Yield Monitor Data: A Case
10.1007/s11692-021-09550-0;https://doi.org/10.1007/s11692-021-09550-0;ade4::houmousr;Overcoming the Spurious Groups Problem in Between-Group PCA;"Jean Thioulouse; Sabrina Renaud; Anne-Béatrice Dufour; Stéphane Dray";2021;journal-article;Evolutionary Biology;green;no_legal_pdf_url_found;;;;;https://doi.org/10.1007/s11692-021-09550-0;;;"crossref:not_pdf content_type=text/html; charset=utf-8 prefix=b'<!DOC' | unpaywall_skipped_missing_email";
10.1016/j.fcr.2020.107783;https://doi.org/10.1016/j.fcr.2020.107783;agridat::gartner.corn;Novel approach to the analysis of spatially-varying treatment effects in on-farm experiments;"Suman Rakshit; Adrian Baddeley; Katia Stefanova; Karyn Reeves; Kefei Chen; Zhanglong Cao; Fiona Evans; Mark Gibberd";2020;journal-article;Field Crops Research;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1016/j.fcr.2020.107783;;;"crossref:not_pdf content_type=text/xml;charset=utf-8 prefix=b'<full' | crossref:http_400 | unpaywall_skipped_missing_email";yield ~ long*lat|factor(year | lat~long | yield~nitro|topo | lm(yield ~ 1 + nitro + I(nitro^2 | corn with a spatial regression model. Proceedings of the Fifth | Four Spatial Regression Models for Yield Monitor Data: A Case
10.1016/j.geomorph.2011.10.029;https://doi.org/10.1016/j.geomorph.2011.10.029;spDataLarge::lsl;Geomorphic process rates of landslides along a humidity gradient in the tropical Andes;"J. Muenchow; A. Brenning; M. Richter";2012;journal-article;Geomorphology;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1016/j.geomorph.2011.10.029;;;"crossref:not_pdf content_type=text/xml;charset=utf-8 prefix=b'<full' | crossref:http_400 | unpaywall_skipped_missing_email";
10.1016/j.regsciurbeco.2017.04.001;https://doi.org/10.1016/j.regsciurbeco.2017.04.001;mgwrsar::mydata;A new method for dealing simultaneously with spatial autocorrelation and spatial heterogeneity in regression models;"Ghislain Geniaux; Davide Martinetti";2018;journal-article;Regional Science and Urban Economics;closed;no_legal_pdf_url_found;;;;;https://doi.org/10.1016/j.regsciurbeco.2017.04.001;;;"crossref:not_pdf content_type=text/xml;charset=utf-8 prefix=b'<full' | crossref:http_400 | unpaywall_skipped_missing_email";
10.1016/j.spasta.2017.10.003;https://doi.org/10.1016/j.spasta.2017.10.003;agridat::williams.barley.uniformity;Correcting for spatial heterogeneity in plant breeding experiments with P-splines;"María Xosé Rodríguez-Álvarez; Martin P. Boer; Fred A. van Eeuwijk; Paul H.C. Eilers";2018;journal-article;Spatial Statistics;bronze;no_legal_pdf_url_found;;;;;https://doi.org/10.1016/j.spasta.2017.10.003;;;"openalex:http_403 | crossref:not_pdf content_type=text/xml;charset=utf-8 prefix=b'<full' | crossref:http_400 | unpaywall_skipped_missing_email";yield ~ col*row | yield~col*row | fit~col*row | aov(yield ~ factor(row | desplot(dat, yield ~ col*row, | dat$fit <- fitted(loess(yield~col*row, dat, span=.1))
