package;dataset;package_dataset_pairs;reference_type;doi;doi_url;source_url;doi_verified;doi_type;paper_or_book_title;authors;year;venue;publisher;model_or_equation_found_locally;model_keywords;detected_reference;local_raw_match;doc_path;verification_note;selection_score;selection_spatial_terms;selection_spatiotemporal_terms;selection_model_terms
agridat;connolly.potato;agridat::connolly.potato;doi;10.1038/s41437-024-00743-9;https://doi.org/10.1038/s41437-024-00743-9;;yes;journal-article;Incorporating spatial and genetic competition into breeding pipelines with the R package gencomp;"Saulo F. S. Chaves; Filipe M. Ferreira; Getulio C. Ferreira; Salvador A. Gezan; Kaio Olimpio G. Dias";2025;Heredity;Springer Science and Business Media LLC;yield~col*row | yield~matur | yield~gen | row~col | yield ~ cov | lm(yield ~ 0 + gen + rep + cov, data=dat;lm;Source: Connolly, T and Currie, ID and Bradshaw, JE and McNicol, JW. (1993). Inter-plot competition in yield trials of potatoes _Solanum tuberosum L._ with single-drill plots. Annals of Applied Biology, 123, 367-377. || References: Chaves, S.F.S., Ferreira, F.M., Ferreira, G.C. et al. Incorporating spatial and genetic competition into breeding pipelines with the R package gencomp. Heredity (2025). https://doi.org/10.1038/s41437-024-00743-9 || Description: Potato yields in single-drill plots || Details: Connolly et el use this data to illustrate how yield can be affected by competition from neighboring plots. This data uses M1, M2, M3 for maturity, while Connolly et al use FE (first early), SE (second early) and M (maincrop). The trial was 20 sections, each of which was an independent row of 20 drills. The data here are four reps of single-drill plots from sections 1, 6, 11, and 16. The neighbor covariate for a plot is defined as the average of the plots to the left and right. For drills at the edge of the trial, the covariate was the average of the one neighboring plot yield and the section (i.e. rep) mean. It would be interesting to fit a model that uses differences in maturity between a plot and its neighbor as the actual covariate. https://doi.org/10.1111/j.1744-7348.1993.tb04099.x Used with permission of Iain Currie.;;wiki\datasets\r_package_docs\agridat\topics\connolly.potato.md;;4;spatial;;model
agridat;tesfaye.millet;agridat::tesfaye.millet;doi;10.1371/journal.pone.0277499;https://doi.org/10.1371/journal.pone.0277499;;yes;journal-article;Evaluation of finger millet (Eleusine coracana (L.) Gaertn.) in multi-environment trials using enhanced statistical models;"Kassahun Tesfaye; Tesfaye Alemu; Tarekegn Argaw; Santie de Villiers; Ermias Assefa";2023;PLOS ONE;Public Library of Science (PLoS);"yield~col*row|env | asreml(yield ~ 1 + env, data=dat, random = ~ at(env | desplot(dat, yield~col*row|env, main=""tesfaye.millet"") | m1 <- asreml(yield ~ 1 + env, | random = ~ at(env):xfac + at(env):yfac + gen:fa(env), | residual = ~ dsum( ~ ar1(xfac):ar1(yfac)|env) )";;Source: Tesfaye K, Alemu T, Argaw T, de Villiers S, Assefa E (2023) Evaluation of finger millet (Eleusine coracana (L.) Gaertn.) in multi-environment trials using enhanced statistical models. PLoS ONE 18(2): e0277499. https://doi.org/10.1371/journal.pone.0277499 || References: None || Description: Multi-environment trial of millet || Details: Experiments conducted at Bako and Assosa research centers in Ethiopia. The data has: 4 years, 2 sites = 7 environments, 2-3 reps per trial, 47 genotypes. Tesfaye et al used asreml to fit a GxE model with Factor Analytic covariance structure for the GxE part and AR1xAR1 for spatial residuals at each site. Data in PloS ONE was published under Creative Commons Attribution License.;;wiki\datasets\r_package_docs\agridat\topics\tesfaye.millet.md;;4;spatial;;model
spaMM;Leuca;spaMM::Leuca;doi;10.1111/mec.15833;https://doi.org/10.1111/mec.15833;;yes;journal-article;Sex‐specific spatial variation in fitness in the highly dimorphic <i>Leucadendron rubrum</i>;"Jeanne Tonnabel; Etienne K. Klein; Ophélie Ronce; Sylvie Oddou‐Muratorio; François Rousset; Isabelle Olivieri; Alexandre Courtiol; Agnès Mignot";2021;Molecular Ecology;Wiley;;;Source: Tonnabel, J., Klein, E.K., Ronce, O., Oddou-Muratorio, S., Rousset, F., Olivieri, I., Courtiol, A. and Mignot, A. (2021), Sex-specific spatial variation in fitness in the highly dimorphic Leucadendron rubrum. Mol Ecol, 30: 1721-1735. doi:10.1111/mec.15833 <https://doi.org/10.1111/mec.15833> || Description: A data set from Tonnabel et al. (2021) to be fitted by models with sex-specific spatial random effects. Leucadrendron rubrum is a dioecious shrub from South Africa. Various phenotypes were recorded on individuals from a small patch of habitat.;;wiki\datasets\r_package_docs\spaMM\topics\Leuca.md;;4;spatial;;model
ade4;houmousr;ade4::houmousr;doi;10.1007/s11692-021-09550-0;https://doi.org/10.1007/s11692-021-09550-0;;yes;journal-article;Overcoming the Spurious Groups Problem in Between-Group PCA;"Jean Thioulouse; Sabrina Renaud; Anne-Béatrice Dufour; Stéphane Dray";2021;Evolutionary Biology;Springer Science and Business Media LLC;;;Source: Thioulouse, J., Renaud, S., Dufour, AB. et al. Overcoming the Spurious Groups Problem in Between-Group PCA. Evol Biol (2021). https://doi.org/10.1007/s11692-021-09550-0 || References: Renaud S, Pantalacci S, Auffray J (2011) Differential evolvability along lines of least resistance of upper and lower molars in island house mice. PLoS ONE 6, https://doi.org/10.1371/journal.pone.0018951 Renaud S, Dufour A, Hardouin E, Ledevin R, Auffray J (2015) Once upon multivariate analyses: when they tell several stories about biological evolution. PLoS ONE 10, https://doi.org/10.1371/journal.pone.0132801 Renaud S, Ledevin R, Souquet L, Gomes Rodrigues H, Ginot S, Agret S, Claude J, Herrel A, Hautier L (2018) Evolving teeth within a stable masticatory apparatus in Orkney mice. Evolutionary Biology 45:405–424 || Description: Morphometric data set describing the shape of the first upper molar in populations of the Western European house mouse (_Mus musculus domesticus_) || Details: The rows of ‘houmousr$dfcc’ correspond to 214 mice sampled in five locations in France and Italy. The 128 columns are 128 aligned coordinates describing the shape of the occlusal surface of the first upper molar (UM1). ‘houmousr$faccc’ is a factor giving the location where mice were sampled: Montpellier, Frontignan, Gardouch (South of France), Lombardy (Northern Italy), and Corsica.;;wiki\datasets\r_package_docs\ade4\topics\houmousr.md;;3;coordinates;;
agridat;gartner.corn;agridat::gartner.corn | agridat::lasrosas.corn;doi;10.1016/j.fcr.2020.107783;https://doi.org/10.1016/j.fcr.2020.107783;;yes;journal-article;Novel approach to the analysis of spatially-varying treatment effects in on-farm experiments;"Suman Rakshit; Adrian Baddeley; Katia Stefanova; Karyn Reeves; Kefei Chen; Zhanglong Cao; Fiona Evans; Mark Gibberd";2020;Field Crops Research;Elsevier BV;yield ~ long*lat|factor(year | lat~long | yield~nitro|topo | lm(yield ~ 1 + nitro + I(nitro^2 | corn with a spatial regression model. Proceedings of the Fifth | Four Spatial Regression Models for Yield Monitor Data: A Case;lm, regression;Source: University of Minnesota Precision Agriculture Center. Retrieved 27 Aug 2015 from https://web.archive.org/web/20100717003256/https://www.soils.umn.edu/academics/classes/soil4111/files/yield_a.xls Used via license: Creative Commons BY-SA 3.0. || References: Suman Rakshit, Adrian Baddeley, Katia Stefanova, Karyn Reeves, Kefei Chen, Zhanglong Cao, Fiona Evans, Mark Gibberd (2020). Novel approach to the analysis of spatially-varying treatment effects in on-farm experiments. Field Crops Research, 255, 15 September 2020, 107783. https://doi.org/10.1016/j.fcr.2020.107783 || Description: Yield monitor data from a corn field in Minnesota || Details: The data was collected 5 Nov 2011 from a corn field south of Mankato, Minnesota, using a combine-mounted yield monitor. https://www.google.com/maps/place/43.9237575,-93.9750632 Each harvested swath was 12 rows wide = 360 inches. Timestamp 0 = 5 Nov 2011, 12:38:03 Central Time. Timestamp 16359 = 4.54 hours later. Yield is calculated as total dry weight (corrected to 15.5 percent moisture), divided by 56 pounds (to get bushels), divided by the harvested area: drygrain = [massflow * seconds * (100-moisture) / (100-15.5)] / 56 harvested area = (distance * swath width) / 6272640 yield = drygrain / area;;wiki\datasets\r_package_docs\agridat\topics\gartner.corn.md;;6;spatial;;anova, model, regression
mgwrsar;mydata;mgwrsar::mydata;doi;10.1016/j.regsciurbeco.2017.04.001;https://doi.org/10.1016/j.regsciurbeco.2017.04.001;;yes;journal-article;A new method for dealing simultaneously with spatial autocorrelation and spatial heterogeneity in regression models;"Ghislain Geniaux; Davide Martinetti";2018;Regional Science and Urban Economics;Elsevier BV;;;References: doi:10.1016/j.regsciurbeco.2017.04.001 <https://doi.org/10.1016/j.regsciurbeco.2017.04.001> || Description: mydata is a simulated data set of a mgwrsar model;raw\estimators\Mgwrsar\mgwrsar_1.3.2\mgwrsar\data\mydata.RData | raw\estimators\Mgwrsar\mgwrsar_1.3.2\mgwrsar\data\mydatasf.RData | raw\estimators\Mgwrsar\mgwrsar_1.3.2\mgwrsar\man\coef.mgwrsar.Rd | raw\estimators\Mgwrsar\mgwrsar_1.3.2\mgwrsar\man\fitted.mgwrsar.Rd | raw\estimators\Mgwrsar\mgwrsar_1.3.2\mgwrsar\man\mgwrsar-class.Rd;wiki\datasets\r_package_docs\mgwrsar\topics\mydata.md;;15;gwr, mgwr, regional, spatial;;gwr, model, regression
agridat;williams.barley.uniformity;agridat::williams.barley.uniformity;doi;10.1016/j.spasta.2017.10.003;https://doi.org/10.1016/j.spasta.2017.10.003;;yes;journal-article;Correcting for spatial heterogeneity in plant breeding experiments with P-splines;"María Xosé Rodríguez-Álvarez; Martin P. Boer; Fred A. van Eeuwijk; Paul H.C. Eilers";2018;Spatial Statistics;Elsevier BV;yield ~ col*row | yield~col*row | fit~col*row | aov(yield ~ factor(row | desplot(dat, yield ~ col*row, | dat$fit <- fitted(loess(yield~col*row, dat, span=.1));anova;Source: Williams, ER and Luckett, DJ. 1988. The use of uniformity data in the design and analysis of cotton and barley variety trials. Australian Journal of Agricultural Research, 39, 339-350. https://doi.org/10.1071/AR9880339 || References: Maria Xose Rodriguez-Alvarez, Martin P. Boer, Fred A. van Eeuwijk, Paul H. C. Eilersd (2018). Correcting for spatial heterogeneity in plant breeding experiments with P-splines. Spatial Statistics, 23, 52-71. https://doi.org/10.1016/j.spasta.2017.10.003 || Description: Uniformity trial of barley at Narrabri, New South Wales, 1984. || Details: Grown at Roseworthy Agricultural College. Plots were 5 m long (4 m sown, 3.3 m harvested) by 0.75 m wide. A three-plot seeder was used, planting in a serpentine fashion. Williams noted that it appears that the middle plot of each pass has a lower yield, possibly due to soil compaction from the tractor. Field width: 48 plots * .75 m = 36 m Field length: 15 plots * 5 m = 75 m;;wiki\datasets\r_package_docs\agridat\topics\williams.barley.uniformity.md;;4;spatial;;anova
surveillance;measles.weser;surveillance::measles.weser;doi;10.18637/jss.v077.i11;https://doi.org/10.18637/jss.v077.i11;;yes;journal-article;Spatio-Temporal Analysis of Epidemic Phenomena Using the <i>R</i> Package <b>surveillance</b>;"Sebastian Meyer; Leonhard Held; Michael Höhle";2017;Journal of Statistical Software;Foundation for Open Access Statistic;;;"Source: Measles counts were obtained from the public SurvStat database of the Robert Koch institute: <https://survstat.rki.de/>. A shapefile of Germany's districts as of 01/01/2009 was obtained from the German Federal Agency for Cartography and Geodesy (<https://gdz.bkg.bund.de/>). The map of the 17 districts of the “Weser-Ems” region (‘measlesWeserEms@map’) is a simplified subset of this shapefile using a 30% reduction via the Douglas-Peucker reduction method as implemented at <https://MapShaper.org>. Population numbers were obtained from the Federal Statistical Office of Lower Saxony (LSN). Vaccination coverage was obtained from the public health department of Lower Saxony (NLGA, “Impfreport”). || References: Meyer, S., Held, L. and Höhle, M. (2017): Spatio-temporal analysis of epidemic phenomena using the R package ‘surveillance’. _Journal of Statistical Software_, *77* (11), 1-55. doi:10.18637/jss.v077.i11 <https://doi.org/10.18637/jss.v077.i11> || Description: Weekly counts of new measles cases for the 17 administrative districts (NUTS-3 level) of the “Weser-Ems” region of Lower Saxony, Germany, during 2001 and 2002, as reported to the Robert Koch institute according to the Infection Protection Act (“Infektionsschutzgesetz”, IfSG). ‘data(""measlesWeserEms"")’ is a corrected version of ‘data(""measles.weser"")’ (see Format section below). These data are illustrated and analyzed in Meyer et al. (2017, Section 5), see ‘vignette(""hhh4_spacetime"")’.";;wiki\datasets\r_package_docs\surveillance\topics\measles.weser.md;;11;spatio;spatio-temporal, temporal;
HistData;Playfair1824;HistData::Playfair1824;doi;10.1111/j.1740-9713.2017.01071.x;https://doi.org/10.1111/j.1740-9713.2017.01071.x;;yes;journal-article;Who is buried in Playfair's Grave?;"Ian Spence; Colin R. Fenn; Scott Klein";2017;Significance;Oxford University Press (OUP);;;"Source: Ivan Lokhov, Remaking a 200-year-old chart <https://www.datawrapper.de/blog/playfair-chronology-multiple-lines> || References: Playfair, W. (1824). _Chronology of Public Events and Remarkable Occurrences within the Last Fifty Years; or from 1774 to 1824_, published by W. Lewis, Finch Lane, London. The original chart can be seen on Wikimedia at: https://bit.ly/4ihX92a Spence, I., Fenn, C. R., & Klein, S. (2017). Who is buried in Playfairs grave? _Significance_, 14(5), 20–23. doi:10.1111/j.1740-9713.2017.01071.x <https://doi.org/10.1111/j.1740-9713.2017.01071.x> || Description: Data from William Playfair's (1824) last graph, titled ""Linear Chronology, Exhibiting the Revenues, Expenditure, Debt, Price of Stocks and Bread, from 1770 to 1824"". The chart tracks multiple economic variables, including national debt, exports, imports, revenue, expenditure, the price of stocks, and the price of bread over a 154 year time span. || Details: Playfair's 1824 chart is a pivotal work in the history of data visualization because it uses a multiple line graphs showing time series of economic indicators over time, with a fine appreciation of the complexity and directly labeled curves. The dataset, extracted from the image by Ivan Lokhov using WebPlotDigitizer, presents a challenge in trying re-create it, or do better using modern graphics methods.";;wiki\datasets\r_package_docs\HistData\topics\Playfair1824.md;;4;;time series;
agridat;kayad.alfalfa;agridat::kayad.alfalfa;doi;10.1371/journal.pone.0157166;https://doi.org/10.1371/journal.pone.0157166;;yes;journal-article;Assessing the Spatial Variability of Alfalfa Yield Using Satellite Imagery and Ground-Based Data;"Ahmed G. Kayad; Khalid A. Al-Gaadi; ElKamil Tola; Rangaswamy Madugundu; Ahmed M. Zeyada; Chariton Kalaitzidis";2016;PLOS ONE;Public Library of Science (PLoS);yield ~ long*lat |harvest | levelplot(yield ~ long*lat |harvest, dat, | ## levelplot(yield ~ long*lat |harvest, dat,;;Source: Ahmed G. Kayad, et al. (2016). Assessing the Spatial Variability of Alfalfa Yield Using Satellite Imagery and Ground-Based Data. PLOS One, 11(6). https://doi.org/10.1371/journal.pone.0157166 || References: None || Description: Yield monitor data for 4 cuttings of alfalfa in Saudi Arabia. || Details: Data was collected from a 23.5 ha field of alfalfa in Saudia Arabia. The field was harvested four consecutive times (H8 = 5 Dec 2013, H9 = 16 Feb 2014, H10 = 2 Apr 2014, H11 = 6 May 2014). Data were collected using a geo-referenced yield monitor. Supporting information contains yield monitor data for 4 hay harvests on a center-pivot field. # TODO: Normalize the yields for each harvest, then average together # to create a productivity map. Two ways to normalize: # Normalize to 0-100: ((mapValue - min) * 100) / (max - min) # Standardize: ((mapValue - mean) / stdev) * 100;;wiki\datasets\r_package_docs\agridat\topics\kayad.alfalfa.md;;3;spatial;;
