zenodo_id,title,year,license,doi_dataset,doi_publication,n_obs,t_periods,n_t_method,n_files,formats,spatial_formats,total_size_mb,zenodo_url,first_download_url,paper_title,paper_year,abstract_available,paper_abstract_preview,task_type,modeling_signals,modeling_score,candidate_decision
18421412,Data and Code for: Climate–Fire Relationships Across Global Mountain Systems: A Six-Continent Analysis,2026,cc-by-4.0,10.5281/zenodo.18421412,,,,regex_metadata,8,"csv, js, md",,99.45,https://zenodo.org/records/18421412,https://zenodo.org/api/records/18421412/files/MountainFire_Alps_Western_2013_2023.csv/content,,,False,,unknown,,0,review
5534232,"Supplementary data and files to Figure 8 of Eva Rosenstock, Linear Pottery and Harris (2022)",2022,cc-by-4.0,10.5281/zenodo.5534232,,,,regex_metadata,8,"csv, graphml, hmcx, jpg, pdf",,1.49,https://zenodo.org/records/5534232,https://zenodo.org/api/records/5534232/files/Ulm-Eggingen_Strat_collapsed.graphml/content,,,False,,unknown,,0,review
14499026,"Analytical Dataset and R Code for Manuscript ""Intentional cranial modifications in the Americas – the temporal and spatial patterns of potential transmissions and cultural innovations""",2026,cc-by-sa-4.0,10.5281/zenodo.14499026,,1722,,regex_metadata,5,"csv, docx, r, zip",,86.89,https://zenodo.org/records/14499026,https://zenodo.org/api/records/14499026/files/Final%20Points%20Data%20Americas%2021%20May%202025.csv/content,,,False,,unknown,,0,review
10476054,"STEHME files & HOLSEA spreadsheet for ""Creel et al. 2022: Postglacial Relative Sea Level Change in Norway"" and Balascio et al. 2023: ""Refining Holocene sea-level dynamics for the Lofoten and Vesterålen archipelagos, northern Norway: Implications for prehistoric human-environment interactions""",2024,cc-by-4.0,10.5281/zenodo.10476054,,,,regex_metadata,4,"csv, nc",nc,25.37,https://zenodo.org/records/10476054,https://zenodo.org/api/records/10476054/files/stehme_mean_230721.nc/content,,,False,,unknown,,0,review
15501267,Data for IMF By paper,2021,cc-by-4.0,10.5065/j0yy-wf53,10.1029/2021JA029816,,,regex_metadata,2,"nc, xml",nc,100.95,https://zenodo.org/records/15501267,https://zenodo.org/api/records/15501267/files/tiegcmdataforfigureby.nc/content,The Effects of IMF <i>B</i><sub><i>y</i></sub> on the Middle Thermosphere During a Geomagnetically “Quiet” Period at Solar Minimum,2022,True,Abstract Numerical simulations using the National Center for Atmospheric Research (NCAR) thermosphere‐ionosphere‐electrodynamics general circulation model (TIE‐GCM) are performed to elucidate the effects of the interplanetary magnetic field,simulation_modeling,simulation_modeling,1,review
19412786,"Arboviral Disease Cases in Recife, Brazil (2013–2025): Clean and Geocoded Dataset",2026,cc-by-4.0,10.5281/zenodo.19412786,10.1016/j.chaos.2026.118089; 10.48550/arXiv.2510.13672; 10.48550/arXiv.2601.09747,,,regex_metadata,2,parquet,parquet,60.18,https://zenodo.org/records/19412786,https://zenodo.org/api/records/19412786/files/dengue_recife_2013_2025_geo%20(1).parquet/content,Correlation-weighted communicability curvature as a structural driver of dengue spread: A Bayesian spatial analysis of Recife (2015–2024),2026,True,"We investigate whether functional connectivity in urban road networks explains dengue incidence in Recife, Brazil (2015–2024), beyond traditional adjacency-based spatial dependence. For each neighborhood, we compute the average communicabil",regression,"bayesian, regression",2,review
15501349,Buoyancy in Deep Convection Simulations,2021,cc-by-4.0,10.5065/hqt3-1h72,,,,regex_metadata,9,"csh, dat, nw, pri_pol, pris_adcn, xml",,1604.91,https://zenodo.org/records/15501349,https://zenodo.org/api/records/15501349/files/levels.dat/content,,,False,,simulation_modeling,simulation_modeling,1,review
15501286,"Datasets used in ""Large Eddy Simulation for Investigating Coupled Forest Canopy and Turbulence Influences on Atmospheric Chemistry""",2022,cc-by-4.0,10.5065/ky81-f733,10.1029/2022MS003078,,,regex_metadata,34,"csv, dat, pdf, xml",,236.46,https://zenodo.org/records/15501286,https://zenodo.org/api/records/15501286/files/readme.pdf/content,Large Eddy Simulation for Investigating Coupled Forest Canopy and Turbulence Influences on Atmospheric Chemistry,2022,True,"Abstract Exchanges of reactive gases between forests and the atmosphere influence tropospheric chemistry, climate, and ecosystems. Chemistry inside canopies can alter these exchanges yet understanding of the chemistry and processes influenc",simulation_modeling,simulation_modeling,1,review
15508039,"Model dataset for Morrison et al. (2020) ""Comparing growth rates of moist and dry convective thermals"" submitted to JAS",2020,cc-by-4.0,10.5065/3vqc-qh64,10.1175/JAS-D-20-0166.1,,,regex_metadata,2,"xml, zip",,9737.04,https://zenodo.org/records/15508039,https://zenodo.org/api/records/15508039/files/96_morrison.xml/content,Comparing Growth Rates of Simulated Moist and Dry Convective Thermals,2020,True,"Abstract The spreading rates of convective thermals are linked to their net entrainment, and previous literature has suggested differences in spreading rates between moist and dry thermals. In this study, growth rates of idealized numerical",simulation_modeling,simulation_modeling,1,review
4946125,Data from: Variability in dispersal syndromes is a key driver of metapopulation dynamics in experimental microcosms,2019,cc-zero,10.5061/dryad.r63jf31,10.1086/705410,,,regex_metadata,1,txt,,0.01,https://zenodo.org/records/4946125,https://zenodo.org/api/records/4946125/files/Data_Jacob%20et%20al.%20AmNat%202019.txt/content,Duty to Promote Disability Equality: Final Report. Responding to the Duty to Promote Disability Equality in the Post-School Sector.,2006,True,"Evolutionary ecology studies have increasingly focused on the impact of intraspecific variability on population processes. However, the role such variation plays in the dynamics of spatially structured populations and how it interacts with ",unknown,,0,review
6503701,"Genetic epidemiology of blood type, disease and trait variants, and genome-wide genetic diversity in over 11,000 domestic cats",2022,cc-zero,10.5061/dryad.gb5mkkwrg,,,,regex_metadata,2,txt,,172.74,https://zenodo.org/records/6503701,https://zenodo.org/api/records/6503701/files/README_file.txt/content,,,False,,unknown,,0,review
10581235,Patterns and drivers of organic matter decomposition in peatland open-water pools,2024,cc-by-4.0,10.5281/zenodo.10581235,,,,regex_metadata,5,csv,,0.07,https://zenodo.org/records/10581235,https://zenodo.org/api/records/10581235/files/Arsenault-2024_LB.csv/content,,,False,,unknown,,0,review
17781599,Processed Spatio-Temporal Flood Prediction Dataset for Jakarta,2025,cc-by-4.0,10.5281/zenodo.17781599,,,,regex_metadata,1,zip,,0.12,https://zenodo.org/records/17781599,https://zenodo.org/api/records/17781599/files/Dataset_FloodRisk_Jakarta.zip/content,,,False,,forecasting,forecasting,2,review
15501205,A large ensemble of spatially and annually averaged CESM CAM 100-year data,2020,cc-by-4.0,10.5065/jk8v-pn52,,,100,regex_metadata,2,"xml, zip",,5.4,https://zenodo.org/records/15501205,https://zenodo.org/api/records/15501205/files/102_abaker.xml/content,,,False,,unknown,,0,review
