metadata_schema;candidate_status;dataset_doi;dataset_title;dataset_publisher;dataset_year;data_access_url;publication_doi;publication_title;publication_venue;publication_year;publication_url;open_access_pdf_url;cited_by_count;formula_status;formula_pub;estimators_from_metadata;spatial_evidence;model_evidence;verification_notes;local_pdf;ingestion_status;ingestion_next_step;bib_key
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.9p8cz8wdz;Consistent concentrations of critically endangered Balearic shearwaters in UK waters revealed by at-sea surveys;Dryad;2021;https://datadryad.org/dataset/doi:10.5061/dryad.9p8cz8wdz;10.1002/ece3.7059;Consistent concentrations of critically endangered Balearic shearwaters in UK waters revealed by at-sea surveys;Ecology and Evolution;2021;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.7059;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.7059;6;pending_grobid_kg;;['random_forest'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Écologie marine spatiale : distribution Balearic shearwaters, GAM et Random Forest pour prédiction présence, variables océanographiques, coordonnées géographiques.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2021_ConsistentConcentrationsOfCritically_10_1002_ece3_705
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.w0vt4b954;Data from: On the brink: Mapping the last strongholds of the critically endangered flapper skate ( Dipturus intermedius );Dryad;2026;https://datadryad.org/dataset/doi:10.5061/dryad.w0vt4b954;10.1002/ece3.71650;On the Brink: Mapping the Last Strongholds of the Critically Endangered Flapper Skate ( Dipturus intermedius );Ecology and Evolution;2025;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.71650;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.71650;6;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Écologie marine spatiale : distribution flapper skate, Bayesian spatial binomial GAMM, covariables environnementales, pression de pêche, coordonnées géographiques.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2025_OnTheBrinkMapping_10_1002_ece3_716
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.prr4xgxmj;Predator biomass, prey biomass landcover and climate data from spotted hyaena and lion sites in Africa;Dryad;2022;https://datadryad.org/dataset/doi:10.5061/dryad.prr4xgxmj;10.1002/ece3.8359;Environmental factors influencing spotted hyena and lion population biomass across Africa;Ecology and Evolution;2021;https://doi.org/10.1002/ece3.8359;https://doi.org/10.1002/ece3.8359;11;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Étude sur la biomasse de prédateurs (hyènes, lions) en Afrique avec régression PLS (Partial Least Squares) spatiale, variables climatiques et de végétation, données multi-sites avec coordonnées. Domaine biodiversité/climat pertinent.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2021_EnvironmentalFactorsInfluencingSpotted_10_1002_ece3_835
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.6084/m9.figshare.1626651;Cost estimation using ANFIS;Taylor & Francis;2016;https://tandf.figshare.com/articles/dataset/Technical_note_Cost_estimation_using_ANFIS/1626651/3;10.1080/0013791x.2015.1104568;Cost estimation using ANFIS;The Engineering Economist;2015;https://doi.org/10.1080/0013791x.2015.1104568;;12;pending_grobid_kg;;['kriging', 'OLS'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;"Estimation de coût avec ANFIS, comparaison avec MLR, Taylor Kriging (TK), ANN ; kriging est une méthode de prédiction spatiale, pertinent pour benchmark.";;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2015_CostEstimationUsingAnfis_10_1080_0013791x
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.6084/m9.figshare.4478390;MWPCR: Multiscale Weighted Principal Component Regression for High-Dimensional Prediction;Taylor & Francis;2017;https://tandf.figshare.com/articles/dataset/MWPCR_Multiscale_Weighted_Principal_Component_Regression_for_High-dimensional_Prediction/4478390;10.1080/01621459.2016.1261710;MWPCR: Multiscale Weighted Principal Component Regression for High-Dimensional Prediction;Journal of the American Statistical Association;2016;https://doi.org/10.1080/01621459.2016.1261710;;13;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Régression haute dimension avec composantes spatiales (spatial features, smoothness, correlation), MWPCR intègre PCA et méthodes kernel pour prédiction avec features spatiales (imagerie biomédicale).;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2016_MwpcrMultiscaleWeightedPrincipal_10_1080_01621459
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.6084/m9.figshare.25897766;Distributed Heterogeneity Learning for Generalized Partially Linear Models with Spatially Varying Coefficients 1;Taylor & Francis;2024;https://tandf.figshare.com/articles/dataset/Distributed_Heterogeneity_Learning_for_Generalized_Partially_Linear_Models_with_Spatially_Varying_Coefficients_sup_1_sup_/25897766;10.1080/01621459.2024.2359131;Distributed Heterogeneity Learning for Generalized Partially Linear Models with Spatially Varying Coefficients;Journal of the American Statistical Association;2024;https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/nihms-2003251.pdf;https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/nihms-2003251.pdf;8;pending_grobid_kg;;['SVC'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;Régression spatiale explicite : modèle partiellement linéaire généralisé avec coefficients spatialement variables (spatially varying coefficients), spline bivarié, hétérogénéité spatiale.;;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2024_DistributedHeterogeneityLearningFor_10_1080_01621459
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.5qg30sd;Data from: Harbour porpoise responses to pile-driving diminish over time;Dryad;2019;https://datadryad.org/dataset/doi:10.5061/dryad.5qg30sd;10.1098/rsos.190335;Harbour porpoise responses to pile-driving diminish over time;Royal Society Open Science;2019;https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.190335;https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.190335;75;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;"Réponses comportementales de marsouins au bruit de battage de pieux ; détecteurs d'écholocation et enregistreurs de bruit avec coordonnées spatiales ; régression pour probabilité de réponse en fonction de la distance ; 75 citations";;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2019_HarbourPorpoiseResponsesTo_10_1098_rsos_190
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.c68cj62;Data from: Lower bumblebee colony reproductive success in agricultural compared to urban environments;Dryad;2018;https://datadryad.org/dataset/doi:10.5061/dryad.c68cj62;10.1098/rspb.2018.0807;Lower bumblebee colony reproductive success in agricultural compared with urban environments;Proceedings of the Royal Society B Biological Sciences;2018;https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.0807;https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.0807;122;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;"Succès reproductif de colonies de bourdons en fonction de l'urbanisation ; analyse de cluster d'utilisation du sol ; sites avec coordonnées ; domaine écologie urbaine/pollinisateurs ; 122 citations";;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2018_LowerBumblebeeColonyReproductive_10_1098_rspb_201
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.fv322;Data from: Climate and competition effects on tree growth in Rocky Mountain forests;Dryad;2018;https://datadryad.org/dataset/doi:10.5061/dryad.fv322;10.1111/1365-2745.12782;Climate and competition effects on tree growth in Rocky Mountain forests;Journal of Ecology;2017;https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.12782;https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.12782;105;pending_grobid_kg;;['OLS'];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;"Régression non linéaire pour croissance d'arbres avec effets climatiques et compétition spatiale (neighborhood crowding) ; données de carottes d'arbres avec coordonnées ; domaine forêt/climat ; 105 citations";;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2017_ClimateAndCompetitionEffects_10_1111_1365_274
spatialtidymodels_datacite_ingestion_v1;verified_candidate;10.5061/dryad.866t1g1n0;A gap analysis modeling framework to prioritize collecting for ex situ conservation of crop landraces;Dryad;2021;https://datadryad.org/dataset/doi:10.5061/dryad.866t1g1n0;10.1111/ddi.13046;A gap analysis modelling framework to prioritize collecting for ex situ conservation of crop landraces;Diversity and Distributions;2020;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13046;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13046;35;pending_grobid_kg;;[];DataCite formats/description/subjects matched geometry heuristics;DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics;"Modélisation de distribution spatiale de variétés traditionnelles de haricot commun ; gap analysis avec prédicteurs environnementaux et socioéconomiques ; domaine agriculture/conservation ex situ ; 35 citations";;candidate_dataset_download_pending;download legal OA PDF/data metadata, run GROBID, extract formula/model evidence, then decide if a dataset fiche is warranted;DataCite_2020_AGapAnalysisModelling_10_1111_ddi_1304
