dataset_doi;publication_doi;publication_title;local_pdf;candidate_status;data_access_url
10.5061/dryad.7sqv9s51c;10.1002/eap.2893;Building use‐inspired species distribution models: Using multiple data types to examine and improve model performance;;rejected_after_manual_screening;https://datadryad.org/stash/dataset/doi:10.5061/dryad.7sqv9s51c
10.6084/m9.figshare.4126881;10.1002/sim.7172;Cluster detection of spatial regression coefficients;corpus\papers\raw_pdf\Cluster detection of spatial regression coefficients.pdf;verified_candidate;https://wiley.figshare.com/articles/dataset/Dataset_for_Cluster_Detection_of_Spatial_Regression_Coefficients/4126881
10.7910/dvn/828wud;10.1007/s10640-021-00536-2;Systematic Variation in Waste Site Effects on Residential Property Values: A Meta-Regression Analysis and Benefit Transfer;corpus\papers\raw_pdf\Systematic Variation in Waste Site Effects on Residential Property Values - A Meta-Regression Analysis and Benefit Transfer.pdf;verified_candidate;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/828WUD
10.17632/fthhmvgm6r.1;10.1016/j.eneco.2015.08.003;Regional distribution of photovoltaic deployment in the UK and its determinants: A spatial econometric approach;corpus\papers\raw_pdf\Regional distribution of photovoltaic deployment in the UK and its determinants A spatial econometric approach.pdf;verified_candidate;https://data.mendeley.com/datasets/fthhmvgm6r/1
10.7910/dvn/58c6hg;10.1016/j.envint.2019.104909;An ensemble-based model of PM2.5 concentration across the contiguous United States with high spatiotemporal resolution;corpus\papers\raw_pdf\An ensemble-based model of PM2.5 concentration across the contiguous united states with high spatiotemporal resolution.pdf;verified_candidate;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/58C6HG
10.23719/1504128;10.1016/j.ufug.2020.126778;Examining the effects of green infrastructure on residential sales prices in Omaha, Nebraska;;rejected_after_manual_screening;https://catalog.data.gov/dataset/omaha-property-values-and-gi
10.7910/dvn/cy7ywe;10.1017/pan.2020.23;The Wald Test of Common Factors in Spatial Model Specification Search Strategies;corpus\papers\raw_pdf\Juhl_2021_WaldTestCommonFactorsSpatialModelSpecification.pdf;verified_candidate;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/CY7YWE
10.7910/dvn/dgxcth;10.1021/acs.est.0c01791;An Ensemble Learning Approach for Estimating High Spatiotemporal Resolution of Ground-Level Ozone in the Contiguous United States;corpus\papers\raw_pdf\AnEnsembleLearningApproachforEstimatingHighSpatiotemporalResolution.pdf;verified_candidate;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DGXCTH
10.7910/dvn/lufkyg;10.1021/acs.est.9b03358;Assessing NO<sub>2</sub> Concentration and Model Uncertainty with High Spatiotemporal Resolution across the Contiguous United States Using Ensemble Model Averaging;corpus\papers\raw_pdf\Assessing NO2 Concentration and Model Uncertainty with High spatiotemporal resolution accross the contiguous united states.pdf;verified_candidate;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/LUFKYG
10.6084/m9.figshare.6189341;10.1038/sdata.2018.246;A global dataset of air temperature derived from satellite remote sensing and weather stations;corpus\papers\raw_pdf\A global dataset of air temperature derived from satellite remote sensing and weather stations.pdf;verified_candidate;https://springernature.figshare.com/articles/Beta0_for_the_geographically_weighted_regressions/6189341
10.6084/m9.figshare.7037693;10.1080/01621459.2014.881742;Spatially Varying Coefficient Model for Neuroimaging Data With Jump Discontinuities;;needs_manual_curation;https://tandf.figshare.com/articles/Spatially_Varying_Coefficient_Model_for_Neuroimaging_Data_With_Jump_Discontinuities/7037693
10.6084/m9.figshare.19391222;10.1080/07474938.2022.2047507;Model selection and model averaging for matrix exponential spatial models;corpus\papers\raw_pdf\Model selection and model averaging for matrix exponential spatial models_nodatafound.pdf;verified_candidate;https://tandf.figshare.com/articles/dataset/Model_selection_and_model_averaging_for_matrix_exponential_spatial_models/19391222
10.6084/m9.figshare.11506803;10.1080/13658816.2019.1707834;Geographically neural network weighted regression for the accurate estimation of spatial non-stationarity;;rejected_after_manual_screening;https://tandf.figshare.com/articles/dataset/Geographically_neural_network_weighted_regression_for_the_accurate_estimation_of_spatial_non-stationarity/11506803
10.6084/m9.figshare.11492220;10.1080/1747423x.2019.1707312;Agricultural technology adoption and land use: evidence for Brazilian municipalities;;needs_manual_curation;https://tandf.figshare.com/articles/Agricultural_technology_adoption_and_land_use_evidence_for_Brazilian_municipalities/11492220
10.6084/m9.figshare.15180179;10.1080/17583004.2021.1962979;Above ground carbon stock mapping over Coimbatore and Nilgiris Biosphere: a key source to the C sink;corpus\papers\raw_pdf\Above ground carbon stock mapping over coimbatore and Nilgiris biosphere.pdf;verified_candidate;https://tandf.figshare.com/articles/dataset/Above_ground_carbon_stock_mapping_over_Coimbatore_and_Nilgiris_Biosphere_a_key_source_to_the_C_sink/15180179
10.6084/m9.figshare.7492280;10.1080/24694452.2018.1462691;The Importance of Scale in Spatially Varying Coefficient Modeling;;rejected_after_manual_screening;https://tandf.figshare.com/articles/The_Importance_of_Scale_in_Spatially_Varying_Coefficient_Modeling/7492280
10.6077/2dhd-f934;10.1093/ajae/aaz047;The Role of Nonfarm Influences in Ricardian Estimates of Climate Change Impacts on US Agriculture;;rejected_after_manual_screening;https://data.socialsciences.cornell.edu/citation?persistentId=doi:10.6077/2DHD-F934
10.7910/dvn/vbnpjs;10.1093/isq/sqz068;Regulatory Convergence in the Financial Periphery: How Interdependence Shapes Regulators’ Decisions;corpus\papers\raw_pdf\Regulatory Convergence in the Financial Periphery.pdf;verified_candidate;https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/VBNPJS
10.5061/dryad.c5805;10.1111/1365-2435.13092;Primary productivity explains size variation across the Pallid bat's western geographic range;corpus\papers\raw_pdf\Primary productivity explains size variation across the Pallid bat western geographic range.pdf;verified_candidate;https://datadryad.org/dataset/doi:10.5061/dryad.c5805
10.5061/dryad.n02v6wwzn;10.1111/2041-210x.13762;MetaComNet: A random forest‐based framework for making spatial predictions of plant–pollinator interactions;corpus\papers\raw_pdf\Sydenham_2022_MetaComNet_RandomForestSpatialPollinatorPredictions.pdf;verified_candidate;https://datadryad.org/dataset/doi:10.5061/dryad.n02v6wwzn
10.5061/dryad.2z34tmpps;10.1111/2041-210x.13957;Balancing structural complexity with ecological insight in Spatio‐temporal species distribution models;corpus\papers\raw_pdf\Laxton_2023_StructuralComplexityEcologicalInsightSpatioTemporalSDM.pdf;verified_candidate;https://datadryad.org/dataset/doi:10.5061/dryad.2z34tmpps
10.5061/dryad.280gb5mrw;10.1111/ecog.06085;Niche conservatism limits the distribution of <i>Medicago</i> in the tropics;corpus\papers\raw_pdf\Niche conservatism limits the distribution of Medicago in the tropics.pdf;verified_candidate;https://datadryad.org/dataset/doi:10.5061/dryad.280gb5mrw
10.5061/dryad.nq8hg19;10.1111/geb.12999;Environmental factors explain the spatial mismatches between species richness and phylogenetic diversity of terrestrial mammals;corpus\papers\raw_pdf\Environmental factors explain the spatial mismatches between species richness and phylogenetic diversity of terrestrial mammals.pdf;verified_candidate;https://datadryad.org/dataset/doi:10.5061/dryad.nq8hg19
10.5061/dryad.k98sf7mdg;10.1111/geb.13792;Integrated species distribution models to account for sampling biases and improve range‐wide occurrence predictions;corpus\papers\raw_pdf\Global Ecology and Biogeography - 2023 - Mäkinen - Integrated species distribution models to account for sampling biases.pdf;verified_candidate;https://datadryad.org/dataset/doi:10.5061/dryad.k98sf7mdg
10.25384/sage.18902846.v1;10.1177/23998083211063885;Uncovering spatial heterogeneity in real estate prices via combined hierarchical linear model and geographically weighted regression;;needs_manual_curation;https://sage.figshare.com/articles/dataset/sj-csv-2-epb-10_1177_23998083211063885_Supplemental_Material_for_Uncovering_spatial_heterogeneity_in_real_estate_prices_via_combined_hierarchical_linear_model_and_geographically_weighted_regression/18902846/1
10.6084/m9.figshare.20236415;10.1186/s41043-022-00309-7;Spatial trends and projections of chronic malnutrition among children under 5 years of age in Ethiopia from 2011 to 2019: a geographically weighted regression analysis;corpus\papers\raw_pdf\Spatial trends and projections of chronic malnutrition among children under 5 years of age in Ethiopia from 2011 to 2019 a geographically weighted regression analysis.pdf;verified_candidate;https://springernature.figshare.com/articles/dataset/Additional_file_2_of_Spatial_trends_and_projections_of_chronic_malnutrition_among_children_under_5_years_of_age_in_Ethiopia_from_2011_to_2019_a_geographically_weighted_regression_analysis/20236415
10.3886/e112541;10.1257/aer.102.5.1898;A Rational Expectations Approach to Hedonic Price Regressions with Time-Varying Unobserved Product Attributes: The Price of Pollution;;needs_manual_curation;https://www.openicpsr.org/openicpsr/project/112541
10.5061/dryad.38578;10.1371/journal.pone.0138456;Spatial Structure of Above-Ground Biomass Limits Accuracy of Carbon Mapping in Rainforest but Large Scale Forest Inventories Can Help to Overcome;corpus\papers\raw_pdf\Spatial Structure of Above-Ground Biomass Limits Accuracy of Carbon Mapping in Rainforest but Large Scale Forest Inventories Can Help to Overcome.pdf;verified_candidate;https://datadryad.org/dataset/doi:10.5061/dryad.38578
10.6084/m9.figshare.10025600;10.1590/0001-3765201920180666;Spatial distribution of wood volume in Brazilian savannas;corpus\papers\raw_pdf\Spatial distribution of wood volume in Brazilian savannas.pdf;verified_candidate;https://scielo.figshare.com/articles/Spatial_distribution_of_wood_volume_in_Brazilian_savannas/10025600
10.6084/m9.figshare.6008072;10.1590/0034-7612163114;Construção de um índice de desenvolvimento sustentável e análise espacial das desigualdades nos municípios cearenses;corpus\papers\raw_pdf\Building a sustainable development index and spacial assessment of municipalities inequalities in the state of Ceara.pdf;verified_candidate;https://scielo.figshare.com/articles/dataset/Building_a_sustainable_development_index_and_spacial_assessment_of_municipalities_inequalities_in_the_state_of_Cear_/6008072
10.6084/m9.figshare.9986387;10.1590/0103-6351/4456;Determinants and spatial dependence of innovation in Brazilian regions: evidence from a Spatial Tobit Model;corpus\papers\raw_pdf\Determinants and spatial dependence of innovation in Brazilian regions - evidence from a Spatial Tobit Model.pdf;verified_candidate;https://scielo.figshare.com/articles/Determinants_and_spatial_dependence_of_innovation_in_Brazilian_regions_evidence_from_a_Spatial_Tobit_Model/9986387
10.6084/m9.figshare.14283351.v1;10.1590/01047760201521021532;ESTIMAÇÃO DE VOLUME DE MADEIRA DE EUCALIPTO POR COKRIGAGEM, KRIGAGEM E REGRESSÃO;;needs_manual_curation;https://scielo.figshare.com/articles/dataset/PREDICTIONG_OF_EUCALYPTUS_WOOD_BY_COKRIGING_KRIGING_AND_REGRESSION/14283351/1
10.6084/m9.figshare.11314013;10.1590/1806-9479.2019.187145;O impacto das cooperativas na produção agropecuária brasileira: uma análise econométrica espacial;corpus\papers\raw_pdf\O impacto das cooperativas na producao agropecuaria brasileira - uma analise econometrica espacial.pdf;verified_candidate;https://scielo.figshare.com/articles/The_impact_of_cooperatives_on_Brazilian_agricultural_production_a_spatial_econometric_analysis/11314013
10.6084/m9.figshare.6083843;10.4025/actasciagron.v40i1.36494;"&lt;b&gt;Regression models for prediction of corn yield in the state of Paraná (Brazil) from 2012 to 2014";;needs_manual_curation_priority;https://scielo.figshare.com/articles/dataset/Regression_models_for_prediction_of_corn_yield_in_the_state_of_Paran_Brazil_from_2012_to_2014/6083843
