dataset_doi;publication_doi;publication_title;local_pdf;status;source_url;note
10.5061/dryad.ngf1vhj1r;10.1002/ael2.20121;Early-season biomass and weather enable robust cereal rye cover crop biomass predictions;corpus\papers\raw_pdf\Huddell2024Earlyseason.pdf;pdf_present_pending_grobid;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ael2.20121;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ael2.20121 | synced by sync_manual_retrievals_status.py | dedup: renomme Huddell2024Earlyseason.pdf via pdf2bib le 2026-08-12, ancien fichier 'Early-season biomass and weather enable robust cereal rye cover crop biomass predictions.pdf' supprime"
10.5061/dryad.0rxwdbs8t;10.1002/ece3.11605;Spatial prediction of plant invasion using a hybrid of machine learning and geostatistical method;corpus\papers\raw_pdf\Shen2024Spatial.pdf;pdf_present_pending_grobid;https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.11605;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.11605 | synced by sync_manual_retrievals_status.py | dedup: renomme Shen2024Spatial.pdf via pdf2bib le 2026-08-12, ancien fichier 'Spatial prediction of plant invasion using a hybrid of machine learning and geostatistical method.pdf' supprime"
10.6084/m9.figshare.3753288;10.1002/env.2410;Spatio-temporal Bayesian model selection for disease mapping;corpus\papers\raw_pdf\Carroll2016Spatiotemporal.pdf;pdf_present_pending_grobid;; | synced by sync_manual_retrievals_status.py | dedup: renomme Carroll2016Spatiotemporal.pdf via pdf2bib le 2026-08-12, ancien fichier 'Spatio-temporal Bayesian model selection for disease mapping.pdf' supprime
10.5066/p9krsnu7;10.1002/rra.3835;Model estimated baseflow for streams with endangered Atlantic Salmon in Maine, USA;corpus\papers\raw_pdf\Lombard2021Model.pdf;pdf_present_pending_grobid;https://doi.org/10.1002/rra.3835;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1002/rra.3835 | synced by sync_manual_retrievals_status.py | dedup: renomme Lombard2021Model.pdf via pdf2bib le 2026-08-12, ancien fichier 'Model estimated baseflow for streams with endangered Atlantic Salmon in Maine USA.pdf' supprime"
10.17632/mhgdnc6f5w.1;10.1016/j.eneco.2020.104699;On the use of hedonic regression models to measure the effect of energy efficiency on residential property transaction prices: Evidence for Portugal and selected data issues;corpus\papers\raw_pdf\Evangelista2020Use.pdf;pdf_present_pending_grobid;https://doi.org/10.1016/j.eneco.2020.104699;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 200 text/html;charset=UTF-8 https://doi.org/10.1016/j.eneco.2020.104699 | synced by sync_manual_retrievals_status.py | dedup: renomme Evangelista2020Use.pdf via pdf2bib le 2026-08-12, ancien fichier 'On the use of hedonic regression models to measure the effect of energy efficiency on residential property transaction prices - Evidence for Portugal and selected data.pdf' supprime"
10.23719/1504128;10.1016/j.ufug.2020.126778;Examining the effects of green infrastructure on residential sales prices in Omaha, Nebraska;corpus\papers\raw_pdf\Hoover2020Examining.pdf;pdf_present_pending_grobid;; | synced by sync_manual_retrievals_status.py | dedup: renomme Hoover2020Examining.pdf via pdf2bib le 2026-08-12, ancien fichier 'Examining the effects of green infrastructure on residential sales prices in Omaha Nebraska.pdf' supprime
10.7910/dvn/adifov;10.1017/pan.2020.26;Bias from Network Misspecification Under Spatial Dependence;corpus\papers\raw_pdf\Betz2020Bias.pdf;pdf_present_pending_grobid;https://doi.org/10.1017/pan.2020.26;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 200 text/html; charset=utf-8 https://doi.org/10.1017/pan.2020.26 | synced by sync_manual_retrievals_status.py | dedup: renomme Betz2020Bias.pdf via pdf2bib le 2026-08-12, ancien fichier 'Bias from Network Misspecification Under Spatial Dependence.pdf' supprime"
10.5061/dryad.48nv3;10.1073/pnas.1612838113;Disparities in influenza mortality and transmission related to sociodemographic factors within Chicago in the pandemic of 1918;corpus\papers\raw_pdf\Grantz2016Disparities.pdf;pdf_present_pending_grobid;https://www.pnas.org/content/pnas/113/48/13839.full.pdf;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://www.pnas.org/content/pnas/113/48/13839.full.pdf | synced by sync_manual_retrievals_status.py | dedup: renomme Grantz2016Disparities.pdf via pdf2bib le 2026-08-12, ancien fichier 'Disparities in influenza mortality and transmission related to sociodemographic factors within Chicago in the pandemic of 1918.pdf' supprime"
10.6084/m9.figshare.21082235;10.1080/01621459.2022.2123333;Crop Yield Prediction Using Bayesian Spatially Varying Coefficient Models with Functional Predictors;corpus\papers\raw_pdf\Park2022Crop.pdf;pdf_present_pending_grobid;; | synced by sync_manual_retrievals_status.py | dedup: renomme Park2022Crop.pdf via pdf2bib le 2026-08-12, ancien fichier 'Crop Yield Prediction Using Bayesian Spatially Varying Coefficient Models with Functional Predictors.pdf' supprime
10.6084/m9.figshare.25897766;10.1080/01621459.2024.2359131;Distributed Heterogeneity Learning for Generalized Partially Linear Models with Spatially Varying Coefficients;corpus\papers\raw_pdf\Distributed Heterogeneity Learning for Generalized Partially Linear Models with Spatially Varying Coefficients.pdf;not_downloaded;https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/nihms-2003251.pdf | https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/nihms-2003251.pdf ; 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/"
10.6084/m9.figshare.28678415;10.1080/01621459.2025.2480867;Estimation and Inference of Quantile Spatially Varying Coefficient Models Over Complicated Domains;corpus\papers\raw_pdf\Mu2017Estimation.pdf;pdf_present_pending_grobid;https://pmc.ncbi.nlm.nih.gov/articles/PMC12445109/ | https://pmc.ncbi.nlm.nih.gov/articles/PMC12445109/pdf/;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC12445109/ ; 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC12445109/pdf/ | synced by sync_manual_retrievals_status.py | dedup: renomme Mu2017Estimation.pdf via pdf2bib le 2026-08-12, ancien fichier 'Estimation and inference in spatially varying coefficient models.pdf' supprime"
10.6084/m9.figshare.23978349;10.1080/09603123.2023.2248016;Is environment destiny? Spatial analysis of the relationship between geographic factors and obesity in Türkiye;corpus\papers\raw_pdf\Ylmaz2023Environment.pdf;pdf_present_pending_grobid;https://doi.org/10.1080/09603123.2023.2248016;"Aucune URL candidate n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://doi.org/10.1080/09603123.2023.2248016 | synced by sync_manual_retrievals_status.py | dedup: renomme Ylmaz2023Environment.pdf via pdf2bib le 2026-08-12, ancien fichier 'Is environment destiny Spatial analysis of the relationship between geographic factors and obesity in Turkiye.pdf' supprime"
10.6084/m9.figshare.9805397;10.1080/10618600.2019.1665534;Fast Nonseparable Gaussian Stochastic Process With Application to Methylation Level Interpolation;corpus\papers\raw_pdf\Gu2020Fast.pdf;pdf_present_pending_grobid;https://arxiv.org/pdf/1711.11501; | synced by sync_manual_retrievals_status.py | dedup: renomme Gu2020Fast.pdf via pdf2bib le 2026-08-12, ancien fichier 'Fast Nonseparable Gaussian Stochastic Process With Application to Methylation Level Interpolation.pdf' supprime
