dataset_doi,repo,verified,download_status,n_files,total_mb,local_raw_dir,linked_publication_doi,paper_resolved,title,note
10.25338/b8061x,dryad,True,downloaded,11,364.13,data\raw\papers\DatasetFirst_10_25338_b8061x,,False,"Multiple Benefits from Agricultural and Natural Land Covers in the Central Valley, CA",10 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 11
10.25338/b8ch1f,dryad,True,downloaded,6,40.22,data\raw\papers\DatasetFirst_10_25338_b8ch1f,10.5281/zenodo.5806381,True,Leveraging spatial patterns in precipitation forecasts using deep learning to support risk-averse flood management,4 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 6
10.25349/d9pw47,dryad,False,failed,13,6967.54,,10.5194/tc-2022-230,True,Snow cover and snow water equivalent for: How do tradeoffs in satellite spatial and temporal resolution impact snow water equivalent reconstruction?,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.25349/d9x893,dryad,True,verified_pending_download,2,2914.18,,10.1111/ecog.06107,True,Spatial uncertainty in herbarium data: Simulated displacement but not error distance alters estimates of phenological sensitivity to climate in a widespread California wildflower,"1 fichier(s) au format donnee reelle detecte(s) | depot 2984124Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.0cfxpnw6m,dryad,True,downloaded,2,72.06,data\raw\papers\DatasetFirst_10_5061_dryad_0cfxpnw6m,10.1111/gcb.16615,True,"Data for: Combining environmental niche models, multi-grain analyses, and species traits identifies pervasive effects of land use on butterfly biodiversity across Italy",1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.0p35r,dryad,False,failed,1,0.04,,10.1073/pnas.1317967111,True,"Data from: Governance, agricultural intensification and land sparing in tropical South America",listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.236j7,dryad,True,verified_pending_download,8,63127.04,,10.1016/j.ymeth.2017.01.007,True,Data from: Comparative analysis of 2D and 3D distance measurements to study spatial genome organization,"8 fichier(s) au format donnee reelle detecte(s) | depot 64642085Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.2fqz612zd,dryad,True,downloaded,3,2.53,data\raw\papers\DatasetFirst_10_5061_dryad_2fqz612zd,10.5281/zenodo.13341834,True, A modeling framework for quantifying spatial recruitment dynamics using abundance estimation and sibship analysis: code and simulation study output,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3
10.5061/dryad.2v1kr38,dryad,True,downloaded,12,6.88,data\raw\papers\DatasetFirst_10_5061_dryad_2v1kr38,10.1111/eva.12849,True,Data from: SNPs reveal a genetic cline across the northeast Atlantic and enable powerful population assignment in the European lobster,5 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 12
10.5061/dryad.2v6wwpzjj,dryad,True,downloaded,2,0.06,data\raw\papers\DatasetFirst_10_5061_dryad_2v6wwpzjj,10.1101/780122,True,Data from: Disease swamps molecular signatures of genetic-environmental associations to abiotic factors in Tasmanian devil (Sarcophilus harrisii) populations,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.3813d,dryad,True,downloaded,3,0.19,data\raw\papers\DatasetFirst_10_5061_dryad_3813d,10.1111/1365-2656.12567,True,Data from: Genetic mixture of multiple source populations accelerates invasive range expansion,3 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3
10.5061/dryad.3bk3j9kkm,dryad,True,downloaded,2,0.01,data\raw\papers\DatasetFirst_10_5061_dryad_3bk3j9kkm,10.5281/zenodo.5515373,True,Data from: Multispecies site occupancy modeling and study design for spatially replicated environmental DNA metabarcoding,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.3ffbg79n1,dryad,True,downloaded,7,0.51,data\raw\papers\DatasetFirst_10_5061_dryad_3ffbg79n1,10.1002/ecs2.4497digital,False,"Open-population SCR model to estimate spatiotemporal variation in individual birth locations, detection rates, and survival",2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 7
10.5061/dryad.3j9kd51kw,dryad,True,downloaded,3,0.05,data\raw\papers\DatasetFirst_10_5061_dryad_3j9kd51kw,10.1002/ecs2.4067,True,Lagged effects of herbivory impact host-choice but not nymphal survivorship in an ant-protected treehopper,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3
10.5061/dryad.3n5tb2rqt,dryad,True,verified_pending_download,18,9483.63,,10.1098/rspb.2023.2568,True,"R scripts, input and output data for: Season of death, pathogen persistence and wildlife behaviour alter number of anthrax secondary infections from environmental reservoirs","17 fichier(s) au format donnee reelle detecte(s) | depot 9711234Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.4qrfj6q6b,dryad,True,verified_pending_download,1,3694.92,,10.1073/pnas.2000247117,True,Spatial proximity moderates genotype uncertainty in genetic tagging studies,"1 fichier(s) au format donnee reelle detecte(s) | depot 3783603Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.51c59zw72,dryad,False,failed,1,0.13,,10.1111/1755-0998.13307,True,Identification of determinants of pollen donor fecundity using the hierarchical neighborhood model,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.5x69p8d1g,dryad,True,downloaded,11,0.18,data\raw\papers\DatasetFirst_10_5061_dryad_5x69p8d1g,10.1111/1365-2435.13672,True,"Data and code from: Vector demography, dispersal, and the spread of disease: Experimental epidemics under elevated resource supply",6 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 11
10.5061/dryad.5x69p8djr,dryad,True,downloaded,20,447.56,data\raw\papers\DatasetFirst_10_5061_dryad_5x69p8djr,10.17504/protocols.io.j8nlky52wg5r/v1,True,Leaf gas exchange measurement for steady-state stomatal conductance model calibration,19 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 20
10.5061/dryad.69p8cz94j,dryad,True,verified_pending_download,12,2042.45,,10.5281/zenodo.6821891,True,Detecting and reducing heterogeneity of error in acoustic classification: Data,"3 fichier(s) au format donnee reelle detecte(s) | depot 2091469Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.6m905qgc7,dryad,True,verified_pending_download,2,4298.67,,10.1109/tim.2024.3460944,True,Data for: A temporal–spatial framework for efficient heat flux monitoring of transient boiling,"1 fichier(s) au format donnee reelle detecte(s) | depot 4401843Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.7344f3r,dryad,True,downloaded,1,1.00,data\raw\papers\DatasetFirst_10_5061_dryad_7344f3r,10.1002/eap.1882,True,Data from: Increased population size of fish in a lowland river following restoration of structural habitat,1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5061/dryad.79cnp5hx3,dryad,True,downloaded,2,107.35,data\raw\papers\DatasetFirst_10_5061_dryad_79cnp5hx3,10.5281/zenodo.5847066,True,Positional errors in species distribution modelling are not overcome by the coarser grains of analysis,1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.7q22r2m,dryad,False,failed,1,0.03,,10.2136/vzj2018.12.0215,True,Data from: Soil hydraulic properties determined by inverse modeling of drip infiltrometer experiments extended with pedotransfer functions,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.83765sm,dryad,False,failed,1,1.03,,10.1111/eva.12760,True,Data from: Genetic analyses reveal complex dynamics within a marine fish management area,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.8931zcrm8,dryad,True,downloaded,3,0.09,data\raw\papers\DatasetFirst_10_5061_dryad_8931zcrm8,10.1111/ecog.04490,True,Data from: Climate limitation at the cold edge – contrasting perspectives from species distribution modelling and a transplant experiment,3 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3
10.5061/dryad.8cq43,dryad,True,downloaded,5,0.18,data\raw\papers\DatasetFirst_10_5061_dryad_8cq43,10.1111/1365-2435.13026,True,Data from: The effects of spatial scale and isoscape on consumer isotopic niche width,3 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 5
10.5061/dryad.8cz8w9gmz,dryad,True,downloaded,20,3.81,data\raw\papers\DatasetFirst_10_5061_dryad_8cz8w9gmz,10.1111/1365-2664.13724,True,Data from: Projected impacts of warming seas on commercially fished species at a biogeographic boundary of the European continental shelf,19 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 20
10.5061/dryad.8cz8w9gnp,dryad,True,downloaded,2,1.55,data\raw\papers\DatasetFirst_10_5061_dryad_8cz8w9gnp,10.1111/2041-210x.13525,True,Avian point-counts from Rhode Island and Connecticut used to test species distribution models,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.8gtht76rp,dryad,True,downloaded,2,0.49,data\raw\papers\DatasetFirst_10_5061_dryad_8gtht76rp,10.1371/journal.pone.0268111,True,How does the selection of National Development Zones affect urban green innovation?,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.8pk0p2np4,dryad,True,downloaded,2,0.08,data\raw\papers\DatasetFirst_10_5061_dryad_8pk0p2np4,10.22541/au.163420130.04455423/v1,True,Data from: Influence of different data cleaning solutions of point-occurrence records on downstream macroecological diversity models,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.9238j7f,dryad,False,failed,1,0.25,,10.1111/evo.13454,True,Data from: Experimental evolution across different thermal regimes yields genetic divergence in recombination fraction but no divergence in temperature-associated plastic recombination,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.99pj691,dryad,True,downloaded,2,244.55,data\raw\papers\DatasetFirst_10_5061_dryad_99pj691,10.1111/pala.12410,True,Data from: Spatial processes and evolutionary models: a critical review,1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
10.5061/dryad.9v46k,dryad,True,verified_pending_download,4,904.51,,10.1111/ecog.03098,True,"Data from: Can collective memories shape fish distributions? A test, linking space-time occurrence models and population demographics","2 fichier(s) au format donnee reelle detecte(s) | depot 926223Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.bk3j9kdk5,dryad,True,verified_pending_download,20,499.45,,10.1016/j.scitotenv.2022.156172,True,Improved estimation of global gross primary productivity during 1981–2020 using the optimized P model,"20 fichier(s) au format donnee reelle detecte(s) | depot 511438Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.bnzs7h4ch,dryad,True,downloaded,7,19.06,data\raw\papers\DatasetFirst_10_5061_dryad_bnzs7h4ch,10.5281/zenodo.6327693,True,Data from: Evaluating temporal and spatial transferability of a tidal inundation model for foraging waterbirds,4 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 7
10.5061/dryad.c2fqz61cv,dryad,True,verified_pending_download,6,799.81,,10.1175/waf-d-22-0143.1,True,Data for: A new paradigm for medium-range severe weather forecasts: Probabilistic random forest-based predictions,"5 fichier(s) au format donnee reelle detecte(s) | depot 819005Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.c699f,dryad,False,failed,1,0.01,,10.1002/eap.1702,True,Data from: Ecological niche modeling for a cultivated plant species: a case study on taro (Colocasia esculenta) in Hawai‘i,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.cb8gd26,dryad,True,verified_pending_download,20,3521.93,,10.1073/pnas.1817999116,True,Data from: Rates of niche and phenotype evolution lag behind diversification in a temperate radiation,"13 fichier(s) au format donnee reelle detecte(s) | depot 3606458Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.cn921,dryad,True,downloaded,1,0.00,data\raw\papers\DatasetFirst_10_5061_dryad_cn921,10.1111/1365-2745.12801,True,"Data from: Improving spatial predictions of taxonomic, functional and phylogenetic diversity",1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5061/dryad.cnp5hqcm6,dryad,True,downloaded,6,114.18,data\raw\papers\DatasetFirst_10_5061_dryad_cnp5hqcm6,10.64898/2026.05.29.728787,True,Data and code from: Water availability has stronger effects on West Nile virus dynamics in water-limited regions,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 6
10.5061/dryad.d7wm37px9,dryad,True,downloaded,1,399.42,data\raw\papers\DatasetFirst_10_5061_dryad_d7wm37px9,10.1002/ece3.5913,True,"Spatial sampling bias and model complexity in stream-based species distribution models: a case study of Paddlefish (Polyodon spathula) in the Arkansas River basin, U.S.A.",1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5061/dryad.db428,dryad,True,downloaded,1,0.23,data\raw\papers\DatasetFirst_10_5061_dryad_db428,10.1890/15-1526.1,True,Data from: Quantifying demographic uncertainty: Bayesian methods for integral projection models (IPMs),1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 1
10.5061/dryad.g79cnp620,dryad,False,failed,2,0.02,,10.1002/jeq2.70019,True,Estimates of black carbon emissions from global biomass burning for the period 1997–2023,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.h38p3b6,dryad,True,downloaded,2,68.16,data\raw\papers\DatasetFirst_10_5061_dryad_h38p3b6,10.1111/ecog.04122,True,Data from: Opportunistic records reveal Mediterranean reptiles’ scale‐dependent responses to anthropogenic land use,2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2
