dataset_doi,repo,verified,download_status,n_files,total_mb,local_raw_dir,linked_publication_doi,paper_resolved,title,note
10.25349/d9pw47,dryad,False,failed,13,6967.54,,10.5194/tc-2022-230,True,Snow cover and snow water equivalent for: How do tradeoffs in satellite spatial and temporal resolution impact snow water equivalent reconstruction?,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.25349/d9x893,dryad,True,verified_pending_download,2,2914.18,,10.1111/ecog.06107,True,Spatial uncertainty in herbarium data: Simulated displacement but not error distance alters estimates of phenological sensitivity to climate in a widespread California wildflower,"1 fichier(s) au format donnee reelle detecte(s) | depot 2984124Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.0p35r,dryad,False,failed,1,0.04,,10.1073/pnas.1317967111,True,"Data from: Governance, agricultural intensification and land sparing in tropical South America",listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.236j7,dryad,True,verified_pending_download,8,63127.04,,10.1016/j.ymeth.2017.01.007,True,Data from: Comparative analysis of 2D and 3D distance measurements to study spatial genome organization,"8 fichier(s) au format donnee reelle detecte(s) | depot 64642085Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.3n5tb2rqt,dryad,True,verified_pending_download,18,9483.63,,10.1098/rspb.2023.2568,True,"R scripts, input and output data for: Season of death, pathogen persistence and wildlife behaviour alter number of anthrax secondary infections from environmental reservoirs","17 fichier(s) au format donnee reelle detecte(s) | depot 9711234Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.4qrfj6q6b,dryad,True,verified_pending_download,1,3694.92,,10.1073/pnas.2000247117,True,Spatial proximity moderates genotype uncertainty in genetic tagging studies,"1 fichier(s) au format donnee reelle detecte(s) | depot 3783603Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.51c59zw72,dryad,False,failed,1,0.13,,10.1111/1755-0998.13307,True,Identification of determinants of pollen donor fecundity using the hierarchical neighborhood model,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.69p8cz94j,dryad,True,verified_pending_download,12,2042.45,,10.5281/zenodo.6821891,True,Detecting and reducing heterogeneity of error in acoustic classification: Data,"3 fichier(s) au format donnee reelle detecte(s) | depot 2091469Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.6m905qgc7,dryad,True,verified_pending_download,2,4298.67,,10.1109/tim.2024.3460944,True,Data for: A temporal–spatial framework for efficient heat flux monitoring of transient boiling,"1 fichier(s) au format donnee reelle detecte(s) | depot 4401843Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.7q22r2m,dryad,False,failed,1,0.03,,10.2136/vzj2018.12.0215,True,Data from: Soil hydraulic properties determined by inverse modeling of drip infiltrometer experiments extended with pedotransfer functions,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.83765sm,dryad,False,failed,1,1.03,,10.1111/eva.12760,True,Data from: Genetic analyses reveal complex dynamics within a marine fish management area,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.9238j7f,dryad,False,failed,1,0.25,,10.1111/evo.13454,True,Data from: Experimental evolution across different thermal regimes yields genetic divergence in recombination fraction but no divergence in temperature-associated plastic recombination,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.9v46k,dryad,True,verified_pending_download,4,904.51,,10.1111/ecog.03098,True,"Data from: Can collective memories shape fish distributions? A test, linking space-time occurrence models and population demographics","2 fichier(s) au format donnee reelle detecte(s) | depot 926223Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.bk3j9kdk5,dryad,True,verified_pending_download,20,499.45,,10.1016/j.scitotenv.2022.156172,True,Improved estimation of global gross primary productivity during 1981–2020 using the optimized P model,"20 fichier(s) au format donnee reelle detecte(s) | depot 511438Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.c2fqz61cv,dryad,True,verified_pending_download,6,799.81,,10.1175/waf-d-22-0143.1,True,Data for: A new paradigm for medium-range severe weather forecasts: Probabilistic random forest-based predictions,"5 fichier(s) au format donnee reelle detecte(s) | depot 819005Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.c699f,dryad,False,failed,1,0.01,,10.1002/eap.1702,True,Data from: Ecological niche modeling for a cultivated plant species: a case study on taro (Colocasia esculenta) in Hawai‘i,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.cb8gd26,dryad,True,verified_pending_download,20,3521.93,,10.1073/pnas.1817999116,True,Data from: Rates of niche and phenotype evolution lag behind diversification in a temperate radiation,"13 fichier(s) au format donnee reelle detecte(s) | depot 3606458Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.g79cnp620,dryad,False,failed,2,0.02,,10.1002/jeq2.70019,True,Estimates of black carbon emissions from global biomass burning for the period 1997–2023,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.k0p2ngfcc,dryad,True,verified_pending_download,5,5980.94,,10.1016/j.celrep.2023.113494,True,CODEX multiplexed imaging of immunotherapy in human and mouse melanomas,"4 fichier(s) au format donnee reelle detecte(s) | depot 6124482Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.kb401ch,dryad,False,failed,2,17.48,,10.1111/mec.15128,True,Data from: Local and regional scale habitat heterogeneity contribute to genetic adaptation in a commercially important marine mollusc (Haliotis rubra) from southeastern Australia,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.mw6m9067c,dryad,False,failed,2,0.30,,10.1111/1365-2745.70148,True,Several candidate size metrics explain vital rates across multiple populations throughout a widespread species' range,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.nzs7h44s4,dryad,True,verified_pending_download,6,18455.58,,10.1101/2020.05.26.117325,True,Fly and mouse tracking models and kinematics related to Anipose toolkit paper,"6 fichier(s) au format donnee reelle detecte(s) | depot 18898513Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.p8cz8wb18,dryad,False,failed,6,1.02,,10.1101/2025.02.10.637386,True,Data from: Jointly representing long-range genetic similarity and spatially heterogeneous isolation-by-distance,listing ambigu (formats non reconnus) - verification manuelle recommandee
10.5061/dryad.r4xgxd2tm,dryad,True,verified_pending_download,3,892.10,,10.1029/2025wr041510,True,Data for: A hybrid biophysical-machine learning framework for diurnal surface energy flux estimation using proximal sensing,"2 fichier(s) au format donnee reelle detecte(s) | depot 913514Ko > seuil max 500000Ko, telechargement saute"
10.5061/dryad.tdz08kq33,dryad,True,verified_pending_download,2,5582.61,,10.1111/1755-0998.13745,True,The topological nature of tag jumping in environmental DNA metabarcoding studies (sequencing raw data),"1 fichier(s) au format donnee reelle detecte(s) | depot 5716590Ko > seuil max 500000Ko, telechargement saute"
