metadata_schema;dataset_doi;dataset_title;dataset_repo;dataset_n_files;dataset_literature_score;publication_doi;publication_title;publication_venue;publication_year;publication_resolved;linked_publication_relationship;discovery_source;estimators_from_metadata;formula_status;formula_pub;formula_completeness;local_pdf;local_tei;local_raw_dir;download_status;verification_notes;ingestion_status;ingestion_next_step;bib_key
spatialtidymodels_dataset_first_ingestion_v1;10.25338/b8061x;Multiple Benefits from Agricultural and Natural Land Covers in the Central Valley, CA;dryad;11;6;;[dataset-first, publication non resolue] Multiple Benefits from Agricultural and Natural Land Covers in the Central Valley, CA;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_25338_b8061x;downloaded;10 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 11 | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_25338_b8061x
spatialtidymodels_dataset_first_ingestion_v1;10.25338/b8ch1f;Leveraging spatial patterns in precipitation forecasts using deep learning to support risk-averse flood management;dryad;6;5;10.5281/zenodo.5806381;Leveraging spatial patterns in precipitation forecasts using deep learning to support risk-averse flood management;Zenodo (CERN European Organization for Nuclear Research);2022;True;software;dataset_first;"[""SEM""]";pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_25338_b8ch1f;downloaded;4 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 6;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2022_LeveragingSpatialPatternsIn_10_25338_b8ch1f
spatialtidymodels_dataset_first_ingestion_v1;10.25349/d9x893;Spatial uncertainty in herbarium data: Simulated displacement but not error distance alters estimates of phenological sensitivity to climate in a widespread California wildflower;dryad;2;5;10.1111/ecog.06107;Spatial uncertainty in herbarium data: simulated displacement but not error distance alters estimates of phenological sensitivity to climate in a widespread California wildflower;Ecography;2022;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;;verified_pending_download;1 fichier(s) au format donnee reelle detecte(s) | depot 2984124Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2022_SpatialUncertaintyInHerbarium_10_25349_d9x893
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.0cfxpnw6m;Data for: Combining environmental niche models, multi-grain analyses, and species traits identifies pervasive effects of land use on butterfly biodiversity across Italy;dryad;2;4;10.1111/gcb.16615;Combining environmental niche models, multi‐grain analyses, and species traits identifies pervasive effects of land use on butterfly biodiversity across Italy;Global Change Biology;2023;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_0cfxpnw6m;downloaded;1 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2023_CombiningEnvironmentalNicheModels_10_5061_dryad_0c
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.236j7;Data from: Comparative analysis of 2D and 3D distance measurements to study spatial genome organization;dryad;8;4;10.1016/j.ymeth.2017.01.007;Comparative analysis of 2D and 3D distance measurements to study spatial genome organization;Methods;2017;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;;verified_pending_download;8 fichier(s) au format donnee reelle detecte(s) | depot 64642085Ko > seuil max 500000Ko, telechargement saute;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2017_ComparativeAnalysisOf2d_10_5061_dryad_23
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.2fqz612zd;A modeling framework for quantifying spatial recruitment dynamics using abundance estimation and sibship analysis: code and simulation study output;dryad;3;5;10.5281/zenodo.13341834;A modeling framework for quantifying spatial recruitment dynamics using abundance estimation and sibship analysis: code and simulation study output;Zenodo (CERN European Organization for Nuclear Research);2024;True;software;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_2fqz612zd;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2024_AModelingFrameworkFor_10_5061_dryad_2f
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.2v1kr38;Data from: SNPs reveal a genetic cline across the northeast Atlantic and enable powerful population assignment in the European lobster;dryad;12;4;10.1111/eva.12849;Single nucleotide polymorphisms reveal a genetic cline across the north‐east Atlantic and enable powerful population assignment in the European lobster;Evolutionary Applications;2019;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_2v1kr38;downloaded;5 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 12;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2019_SingleNucleotidePolymorphismsReveal_10_5061_dryad_2v
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.2v6wwpzjj;Data from: Disease swamps molecular signatures of genetic-environmental associations to abiotic factors in Tasmanian devil (Sarcophilus harrisii) populations;dryad;2;4;10.1101/780122;Disease swamps molecular signatures of genetic-environmental associations to abiotic factors in Tasmanian devil ( Sarcophilus harrisii ) populations;bioRxiv (Cold Spring Harbor Laboratory);2019;True;preprint;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_2v6wwpzjj;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2019_DiseaseSwampsMolecularSignatures_10_5061_dryad_2v
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.3813d;Data from: Genetic mixture of multiple source populations accelerates invasive range expansion;dryad;3;4;10.1111/1365-2656.12567;Genetic mixture of multiple source populations accelerates invasive range expansion;Journal of Animal Ecology;2016;True;primary_article;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_3813d;downloaded;3 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 3;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2016_GeneticMixtureOfMultiple_10_5061_dryad_38
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.3bk3j9kkm;Data from: Multispecies site occupancy modeling and study design for spatially replicated environmental DNA metabarcoding;dryad;2;4;10.5281/zenodo.5515373;Data from: Multispecies site occupancy modeling and study design for spatially replicated environmental DNA metabarcoding;Zenodo (CERN European Organization for Nuclear Research);2021;True;software;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_3bk3j9kkm;downloaded;2 fichier(s) au format donnee reelle detecte(s) | fichiers deja presents localement: 2;raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2021_DataFromMultispeciesSite_10_5061_dryad_3b
