metadata_schema;dataset_doi;dataset_title;dataset_repo;dataset_n_files;dataset_literature_score;publication_doi;publication_title;publication_venue;publication_year;publication_resolved;linked_publication_relationship;discovery_source;estimators_from_metadata;formula_status;formula_pub;formula_completeness;local_pdf;local_tei;local_raw_dir;download_status;verification_notes;ingestion_status;ingestion_next_step;bib_key
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.10183255;Full-coverage atmospheric CO2 reconstruction data in China from 2010 to 2019;zenodo;10;10;;[dataset-first, publication non resolue] Full-coverage atmospheric CO2 reconstruction data in China from 2010 to 2019;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_10183255;downloaded;listing ambigu (formats non reconnus) - verification manuelle recommandee | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_1
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.b2rbnzsdc;Data to replicate: Forecasting community reassembly using climate-linked spatio-temporal ecosystem models;dryad;2;10;10.1111/ecog.05471;Forecasting community reassembly using climate‐linked spatio‐temporal ecosystem models;Ecography;2021;True;primary_article;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Forecasting_community_reassembly_using_climate_linked_spatio_temporal_ecosystem__W3123407648.pdf;corpus\papers\tei\Forecasting_community_reassembly_using_climate_linked_spatio_temporal_ecosystem__W3123407648.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_b2rbnzsdc;downloaded;2 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2021_ForecastingCommunityReassemblyUsing_10_5061_dryad_b2
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.737gk;Data from: Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure;dryad;1;10;10.1111/ecog.02881;Cross‐validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure;Ecography;2016;True;primary_article;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Cross_validation_strategies_for_data_with_temporal_spatial_hierarchical_or_phylo_W2560136348.pdf;corpus\papers\tei\Cross_validation_strategies_for_data_with_temporal_spatial_hierarchical_or_phylo_W2560136348.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_737gk;downloaded;1 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2016_CrossValidationStrategiesFor_10_5061_dryad_73
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.3258904;Freeway Inductive Loop Detector Dataset for Network-wide Traffic Speed Prediction;zenodo;1;9;;[dataset-first, publication non resolue] Freeway Inductive Loop Detector Dataset for Network-wide Traffic Speed Prediction;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_3258904;downloaded;listing ambigu (formats non reconnus) - verification manuelle recommandee | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_3
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.7ms8db6;Data from: Assimilating MODIS data-derived minimum input data set and water stress factors into CERES-Maize model improves regional corn yield predictions;dryad;11;9;10.1371/journal.pone.0211874;Assimilating MODIS data-derived minimum input data set and water stress factors into CERES-Maize model improves regional corn yield predictions;PLoS ONE;2019;True;isCitedBy;dataset_first;[];pending_grobid_kg;;;corpus\papers\raw_pdf\Assimilating_MODIS_data_derived_minimum_input_data_set_and_water_stress_factors__W2915741115.pdf;corpus\papers\tei\Assimilating_MODIS_data_derived_minimum_input_data_set_and_water_stress_factors__W2915741115.tei.xml;data\raw\papers\DatasetFirst_10_5061_dryad_7ms8db6;downloaded;3 fichier(s) au format donnee reelle detecte(s);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2019_AssimilatingModisDataDerived_10_5061_dryad_7m
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.5533027;Predicting COVID-19 Incidence Through Spatiotemporal Human Interactions;zenodo;1;9;;[dataset-first, publication non resolue] Predicting COVID-19 Incidence Through Spatiotemporal Human Interactions;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_5533027;downloaded;1 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_5
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.5542643;Spatiotemporal Prediction of COVID-19 Cases using Inter- and Intra-County Proxies of Human Interactions (dataset);zenodo;1;9;;[dataset-first, publication non resolue] Spatiotemporal Prediction of COVID-19 Cases using Inter- and Intra-County Proxies of Human Interactions (dataset);;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_5542643;downloaded;1 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_5
spatialtidymodels_dataset_first_ingestion_v1;10.5061/dryad.4xgxd259g;Using machine learning to model nontraditional spatial dependence in occupancy data;dryad;5;8;10.1111/aec.12583;Occupancy patterns of the introduced, predatory sugar glider in Tasmanian forests;Austral Ecology;2018;True;isCitedBy;dataset_first;[];pending_grobid_kg;;;;;data\raw\papers\DatasetFirst_10_5061_dryad_4xgxd259g;downloaded;"5 fichier(s) au format donnee reelle detecte(s) | paper_doi corrige (etait un papier methodologique qui reutilise ces donnees comme exemple, pas l etude originale) ; original = Allen et al. 2018, Austral Ecology, confirme via recherche web (session 2026-08-16)";raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_2018_OccupancyPatternsOfThe_10_5061_dryad_4x
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.18872830;"Data and Code for ""Heatwave risk reshaped by urban expansion-clustering nexus""";zenodo;4;8;;"[dataset-first, publication non resolue] Data and Code for ""Heatwave risk reshaped by urban expansion-clustering nexus""";;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_18872830;downloaded;1 fichier(s) au format donnee reelle detecte(s) | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_1
spatialtidymodels_dataset_first_ingestion_v1;10.5281/zenodo.17104058;Supplementary materials - Spatiotemporal analysis of leptospirosis in Colombia from 2007 to 2021. An environmental health metrics approach;zenodo;1;8;;[dataset-first, publication non resolue] Supplementary materials - Spatiotemporal analysis of leptospirosis in Colombia from 2007 to 2021. An environmental health metrics approach;;;False;;dataset_first;[];no_linked_publication;;;;;data\raw\papers\DatasetFirst_10_5281_zenodo_17104058;downloaded;listing ambigu (formats non reconnus) - verification manuelle recommandee | aucune publication liee dans les metadonnees du depot (relatedWorks/related_identifiers vide);raw_data_downloaded_pending_loader;write sf loader in build_sf_datasets_papers.R using the downloaded files and formula_completeness evidence, then generate the fiche;JournalFirst_nd_DatasetFirstPublicationNon_10_5281_zenodo_1
