top_folder,relative_path,extension,size_mb,line_count_partial,header_or_zip_examples,zip_exts,zip_files,zip_uncompressed_mb,content_readable,content_error,spatial_signal,temporal_signal,model_signal,audit_status,audit_reason
Data_chelsa,Data_chelsa\code_data_chelsa.ipynb,.ipynb,0.02,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
Datasets_pysal,Datasets_pysal\pysal_inventory_level1.csv,.csv,0.01,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
Datasets_pysal,Datasets_pysal\data_pack_R_python.md,.md,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
Datasets_pysal,Datasets_pysal\data_pack_R_python.txt,.txt,0.0,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,documentation_or_code_only,not a dataset artifact by itself
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN.zip,.zip,339.98,,TED_CAN_2006.csv | TED_CAN_2007.csv | TED_CAN_2008.csv | TED_CAN_2009.csv | TED_CAN_2010.csv | TED_CAN_2011.csv | TED_CAN_2012.csv | TED_CAN_2013.csv | TED_CAN_2014.csv | TED_CAN_2015.csv,.csv:10,10,2010.66,True,,False,False,False,large_archive_needs_selective_extraction,large archive; inspect before copying fully
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2015.csv,.csv,267.88,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2014.csv,.csv,255.1,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2013.csv,.csv,242.19,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2012.csv,.csv,239.07,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2011.csv,.csv,225.35,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2010.csv,.csv,207.47,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2009.csv,.csv,175.65,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2008.csv,.csv,157.76,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2007.csv,.csv,135.89,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
European datasets portal_datasets,European datasets portal_datasets\TED_V2.2_CAN\TED_CAN_2006.csv,.csv,104.29,,,,,,False,OSError: [Errno 22] Invalid argument,False,False,False,unknown_needs_review,insufficient metadata
