metadata_schema;dataset_doi;dataset_url;dataset_repo;dataset_n_files;publication_doi;publication_title;publication_venue;publication_year;discovery_source;full_text_literature_score;full_text_modeling_signals;estimators_from_metadata;formula_status;formula_pub;formula_completeness;local_pdf;local_tei;local_raw_dir;download_status;verification_notes;ingestion_status;ingestion_next_step;bib_key
spatialtidymodels_journal_first_ingestion_v1;10.5061/dryad.h44j0zpr2;;dryad;4;10.1002/eap.2893;Building use-inspired species distribution models: Using multiple data types to examine and improve model performance;;;manual_pdf;14;"[""bayesian"", ""forecasting"", ""machine_learning"", ""regression"", ""simulation_modeling"", ""spatiotemporal_model""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Building use-inspired species distribution models Using multiple data types to examine and improve model performance.pdf;corpus\papers\tei\Building use-inspired species distribution models Using multiple data types to examine and improve model performance.tei.xml;;verified_pending_download;3 fichier(s) au format donnee reelle detecte(s);candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_nd_BuildingUseInspiredSpecies_10_5061_dryad_h4
spatialtidymodels_journal_first_ingestion_v1;10.5281/zenodo.7971532;;zenodo;3;10.1002/eap.2893;Building use-inspired species distribution models: Using multiple data types to examine and improve model performance;;;manual_pdf;14;"[""bayesian"", ""forecasting"", ""machine_learning"", ""regression"", ""simulation_modeling"", ""spatiotemporal_model""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Building use-inspired species distribution models Using multiple data types to examine and improve model performance.pdf;corpus\papers\tei\Building use-inspired species distribution models Using multiple data types to examine and improve model performance.tei.xml;;verified_pending_download;2 fichier(s) au format donnee reelle detecte(s);candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_nd_BuildingUseInspiredSpecies_10_5281_zenodo_7
spatialtidymodels_journal_first_ingestion_v1;10.5281/zenodo.14982712;;zenodo;48;10.1002/ece3.71650;On the brink: mapping the last strongholds of the critically endangered flapper skate (Dipturus intermedius);;;manual_pdf;14;"[""bayesian"", ""forecasting"", ""machine_learning"", ""regression"", ""simulation_modeling"", ""spatiotemporal_model""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Loca2025OnThe.pdf;corpus\papers\tei\Loca2025OnThe.tei.xml;;verified_pending_download;48 fichier(s) au format donnee reelle detecte(s);candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_nd_OnTheBrinkMapping_10_5281_zenodo_1
spatialtidymodels_journal_first_ingestion_v1;10.5281/zenodo.3242134;;zenodo;1;10.1007/s10109-026-00490-x;Assessing public transport infrastructure: the role of employment matching in spatial accessibility measures;Journal of Geographical Systems;2026;openalex;9;"[""machine_learning"", ""regression"", ""simulation_modeling""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Assessing_public_transport_infrastructure_the_role_of_employment_matching_in_spa_W7134279624.pdf;corpus\papers\tei\Assessing_public_transport_infrastructure_the_role_of_employment_matching_in_spa_W7134279624.tei.xml;;failed;"1 fichier(s) au format donnee reelle detecte(s) | erreurs telechargement: rafapereirabr/otp-travel-time-matrix-v1.1.zip: [Errno 2] No such file or directory: ""C:\\Users\\jdoliveira\\SynologyDrive\\johnny D'OLIVEIRA\\Travaux stages\\llm-wiki-karpathy\\data\\raw\\papers\\JournalFirst_Assessing_public_transport_infrastructure_the_role_of_employment_matching_in_spa_W7134279624\\rafapereirabr\\otp-travel-time-matrix-v1.1.zip""";candidate_dataset_download_pending;API confirmed real files but the download attempt failed (see verification_notes) -- retry via tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2026_AssessingPublicTransportInfrastructure_10_5281_zenodo_3
spatialtidymodels_journal_first_ingestion_v1;10.5281/zenodo.14178904;;zenodo;1;10.1007/s10109-026-00501-x;Visitation patterns across mobility groups: wandering, commuting, and exploring;Journal of Geographical Systems;2026;openalex;7;"[""machine_learning""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Visitation_patterns_across_mobility_groups_wandering_commuting_and_exploring_W7164540984.pdf;corpus\papers\tei\Visitation_patterns_across_mobility_groups_wandering_commuting_and_exploring_W7164540984.tei.xml;;failed;"1 fichier(s) au format donnee reelle detecte(s) | erreurs telechargement: SmolakK/Segregation_article-1.0.1.zip: [Errno 2] No such file or directory: ""C:\\Users\\jdoliveira\\SynologyDrive\\johnny D'OLIVEIRA\\Travaux stages\\llm-wiki-karpathy\\data\\raw\\papers\\JournalFirst_Visitation_patterns_across_mobility_groups_wandering_commuting_and_exploring_W7164540984\\SmolakK\\Segregation_article-1.0.1.zip""";candidate_dataset_download_pending;API confirmed real files but the download attempt failed (see verification_notes) -- retry via tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_2026_VisitationPatternsAcrossMobility_10_5281_zenodo_1
spatialtidymodels_journal_first_ingestion_v1;10.5281/zenodo.4446043;;zenodo;21;10.1016/j.tourman.2021.104319;Determinants of Airbnb prices in European cities: A spatial econometrics approach;;;manual_pdf;11;"[""causal_inference"", ""machine_learning"", ""regression"", ""spatial_panel""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Determinants of Airbnb prices in European cities A spatial econometrics approach.pdf;corpus\papers\tei\Determinants of Airbnb prices in European cities A spatial econometrics approach.tei.xml;;verified_pending_download;20 fichier(s) au format donnee reelle detecte(s);candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_nd_DeterminantsOfAirbnbPrices_10_5281_zenodo_4
spatialtidymodels_journal_first_ingestion_v1;10.6084/m9.figshare.11375826;;figshare;1;10.1080/13658816.2019.1707834;Geographically neural network weighted regression for the accurate estimation of spatial non-stationarity;;;manual_pdf;13;"[""forecasting"", ""machine_learning"", ""regression"", ""simulation_modeling"", ""spatiotemporal_model""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Geographically neural network weighted regression for the accurate estimation of spatial non-stationarity.pdf;corpus\papers\tei\Geographically neural network weighted regression for the accurate estimation of spatial non-stationarity.tei.xml;;verified_pending_download;1 fichier(s) au format donnee reelle detecte(s);candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_nd_GeographicallyNeuralNetworkWeighted_10_6084_m9_figsh
spatialtidymodels_journal_first_ingestion_v1;10.5281/zenodo.5644742;;zenodo;1;10.1111/2041-210x.13762;MetaComNet: A random forest-based framework for making spatial predictions of plant-pollinator interactions;;;manual_pdf;12;"[""bayesian"", ""forecasting"", ""machine_learning"", ""regression"", ""simulation_modeling""]";"[""random_forest""]";pending_grobid_kg;;;corpus\papers\raw_pdf\Sydenham_2022_MetaComNet_RandomForestSpatialPollinatorPredictions.pdf;corpus\papers\tei\Sydenham_2022_MetaComNet_RandomForestSpatialPollinatorPredictions.tei.xml;;verified_pending_download;1 fichier(s) au format donnee reelle detecte(s);candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_nd_MetacomnetARandomForest_10_5281_zenodo_5
spatialtidymodels_journal_first_ingestion_v1;10.5281/zenodo.6907553;;zenodo;1;10.1111/2041-210x.13957;Balancing structural complexity with ecological insight in Spatio-temporal species distribution models;;;manual_pdf;14;"[""bayesian"", ""forecasting"", ""machine_learning"", ""regression"", ""simulation_modeling"", ""spatiotemporal_model""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Laxton_2023_StructuralComplexityEcologicalInsightSpatioTemporalSDM.pdf;corpus\papers\tei\Laxton_2023_StructuralComplexityEcologicalInsightSpatioTemporalSDM.tei.xml;;verified_pending_download;listing ambigu (formats non reconnus) - verification manuelle recommandee;candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_nd_BalancingStructuralComplexityWith_10_5281_zenodo_6
spatialtidymodels_journal_first_ingestion_v1;10.6084/m9.figshare.7504448.v3;;figshare;5;10.1111/ecog.06085;Niche conservatism limits the distribution of Medicago in the tropics;;;manual_pdf;10;"[""forecasting"", ""machine_learning"", ""regression""]";[];pending_grobid_kg;;;corpus\papers\raw_pdf\Yang2022Niche.pdf;corpus\papers\tei\Yang2022Niche.tei.xml;;verified_pending_download;3 fichier(s) au format donnee reelle detecte(s);candidate_dataset_download_pending;real files confirmed via the repo API but not yet downloaded -- re-run tools/harvest_journal_first.py --download-data, or download the DOI manually;JournalFirst_nd_NicheConservatismLimitsThe_10_6084_m9_figsh
