paper_title,description_excerpt,paper_year,paper_doi,paper_venue,abstract_available,task_type,literature_score,candidate_decision,spatial_terms,temporal_terms,dataset_terms,modeling_signals,first_landing_url
SoilGrids250m: Global gridded soil information based on machine learning,"This paper describes the technical development and accuracy assessment of the most recent and improved version of the SoilGrids system at 250m resolution (June 2016 update). SoilGrids provides global predictions for standard numeric soil properties (organic carbon, bulk density, Cation Exchange Capacity (CEC), pH, soil texture fractions and coarse fragments) at seven standard depths (0, 5, 15, 30, 60, 100 and 200 cm), in addition to predictions of depth to bedrock and distribution of soil classes based on the World Reference Base (WRB) and USDA classification systems (ca. 280 raster layers in total). Predictions were based on ca. 150,000 soil profiles used for training and a stack of 158 remote sensing-based soil covariates (primarily derived from MODIS land products, SRTM DEM derivatives, climatic images and global landform and lithology maps), which were used to fit an ensemble of machine learning methods-random forest and gradient boosting and/or multinomial logistic regression-as...",2017,https://doi.org/10.1371/journal.pone.0169748,PLoS ONE,True,forecasting,9,review,"gis, remote sensing, spatial",,open data,"bayesian, forecasting, machine_learning, regression",https://doi.org/10.1371/journal.pone.0169748
The Global Methane Budget 2000-2017,"Understanding and quantifying the global methane (CH4) budget is important for assessing realistic pathways to mitigate climate change. Atmospheric emissions and concentrations of CH4 continue to increase, making CH4 the second most important human-influenced greenhouse gas in terms of climate forcing, after carbon dioxide (CO2). The relative importance of CH4 compared to CO2 depends on its shorter atmospheric\nlifetime, stronger warming potential, and variations in atmospheric growth rate over the past decade, the causes of which are still debated. Two major challenges in reducing uncertainties in the atmospheric growth rate arise from the variety of geographically overlapping CH4 sources and from the destruction of CH4 by short-lived hydroxyl radicals (OH). To address these challenges, we have established a consortium of multidisciplinary scientists under the umbrella of the Global Carbon Project to synthesize and stimulate new research aimed at improving and regularly updating the...",2019,https://doi.org/10.5194/essd-12-1561-2020,NOAA Institutional Repository,True,machine_learning,8,keep,"geographic, latitude, regional",annual,download,"bayesian, machine_learning",https://doi.org/10.5194/essd-12-1561-2020
The Version-2 Global Precipitation Climatology Project (GPCP) Monthly Precipitation Analysis (1979–Present),"The Global Precipitation Climatology Project (GPCP) Version-2 Monthly Precipitation Analysis is described. This globally complete, monthly analysis of surface precipitation at 2.5 latitude 2.5 longitude resolution is available from January 1979 to the present. It is a merged analysis that incorporates precipitation estimates from low-orbit satellite microwave data, geosynchronous-orbit satellite infrared data, and surface rain gauge observations. The merging approach utilizes the higher accuracy of the low-orbit microwave observations to calibrate, or adjust, the more frequent geosynchronous infrared observations. The dataset is extended back into the premicrowave era (before mid-1987) by using infrared-only observations calibrated to the microwave-based analysis of the later years. The combined satellite-based product is adjusted by the rain gauge analysis. The dataset archive also contains the individual input fields, a combined satellite estimate, and error estimates for each...",2003,https://doi.org/10.1175/1525-7541(2003)004<1147:tvgpcp>2.0.co;2,Journal of Hydrometeorology,True,unknown,6,review,"latitude, longitude","monthly, temporal",dataset,,https://doi.org/10.1175/1525-7541(2003)004<1147:tvgpcp>2.0.co;2
"Global, regional, and national incidence, prevalence, and years lived with disability for 310 diseases and injuries, 1990–2015: a systematic analysis for the Global Burden of Disease Study 2015","BACKGROUND: Non-fatal outcomes of disease and injury increasingly detract from the ability of the world's population to live in full health, a trend largely attributable to an epidemiological transition in many countries from causes affecting children, to non-communicable diseases (NCDs) more common in adults. For the Global Burden of Diseases, Injuries, and Risk Factors Study 2015 (GBD 2015), we estimated the incidence, prevalence, and years lived with disability for diseases and injuries at the global, regional, and national scale over the period of 1990 to 2015. METHODS: We estimated incidence and prevalence by age, sex, cause, year, and geography with a wide range of updated and standardised analytical procedures. Improvements from GBD 2013 included the addition of new data sources, updates to literature reviews for 85 causes, and the identification and inclusion of additional studies published up to November, 2015, to expand the database used for estimation of non-fatal outcomes...",2016,https://doi.org/10.1016/s0140-6736(16)31678-6,The Lancet,True,regression,6,review,regional,,data availability,"bayesian, regression",https://doi.org/10.1016/s0140-6736(16)31678-6
Global fatal landslide occurrence from 2004 to 2016,"Abstract. Landslides are a ubiquitous hazard in terrestrial environments with slopes, incurring human fatalities in urban settlements, along transport corridors and at sites of rural industry. Assessment of landslide risk requires high-quality landslide databases. Recently, global landslide databases have shown the extent to which landslides impact on society and identified areas most at risk. Previous global analysis has focused on rainfall-triggered landslides over short ∼ 5-year observation periods. This paper presents spatiotemporal analysis of a global dataset of fatal non-seismic landslides, covering the period from January 2004 to December 2016. The data show that in total 55 997 people were killed in 4862 distinct landslide events. The spatial distribution of landslides is heterogeneous, with Asia representing the dominant geographical area. There are high levels of interannual variation in the occurrence of landslides. Although more active years coincide with recognised...",2018,https://doi.org/10.5194/nhess-18-2161-2018,Natural hazards and earth system sciences,True,unknown,6,review,"geographic, regional, spatial, spatiotemporal","annual, spatiotemporal, temporal",dataset,,https://doi.org/10.5194/nhess-18-2161-2018
Convolutional neural networks: an overview and application in radiology,"Convolutional neural network (CNN), a class of artificial neural networks that has become dominant in various computer vision tasks, is attracting interest across a variety of domains, including radiology. CNN is designed to automatically and adaptively learn spatial hierarchies of features through backpropagation by using multiple building blocks, such as convolution layers, pooling layers, and fully connected layers. This review article offers a perspective on the basic concepts of CNN and its application to various radiological tasks, and discusses its challenges and future directions in the field of radiology. Two challenges in applying CNN to radiological tasks, small dataset and overfitting, will also be covered in this article, as well as techniques to minimize them. Being familiar with the concepts and advantages, as well as limitations, of CNN is essential to leverage its potential in diagnostic radiology, with the goal of augmenting the performance of radiologists and...",2018,https://doi.org/10.1007/s13244-018-0639-9,Insights into Imaging,True,machine_learning,5,review,"gis, spatial",,dataset,machine_learning,https://doi.org/10.1007/s13244-018-0639-9
MoleculeNet: a benchmark for molecular machine learning,"Molecular machine learning has been maturing rapidly over the last few years. Improved methods and the presence of larger datasets have enabled machine learning algorithms to make increasingly accurate predictions about molecular properties. However, algorithmic progress has been limited due to the lack of a standard benchmark to compare the efficacy of proposed methods; most new algorithms are benchmarked on different datasets making it challenging to gauge the quality of proposed methods. This work introduces MoleculeNet, a large scale benchmark for molecular machine learning. MoleculeNet curates multiple public datasets, establishes metrics for evaluation, and offers high quality open-source implementations of multiple previously proposed molecular featurization and learning algorithms (released as part of the DeepChem open source library). MoleculeNet benchmarks demonstrate that learnable representations are powerful tools for molecular machine learning and broadly offer the best...",2017,https://doi.org/10.1039/c7sc02664a,Chemical Science,True,forecasting,5,drop_or_low_priority,,,dataset,"forecasting, machine_learning",https://doi.org/10.1039/c7sc02664a
Machine learning for neuroimaging with scikit-learn,"Statistical machine learning methods are increasingly used for neuroimaging data analysis. Their main virtue is their ability to model high-dimensional datasets, e.g., multivariate analysis of activation images or resting-state time series. Supervised learning is typically used in decoding or encoding settings to relate brain images to behavioral or clinical observations, while unsupervised learning can uncover hidden structures in sets of images (e.g., resting state functional MRI) or find sub-populations in large cohorts. By considering different functional neuroimaging applications, we illustrate how scikit-learn, a Python machine learning library, can be used to perform some key analysis steps. Scikit-learn contains a very large set of statistical learning algorithms, both supervised and unsupervised, and its application to neuroimaging data provides a versatile tool to study the brain.",2014,https://doi.org/10.3389/fninf.2014.00014,Frontiers in Neuroinformatics,True,machine_learning,5,review,,time series,dataset,machine_learning,https://doi.org/10.3389/fninf.2014.00014
What Do We Learn from the Weather? The New Climate-Economy Literature,"A rapidly growing body of research applies panel methods to examine how temperature, precipitation, and windstorms influence economic outcomes. These studies focus on changes in weather realizations over time within a given spatial area and demonstrate impacts on agricultural output, industrial output, labor productivity, energy demand, health, conflict, and economic growth, among other outcomes. By harnessing exogenous variation over time within a given spatial unit, these studies help credibly identify (i) the breadth of channels linking weather and the economy, (ii) heterogeneous treatment effects across different types of locations, and (iii) nonlinear effects of weather variables. This paper reviews the new literature with two purposes. First, we summarize recent work, providing a guide to its methodologies, datasets, and findings. Second, we consider applications of the new literature, including insights for the “damage function” within models that seek to assess the potential...",2014,https://doi.org/10.1257/jel.52.3.740,Journal of Economic Literature,True,unknown,5,review,spatial,,dataset,causal_inference,https://doi.org/10.1257/jel.52.3.740
SoilGrids 2.0: producing soil information for the globe with quantified spatial uncertainty,"Abstract. SoilGrids produces maps of soil properties for the entire globe at medium spatial resolution (250 m cell size) using state-of-the-art machine learning methods to generate the necessary models. It takes as inputs soil observations from about 240 000 locations worldwide and over 400 global environmental covariates describing vegetation, terrain morphology, climate, geology and hydrology. The aim of this work was the production of global maps of soil properties, with cross-validation, hyper-parameter selection and quantification of spatially explicit uncertainty, as implemented in the SoilGrids version 2.0 product incorporating state-of-the-art practices and adapting them for global digital soil mapping with legacy data. The paper presents the evaluation of the global predictions produced for soil organic carbon content, total nitrogen, coarse fragments, pH (water), cation exchange capacity, bulk density and texture fractions at six standard depths (up to 200 cm). The...",2021,https://doi.org/10.5194/soil-7-217-2021,SOIL,True,forecasting,5,review,"latitude, spatial",,,"forecasting, machine_learning",https://doi.org/10.5194/soil-7-217-2021
