priority_score,paper_title,paper_year,paper_doi,paper_venue,candidate_decision,literature_score,task_type,detected_methods,mentioned_datasets,useful_dataset_link_count,first_useful_dataset_link,description_excerpt
11,SoilGrids250m: Global gridded soil information based on machine learning,2017,10.1371/journal.pone.0169748,PLoS ONE,review,9,forecasting,random_forest; gradient_boosting; machine_learning; cross_validation; logistic_regression,SoilGrids250m; SoilGrids,12,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0169748&type=printable,"This paper describes the technical development and accuracy assessment of the most recent and improved version of the SoilGrids system at 250m resolution (June 2016 update). SoilGrids provides global predictions for standard numeric soil properties (organic carbon, bulk density, Cation Exchange Capacity (CEC), pH, soil texture fractions and coarse fragments) at seven standard depths (0, 5, 15, 30, 60, 100 and 200 cm), in addition to predictions of depth to bedrock and distribution of soil classes based on the World Reference Base (WRB) and USDA classification systems (ca. 280 raster layers in total). Predictions were based on ca. 150,000 soil profiles used for training and a stack of 158 remote sensing-based soil covariates (primarily derived from MODIS land products, SRTM DEM derivatives, climatic images and global landform and lithology maps), which were used to fit an ensemble of machine learning methods-random forest and gradient boosting and/or multinomial logistic regression-as..."
10,SoilGrids 2.0: producing soil information for the globe with quantified spatial uncertainty,2021,10.5194/soil-7-217-2021,SOIL,review,5,forecasting,machine_learning; cross_validation; uncertainty_quantification; hyperparameter_selection,SoilGrids 2.0; SoilGrids,200,https://soil.copernicus.org/articles/7/217/2021/soil-7-217-2021.pdf,"Abstract. SoilGrids produces maps of soil properties for the entire globe at medium spatial resolution (250 m cell size) using state-of-the-art machine learning methods to generate the necessary models. It takes as inputs soil observations from about 240 000 locations worldwide and over 400 global environmental covariates describing vegetation, terrain morphology, climate, geology and hydrology. The aim of this work was the production of global maps of soil properties, with cross-validation, hyper-parameter selection and quantification of spatially explicit uncertainty, as implemented in the SoilGrids version 2.0 product incorporating state-of-the-art practices and adapting them for global digital soil mapping with legacy data. The paper presents the evaluation of the global predictions produced for soil organic carbon content, total nitrogen, coarse fragments, pH (water), cation exchange capacity, bulk density and texture fractions at six standard depths (up to 200 cm). The..."
10,"The CHRS Data Portal, an easily accessible public repository for PERSIANN global satellite precipitation data",2019,10.1038/sdata.2018.296,Scientific Data,review,5,machine_learning,artificial_neural_network,PERSIANN; PERSIANN-Cloud Classification System; PERSIANN-Climate Data Record; CHRS Data Portal,11,https://www.nature.com/articles/sdata2018296.pdf,"The Center for Hydrometeorology and Remote Sensing (CHRS) has created the CHRS Data Portal to facilitate easy access to the three open data licensed satellite-based precipitation datasets generated by our Precipitation Estimation from Remotely Sensed Information using Artificial Neural Networks (PERSIANN) system: PERSIANN, PERSIANN-Cloud Classification System (CCS), and PERSIANN-Climate Data Record (CDR). These datasets have the potential for widespread use by various researchers, professionals including engineers, city planners, and so forth, as well as the community at large. Researchers at CHRS created the CHRS Data Portal with an emphasis on simplicity and the intention of fostering synergistic relationships with scientists and experts from around the world. The following paper presents an outline of the hosted datasets and features available on the CHRS Data Portal, an examination of the necessity of easily accessible public data, a comprehensive overview of the PERSIANN..."
7,The Global Methane Budget 2000-2017,2019,10.5194/essd-12-1561-2020,NOAA Institutional Repository,keep,8,machine_learning,,Global Methane Budget,15,https://www.mendeley.com/import/?url=https%3A%2F%2Fessd.copernicus.org%2Farticles%2F12%2F1561%2F2020%2F,"Understanding and quantifying the global methane (CH4) budget is important for assessing realistic pathways to mitigate climate change. Atmospheric emissions and concentrations of CH4 continue to increase, making CH4 the second most important human-influenced greenhouse gas in terms of climate forcing, after carbon dioxide (CO2). The relative importance of CH4 compared to CO2 depends on its shorter atmospheric\nlifetime, stronger warming potential, and variations in atmospheric growth rate over the past decade, the causes of which are still debated. Two major challenges in reducing uncertainties in the atmospheric growth rate arise from the variety of geographically overlapping CH4 sources and from the destruction of CH4 by short-lived hydroxyl radicals (OH). To address these challenges, we have established a consortium of multidisciplinary scientists under the umbrella of the Global Carbon Project to synthesize and stimulate new research aimed at improving and regularly updating the..."
7,Convolutional neural networks: an overview and application in radiology,2018,10.1007/s13244-018-0639-9,Insights into Imaging,review,5,machine_learning,machine_learning; convolutional_neural_network; artificial_neural_network,,7,https://doaj.org/article/dc12a8d883e9458db742fd7c1c320370,"Convolutional neural network (CNN), a class of artificial neural networks that has become dominant in various computer vision tasks, is attracting interest across a variety of domains, including radiology. CNN is designed to automatically and adaptively learn spatial hierarchies of features through backpropagation by using multiple building blocks, such as convolution layers, pooling layers, and fully connected layers. This review article offers a perspective on the basic concepts of CNN and its application to various radiological tasks, and discusses its challenges and future directions in the field of radiology. Two challenges in applying CNN to radiological tasks, small dataset and overfitting, will also be covered in this article, as well as techniques to minimize them. Being familiar with the concepts and advantages, as well as limitations, of CNN is essential to leverage its potential in diagnostic radiology, with the goal of augmenting the performance of radiologists and..."
7,The world’s user-generated road map is more than 80% complete,2017,10.1371/journal.pone.0180698,PLoS ONE,review,5,regression,multilevel_regression_poststratification; sigmoid_curve,OpenStreetMap,12,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0180698&type=printable,"OpenStreetMap, a crowdsourced geographic database, provides the only global-level, openly licensed source of geospatial road data, and the only national-level source in many countries. However, researchers, policy makers, and citizens who want to make use of OpenStreetMap (OSM) have little information about whether it can be relied upon in a particular geographic setting. In this paper, we use two complementary, independent methods to assess the completeness of OSM road data in each country in the world. First, we undertake a visual assessment of OSM data against satellite imagery, which provides the input for estimates based on a multilevel regression and poststratification model. Second, we fit sigmoid curves to the cumulative length of contributions, and use them to estimate the saturation level for each country. Both techniques may have more general use for assessing the development and saturation of crowd-sourced data. Our results show that in many places, researchers and..."
5,TGVx: Dynamic Personalized POI Deep Recommendation Model,2023,10.1287/ijoc.2023.1286,INFORMS journal on computing,keep,9,machine_learning,machine_learning,,1,https://github.com/INFORMSJoC/2021.0010,"Personalized points-of-interest (POI) recommendation is very important for improving the service quality of location-based social network applications. It has become one of the most popular research directions in the industry and academia. However, the realization of high-quality personalized POI recommendation faces three major challenges: (i) the interest drift issue caused by the spatiotemporal dynamics of user check-in behavior, (ii) how to integrate as much heterogeneous information as possible to alleviate data sparseness and cold start issues, and (iii) how to use implicit feedback to model complex high-order nonlinear user-POI interactions. To jointly address all these challenges, we propose the TGVx recommendation framework and establish a dynamic personalized POI deep recommendation model, where T and G respectively represent time and geographic factors, V represents out-of-town visitors, and x represents time slot number. TGVx is composed of x parallel TGV models where the..."
5,Compositional shifts in root-associated bacterial and archaeal microbiota track the plant life cycle in field-grown rice,2018,10.1371/journal.pbio.2003862,PLoS Biology,review,7,forecasting,random_forest,,12,https://figshare.com/articles/dataset/Compositional_shifts_in_root-associated_bacterial_and_archaeal_microbiota_track_the_plant_life_cycle_in_field-grown_rice/5919577,"Bacterial communities associated with roots impact the health and nutrition of the host plant. The dynamics of these microbial assemblies over the plant life cycle are, however, not well understood. Here, we use dense temporal sampling of 1,510 samples from root spatial compartments to characterize the bacterial and archaeal components of the root-associated microbiota of field grown rice (Oryza sativa) over the course of 3 consecutive growing seasons, as well as 2 sites in diverse geographic regions. The root microbiota was found to be highly dynamic during the vegetative phase of plant growth and then stabilized compositionally for the remainder of the life cycle. Bacterial and archaeal taxa conserved between field sites were defined as predictive features of rice plant age by modeling using a random forest approach. The age-prediction models revealed that drought-stressed plants have developmentally immature microbiota compared to unstressed plants. Further, by using genotypes with..."
5,Perspectives in machine learning for wildlife conservation,2022,10.1038/s41467-022-27980-y,Nature Communications,review,5,machine_learning,machine_learning,,11,https://www.nature.com/articles/s41467-022-27980-y.pdf,"Inexpensive and accessible sensors are accelerating data acquisition in animal ecology. These technologies hold great potential for large-scale ecological understanding, but are limited by current processing approaches which inefficiently distill data into relevant information. We argue that animal ecologists can capitalize on large datasets generated by modern sensors by combining machine learning approaches with domain knowledge. Incorporating machine learning into ecological workflows could improve inputs for ecological models and lead to integrated hybrid modeling tools. This approach will require close interdisciplinary collaboration to ensure the quality of novel approaches and train a new generation of data scientists in ecology and conservation."
5,"Applications of Machine Learning in Human Microbiome Studies: A Review on Feature Selection, Biomarker Identification, Disease Prediction and Treatment",2021,10.3389/fmicb.2021.634511,Frontiers in Microbiology,drop_or_low_priority,5,forecasting,machine_learning,,5,https://doaj.org/article/4909973f38ce4c5a93f87a36eb2dfaa5,"The number of microbiome-related studies has notably increased the availability of data on human microbiome composition and function. These studies provide the essential material to deeply explore host-microbiome associations and their relation to the development and progression of various complex diseases. Improved data-analytical tools are needed to exploit all information from these biological datasets, taking into account the peculiarities of microbiome data, i.e., compositional, heterogeneous and sparse nature of these datasets. The possibility of predicting host-phenotypes based on taxonomy-informed feature selection to establish an association between microbiome and predict disease states is beneficial for personalized medicine. In this regard, machine learning (ML) provides new insights into the development of models that can be used to predict outputs, such as classification and prediction in microbiology, infer host phenotypes to predict diseases and use microbial..."
