"dataset";"raw_status";"benchmark_status";"package_include";"main_gap";"next_step"
"paper_cluster_detection";"converted_to_sf";"almost_ready_simulation";"manual_review";"dataset simulated, not an empirical geographic benchmark";"decide if simulation benchmarks are allowed; otherwise keep as method validation only"
"paper_mammals_sr_pd";"converted_to_sf";"almost_ready";"manual_review";"needs one canonical SR/PD benchmark formula";"choose SR or PD target and verify variable names against paper/code"
"paper_wald_test";"converted_to_sf";"needs_original_W";"manual_review";"paper W is political/institutional, not geographic KNN";"extract original W or mark as non-geographic-W benchmark"
"paper_uk_photovoltaic";"converted_to_sf";"needs_preprocessing";"no";"paper uses 134 NUTS3; current extraction has 380 LAD and lacks SDM covariates";"rebuild from NUTS3 and join paper covariates"
"paper_medicago";"converted_to_sf";"needs_model_specification_review";"manual_review";"GWR confirmed but no single empirical formula has been fixed";"review TEI/tables/code to select a defensible formula"
"paper_eberg";"converted_to_sf";"not_ready_current_package";"no";"soil classification/OGC covariates, not current continuous regression";"keep for future classification or OGC-covariate module"
"paper_hummingbird_sdm";"converted_to_sf";"not_ready_current_package";"no";"integrated species distribution model, not continuous regression";"future SDM/presence-only route only"
"paper_crane";"converted_to_sf";"not_ready_current_package";"no";"binary response and temporal structure";"future binary/panel support"
"paper_regulatory_convergence";"converted_to_sf";"not_ready_current_package";"no";"panel political-economy dataset with institutional W";"future panel spatial econometrics route"
"paper_waste_site";"converted_to_sf";"not_ready_current_package";"no";"meta-regression rows are estimates, not spatial observations";"exclude from spatial observation benchmark"
"paper_pm25_grid";"converted_to_sf";"not_ready_prediction_product";"no";"prediction grid output, no raw Y/X observations";"find original monitoring observations and covariates"
"paper_no2_grid";"converted_to_sf";"not_ready_prediction_product";"no";"prediction grid output, no raw Y/X observations";"find original monitoring observations and covariates"
"paper_o3_grid";"converted_to_sf";"not_ready_prediction_product";"no";"prediction grid output, no raw Y/X observations";"find original monitoring observations and covariates"
"paper_beta0_gwr";"converted_to_sf";"not_ready_derived_response";"no";"response is already a GWR-derived beta coefficient";"find original empirical response/covariates"
"paper_arequipa_climate";"converted_to_sf";"not_ready_relevance_check";"no";"climate grid product not linked to a Y~X regression benchmark";"verify paper-data relation or exclude"
"paper_ethiopia_clusters";"converted_to_sf";"not_ready_derived_clusters";"no";"SaTScan cluster output, not original malnutrition observations";"recover DHS/GWR source data or exclude"
"paper_pallid_bat";"converted_to_sf";"needs_covariate_join";"no";"NPP and climate covariates from the SAR paper are not joined";"join NPP/climate variables or keep unavailable"
"paper_swiss_rainfall";"converted_to_sf";"not_ready_geostatistical_univariate";"no";"univariate geostatistical interpolation dataset";"future kriging/interpolation track"
"paper_vindum";"converted_to_sf";"not_ready_geostatistical_univariate";"no";"univariate/geostatistical soil dataset without covariates";"future kriging/interpolation track"
"paper_biomass_rainforest";"converted_to_sf";"needs_response_reconstruction";"no";"AGB/AGC target missing; only allometry inputs are extracted";"reconstruct/extract AGB/AGC and join environmental covariates"
"paper_metacomnet";"converted_to_sf";"not_ready_current_package";"no";"RF occurrence/network task, not continuous regression";"future classification/count route"
"paper_maipo";"converted_to_sf";"not_ready_current_package";"no";"crop type multiclass classification";"future classification route"
"DataCite_2021_AboveGroundCarbonStock_10_1080_17583004";"raw_without_loader";"needs_loader_review";"no";"raw folder exists but no sf loader/final fiche yet";"inspect source files and decide whether it is distinct from biomass_rainforest or usable"
"DataCite_2019_SpatialDistributionOfWood_10_1590_0001_376";"tei_present_needs_curation";"needs_manual_curation";"no";"paper/source not converted to sf";"review source and only build loader if true Y/X spatial data exists"
"DataCite_2018_ConstruODeUm_10_1590_0034_761";"tei_present_needs_curation";"needs_manual_curation";"no";"paper/source not converted to sf";"review source and only build loader if true Y/X spatial data exists"
"DataCite_2019_DeterminantsAndSpatialDependence_10_1590_0103_635";"tei_present_needs_curation";"needs_manual_curation";"no";"paper/source not converted to sf";"review source and only build loader if true Y/X spatial data exists"
"DataCite_2019_OImpactoDasCooperativas_10_1590_1806_947";"tei_present_needs_curation";"needs_manual_curation";"no";"paper/source not converted to sf";"review source and only build loader if true Y/X spatial data exists"
"DataCite_2022_ModelSelectionAndModel_10_1080_07474938";"rejected_no_novel_data_but_raw_present";"excluded";"no";"raw folder remains although manifest marks rejected_no_novel_data";"decide whether to delete raw staging folder or keep outside benchmark path"
