paper_title,paper_year,paper_doi,paper_venue,raw_estimator_family,task_type,literature_score,candidate_decision,spatial_terms,temporal_terms,dataset_terms,modeling_signals,first_landing_url
Advanced Spatial Modeling with Stochastic Partial Differential Equations Using R and INLA,2018,https://doi.org/10.1201/9780429031892,,INLA,regression,11,keep,"['regional', 'space-time', 'spatial', 'spatio-temporal']","['space-time', 'spatio-temporal', 'temporal']",['dataset'],"['bayesian', 'regression', 'simulation_modeling', 'spatiotemporal_model']",
Incorporating Spatial Autocorrelation in Machine Learning Models Using Spatial Lag and Eigenvector Spatial Filtering Features,2022,https://doi.org/10.3390/ijgi11040242,ISPRS International Journal of Geo-Information,MGWR/GWR; MGWRSAR/SAR; Moran eigenvectors,spatial_panel_modeling,10,review,"['geographic', 'spatial']",[],['dataset'],"['forecasting', 'machine_learning', 'regression', 'spatial_panel']",
A spatiotemporal weighted regression model (STWR v1.0) for analyzing local nonstationarity in space and time,2020,https://doi.org/10.5194/gmd-13-6149-2020,Geoscientific model development,MGWR/GWR,forecasting,10,keep,"['geographic', 'spatial', 'spatiotemporal']","['spatiotemporal', 'temporal']",['dataset'],"['forecasting', 'regression', 'simulation_modeling']",
Bayesian Inference with INLA,2020,https://doi.org/10.1201/9781315175584,,INLA,regression,10,keep,"['spatial', 'spatio-temporal']","['spatio-temporal', 'temporal']",['dataset'],"['bayesian', 'regression', 'spatiotemporal_model']",
Spatial modelling with R-INLA: A review,2018,https://doi.org/10.48550/arxiv.1802.06350,Edinburgh Research Explorer,INLA,regression,10,keep,"['space-time', 'spatial']",['space-time'],['dataset'],"['bayesian', 'regression', 'spatiotemporal_model']",
Spatial Regression Analysis Using Eigenvector Spatial Filtering,2019,https://doi.org/10.1016/c2017-0-01015-7,Elsevier eBooks,STVC/SVC; MGWRSAR/SAR; Moran eigenvectors,regression,9,keep,"['space-time', 'spatial']",['space-time'],['dataset'],"['regression', 'spatiotemporal_model']",
Spatiotemporal Variations of Aerosol Optical Depth and the Spatial Heterogeneity Relationship of Potential Factors Based on the Multi-Scale Geographically Weighted Regression Model in Chinese National-Level Urban Agglomerations,2023,https://doi.org/10.3390/rs15184613,Remote Sensing,MGWR/GWR,machine_learning,9,keep,"['geographic', 'spatial', 'spatiotemporal']","['annual', 'spatiotemporal', 'temporal']",['dataset'],"['bayesian', 'machine_learning', 'regression']",
Simultaneous Coefficient Penalization and Model Selection in Geographically Weighted Regression: The Geographically Weighted Lasso,2008,https://doi.org/10.1068/a40256,Environment and Planning A Economy and Space,STVC/SVC; MGWR/GWR,forecasting,8,review,"['geographic', 'spatial']",[],['dataset'],"['forecasting', 'regression', 'simulation_modeling']",
Spatial Determinants of Real Estate Appraisals in The Netherlands: A Machine Learning Approach,2022,https://doi.org/10.3390/ijgi11020125,ISPRS International Journal of Geo-Information,MGWR/GWR,forecasting,8,review,"['geographic', 'geospatial', 'spatial']",[],['dataset'],"['forecasting', 'machine_learning', 'regression']",
A spatially filtered multilevel model to account for spatial dependency: application to self-rated health status in South Korea,2014,https://doi.org/10.1186/1476-072x-13-6,International Journal of Health Geographics,Moran eigenvectors,regression,7,keep,"['geographic', 'spatial']",['monthly'],['dataset'],['regression'],
