"metadata_schema";"discovery_source";"candidate_status";"selection_tier";"citation_threshold";"dataset_doi";"title";"publisher";"year";"datacite_description";"datacite_subjects";"publication_doi";"article_title";"article_venue";"article_year";"article_type";"article_is_oa";"article_access_status";"article_oa_url";"article_landing_page_url";"cited_by_count";"license_name";"license_uri";"formats";"size_bytes";"data_access_url";"source_url";"publication_url";"formula_status";"formula_pub";"spatial_evidence";"model_evidence";"ingestion_next_step";"screening_version";"screening_tier";"screening_flags";"score";"flag_benchmark_model";"flag_non_benchmark_product";"flag_spatiotemporal";"flag_open_article";"flag_target_scope"
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"high_open_spatial_regression";"0";"10.5281/zenodo.15159899";"Table 1 in Global diversity of island floras from a macroecological perspective";"Zenodo";"2007";"Table 1 Single-predictor relationships between vascular plant species numbers on islands, in mainland regions and in the combined data set
SAREstimateSEzP -valueR 2AICIsland florasArea0.330.0131.28***0.66279Precipitation0.350.113.33***0.02796Temperature- 1.000.84- 1.19n.s.0.003805Elevation0.490.0418.24***0.40553Distance- 2.20e - 043.46e - 05- 6.34***0.07773Geology0.14735Atoll––––Continental1.040.119.04***Volcanic0.640.116.12***Mainland florasArea0.170.0118.45***0.2532Precipitation0.410.0411.03***0.11206Temperature0.370.301.25n.s.0.001314Elevation0.350.0218.93***0.2713All (islands and mainlands)Area0.260.0142.65***0.56513Precipitation0.390.057.81***0.041635Temperature- 1.600.46- 3.46***0.011682Elevation0.480.0230.64***0.39970Distance- 3.71e - 043.47e - 05- 10.71***0.061610Geology0.231317Atoll––––Continental0.890.0910.11***Volcanic0.650.087.92***Mainland1.480.0917.04***Island (yes ⁄ no)0.660.0418.47***0.181405
Results of spatial Simultaneous Autoregressive Models (SAR) are reported (for GLM results compare Supplementary Table S2). Species richness (response) and all continuous predictor variables (except for distance) were log10 transformed.
Significance: *** P <0.001; ** P <0.01; * P <0.05. n.s., not significant.";"Biodiversity;Taxonomy";"10.1111/j.1461-0248.2007.01129.x";"Global diversity of island floras from a macroecological perspective";"Ecology Letters";"2007";"article";TRUE;"open_access";"https://resolver.sub.uni-goettingen.de/purl?gro-2/5814";"https://doi.org/10.1111/j.1461-0248.2007.01129.x";"387";"License Not Specified";;"";;"https://zenodo.org/doi/10.5281/zenodo.15159899";"https://doi.org/10.5281/zenodo.15159899";"https://resolver.sub.uni-goettingen.de/purl?gro-2/5814";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"high_open_spatial_regression";"benchmark_model=TRUE; article_is_oa=TRUE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"7,00";TRUE;FALSE;FALSE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"high_open_spatial_regression";"0";"10.6084/m9.figshare.1038371";"The GWmodel R package: further topics for exploring spatial heterogeneity using geographically weighted models";"Taylor & Francis";"2014";"In this study, we present a collection of local models, termed geographically weighted (GW) models, which can be found within the <b>GWmodel</b> R package. A GW model suits situations when spatial data are poorly described by the global form, and for some regions the localized fit provides a better description. The approach uses a moving window weighting technique, where a collection of local models are estimated at target locations. Commonly, model parameters or outputs are mapped so that the nature of spatial heterogeneity can be explored and assessed. In particular, we present case studies using: (i) GW summary statistics and a GW principal components analysis; (ii) advanced GW regression fits and diagnostics; (iii) associated Monte Carlo significance tests for non-stationarity; (iv) a GW discriminant analysis; and (v) enhanced kernel bandwidth selection procedures. General Election data-sets from the Republic of Ireland and US are used for demonstration. This study is designed to complement a companion <b>GWmodel</b> study, which focuses on basic and robust GW models.";"Uncategorized";"10.1080/10095020.2014.917453";"The GWmodel R package: further topics for exploring spatial heterogeneity using geographically weighted models";"Geo-spatial Information Science";"2014";"article";TRUE;"open_access";"https://www.tandfonline.com/doi/pdf/10.1080/10095020.2014.917453?needAccess=true&role=button";"https://doi.org/10.1080/10095020.2014.917453";"296";"Creative Commons Attribution 4.0 International";"https://creativecommons.org/licenses/by/4.0/legalcode";"";"15928";"https://tandf.figshare.com/articles/dataset/The_GWmodel_R_package_further_topics_for_exploring_spatial_heterogeneity_using_geographically_weighted_models/1038371";"https://doi.org/10.6084/m9.figshare.1038371";"https://www.tandfonline.com/doi/pdf/10.1080/10095020.2014.917453?needAccess=true&role=button";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"high_open_spatial_regression";"benchmark_model=TRUE; article_is_oa=TRUE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"7,00";TRUE;FALSE;FALSE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"high_open_spatial_regression";"0";"10.5061/dryad.nq8hg19";"Data from: Environmental factors explain the spatial mismatches between species richness and phylogenetic diversity of terrestrial mammals";"Dryad";"2019";"Aim: Explore the spatial variation of the relationships between species
 richness (SR), phylogenetic diversity (PD) and environmental factors to
 infer the possible mechanisms underlying patterns of diversity in
 different regions of the globe. Location: Global. Time period: Present
 day. Major taxa studied: Terrestrial mammals. Methods: We used a hexagonal
 grid to map SR and PD of mammals and four environmental factors
 (temperature, productivity, elevation and climate-change velocity since
 the Last Glacial Maximum). We related those variables through direct and
 indirect pathways using a novel combination of Path Analysis and
 Geographically Weighted Regression to account for spatial non-stationarity
 of path coefficients. Results: SR, PD and environmental factors relate
 differently across the geographic space, with most relationships varying
 in both, magnitude and direction. Species richness is associated with
 lower phylogenetic diversity in much of the tropics and in the Americas,
 which reflects the tropical origin and the recent diversification of some
 mammalian clades in these regions. Environmental effects on PD are
 predominantly mediated by their effects on SR. But once richness is
 controlled for, the relationships between environmental factors and PD
 (i.e. PDSR) highlight environmentally driven changes in species
 composition. Environmental-PDSR relationships suggest that the relative
 importance of different mechanisms driving biodiversity shifts spatially.
 Across most of the globe, temperature and productivity are the strongest
 predictors of richness, while PDSR is best predicted by temperature. Main
 conclusions: Richness explains most spatial variation in PD, but both
 dimensions of biodiversity respond differently to environmental conditions
 across the globe, as indicated by the spatial mismatches in the
 relationships between environmental factors and these two types of
 diversity. We show that accounting for spatial non-stationarity and
 environmental effects on PD while controlling for richness uncovers a more
 complex scenario of drivers of biodiversity than previously observed.";"path analysis;non-stationarity;Mammalia;structural equation modeling;present day;biodiversity measures;dimensions of biodiversity;latitudinal gradient;spatial patterns";"10.1111/geb.12999";"Environmental factors explain the spatial mismatches between species richness and phylogenetic diversity of terrestrial mammals";"Global Ecology and Biogeography";"2019";"article";TRUE;"open_access";"https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A21947";"https://doi.org/10.1111/geb.12999";"37";"Creative Commons Zero v1.0 Universal";"https://creativecommons.org/publicdomain/zero/1.0/legalcode";"";"170007923";"https://datadryad.org/dataset/doi:10.5061/dryad.nq8hg19";"https://doi.org/10.5061/dryad.nq8hg19";"https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A21947";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"high_open_spatial_regression";"benchmark_model=TRUE; article_is_oa=TRUE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"6,74";TRUE;FALSE;FALSE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"high_open_spatial_regression";"0";"10.6084/m9.figshare.9805397";"Fast Nonseparable Gaussian Stochastic Process With Application to Methylation Level Interpolation";"Taylor & Francis";"2019";"Gaussian stochastic process (GaSP) has been widely used as a prior over functions due to its flexibility and tractability in modeling. However, the computational cost in evaluating the likelihood is O(n3), where <i>n</i> is the number of observed points in the process, as it requires to invert the covariance matrix. This bottleneck prevents GaSP being widely used in large-scale data. We propose a general class of nonseparable GaSP models for multiple functional observations with a fast and exact algorithm, in which the computation is linear (<i>O</i>(<i>n</i>)) and exact, requiring no approximation to compute the likelihood. We show that the commonly used linear regression and separable models are special cases of the proposed nonseparable GaSP model. Through the study of an epigenetic application, the proposed nonseparable GaSP model can accurately predict the genome-wide DNA methylation levels and compares favorably to alternative methods, such as linear regression, random forest, and localized Kriging method. The supplementary materials of this article are online and the algorithm for fast computation is implemented in the FastGaSP R package on CRAN. Supplemental materials for this article are available online.";"Genetics;FOS: Biological sciences;Biotechnology;69999 Biological Sciences not elsewhere classified;80699 Information Systems not elsewhere classified;FOS: Computer and information sciences;19999 Mathematical Sciences not elsewhere classified;FOS: Mathematics;Cancer";"10.1080/10618600.2019.1665534";"Fast Nonseparable Gaussian Stochastic Process With Application to Methylation Level Interpolation";"Journal of Computational and Graphical Statistics";"2019";"article";TRUE;"open_access";"https://arxiv.org/pdf/1711.11501";"https://doi.org/10.1080/10618600.2019.1665534";"8";"Creative Commons Attribution 4.0 International";"https://creativecommons.org/licenses/by/4.0/legalcode";"";"325654536";"https://tandf.figshare.com/articles/dataset/Fast_Nonseparable_Gaussian_Stochastic_Process_With_Application_to_Methylation_Level_Interpolation/9805397";"https://doi.org/10.6084/m9.figshare.9805397";"https://arxiv.org/pdf/1711.11501";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"high_open_spatial_regression";"benchmark_model=TRUE; article_is_oa=TRUE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"6,16";TRUE;FALSE;FALSE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"medium_spatiotemporal_review";"0";"10.7910/dvn/uezmjt";"Replication Data for: An application of geographically weighted quantile LASSO to weather index insurance design published by RAC-Revista de Administração Contemporânea";"Harvard Dataverse";"2021";"Objective: This article studies the efficiency of a novel regression approach, the geographically weighted quantile LASSO (GWQLASSO) in the modeling of yield-index relationship for weather index insurance products. GWQLASSO allows regression coefficients to vary spatially while using the information from neighboring locations to derive robust estimates. The LASSO component of the model facilitates the selection of relevant explanatory variables. Methodology: A weather index insurance (WII) product is developed based on a 1-month standardized precipitation index (SPI) derived from a daily precipitation dataset for 41 weather stations in the State of Paraná (Brazil) for the period of 1979 through 2015. Soybean yield data are also used for the 41 municipalities from 1980 through 2015. The effectiveness of the GWQLASSO product is evaluated against a classic quantile regression approach and a traditional yield insurance product using the Spectral Risk Measure (SRM) and the Mean Semi-deviation. Results: While GWQLASSO proved as effective as quantile regression it outperformed the yield insurance product. Conclusion: The GWQLASSO is an alternative to the crop insurance market in Brazil and other locations with limited data.

About the datasets:
Daily precipitation (mm) and yearly soybean crop yields (kg/ha) at the municipality level in Brazil. The precise location of each weather station is also present in the precipitation dataset.";"Business and Management;FOS: Economics and business;GWQlasso;index insurance;systemic risk;crop insurance";"10.1590/1982-7849rac2022200387.en";"An Application of Geographically Weighted Quantile Lasso to Weather Index Insurance Design";"Revista de Administração Contemporânea";"2022";"article";TRUE;"open_access";"https://www.scielo.br/j/rac/a/LH7gR5jGBdSWsMMPGwkxpxR/?lang=en&format=pdf";"https://doi.org/10.1590/1982-7849rac2022200387.en";"7";;"info:eu-repo/semantics/openAccess";"text/tab-separated-values;text/tab-separated-values";"85038630";"https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/UEZMJT";"https://doi.org/10.7910/dvn/uezmjt";"https://www.scielo.br/j/rac/a/LH7gR5jGBdSWsMMPGwkxpxR/?lang=en&format=pdf";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"medium_spatiotemporal_review";"benchmark_model=TRUE; article_is_oa=TRUE; target_scope=TRUE; spatiotemporal=TRUE; non_benchmark_product=FALSE";"6,14";TRUE;FALSE;TRUE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"high_open_spatial_regression";"0";"10.6084/m9.figshare.28908299";"Spatial Adaptive Selection using Binary Conditional Autoregressive Model with Application to Brain-Computer Interface";"Taylor & Francis";"2025";"In medical imaging studies, scalar-on-image regression presents significant challenges due to limited sample sizes and the high-dimensionality of datasets. Additionally, imaging predictors often exhibit spatially heterogeneous activation patterns and complex nonlinear associations with the response variable. To address these issues, we propose a novel Bayesian scalar-on-image regression model with the Spatial Adaptive Selection using Binary Conditional Autoregressive Model (SAS-BCAR) prior. The proposed approach leverages a binary conditional autoregressive model to capture spatial dependencies among feature selection indicators, effectively identifying spatially structured sparsity patterns within image data, while addressing nonlinear relationships between image predictors and the response variable. Furthermore, our SAS-BCAR incorporates an adaptive feature selection mechanism that adjusts to varying spatial dependencies across different image regions, ensuring a more precise and robust feature selection process. Through extensive numerical simulations on benchmark computer vision datasets and analysis of electroencephalography data in brain-computer interface applications, we demonstrate that the SAS-BCAR model achieves superior predictive performance compared to state-of-the-art alternatives, particularly in scenarios with limited training data. Supplementary materials including computer code, R packages, datasets, and additional figures are available online.";"Medicine;Biotechnology;Biological Sciences not elsewhere classified;Information Systems not elsewhere classified";"10.1080/10618600.2025.2495256";"Spatial Adaptive Selection using Binary Conditional Autoregressive Model with Application to Brain-Computer Interface";"Journal of Computational and Graphical Statistics";"2025";"article";TRUE;"open_access";"https://www.tandfonline.com/doi/pdf/10.1080/10618600.2025.2495256?needAccess=true";"https://doi.org/10.1080/10618600.2025.2495256";"3";"Creative Commons Attribution 4.0 International";"https://creativecommons.org/licenses/by/4.0/legalcode";"";"7182418";"https://tandf.figshare.com/articles/dataset/Spatial_Adaptive_Selection_using_Binary_Conditional_Autoregressive_Model_with_Application_to_Brain-Computer_Interface/28908299";"https://doi.org/10.6084/m9.figshare.28908299";"https://www.tandfonline.com/doi/pdf/10.1080/10618600.2025.2495256?needAccess=true";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"high_open_spatial_regression";"benchmark_model=TRUE; article_is_oa=TRUE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"6,06";TRUE;FALSE;FALSE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"high_open_spatial_regression";"0";"10.5061/dryad.pnvx0k729";"Data from: Improved estimates of relative occurrence and abundance using opportunistic surveys and presence-only observations: A zero-inflated integrated species distribution model";"Dryad";"2026";"Modeling tools for estimating and forecasting shifts in species
 distributions are becoming increasingly valuable for conservation planning
 and response. This is especially true for wild bird populations, which
 have been declining across habitats and regions. Species distribution
 models (SDM) represent a diverse set of tools with many options for
 addressing various sources of bias. Complex spatial processes associated
 with rare or clustered species can be accounted for using zero-inflated
 SDMs, while biased survey data can be integrated with additional data
 sources to support more accurate estimates. Each option addresses an
 important and common source of bias, but the two SDM frameworks have not
 previously been implemented together. We present a novel zero-inflated
 extension of a Poisson regression integrated SDM framework (ZI-iSDM),
 allowing for the estimation of independent occurrence and abundance
 processes by integrating opportunistic survey and presence-only data. We
 validated the performance of this ZI-iSDM using simulated datasets under
 different degrees of species rarity and density on the landscape. We also
 implemented this model for multiple wild bird species using publicly
 available survey data combined with open-access environmental information
 to describe habitat associations. We found that integration of
 presence-only data, such as banding or harvest events, can compensate for
 potential deficiencies in opportunistic surveys by expanding sampling to
 be more representative of available and used habitat. Additionally, models
 that first differentiated occurrence and abundance through a ZI term were
 better suited for approximating distributions of spatially clustered
 species.";"FOS: Natural sciences;Species distribution model;zero inflated;integrated datasets";"10.1016/j.ecolmodel.2026.111712";"Improved estimates of relative occurrence and abundance using opportunistic surveys and presence-only observations: A zero-inflated integrated species distribution model";"Ecological Modelling";"2026";"article";TRUE;"open_access";"https://doi.org/10.1016/j.ecolmodel.2026.111712";"https://doi.org/10.1016/j.ecolmodel.2026.111712";"0";"Creative Commons Zero v1.0 Universal";"https://creativecommons.org/publicdomain/zero/1.0/legalcode";"";"1794815496";"https://datadryad.org/dataset/doi:10.5061/dryad.pnvx0k729";"https://doi.org/10.5061/dryad.pnvx0k729";"https://doi.org/10.1016/j.ecolmodel.2026.111712";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"high_open_spatial_regression";"benchmark_model=TRUE; article_is_oa=TRUE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"6,00";TRUE;FALSE;FALSE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"medium_spatial_regression_article_not_oa";"0";"10.6084/m9.figshare.7492280";"The Importance of Scale in Spatially Varying Coefficient Modeling";"Taylor & Francis";"2018";"Although spatially varying coefficient (SVC) models have attracted considerable attention in applied science, they have been criticized as being unstable. The objective of this study is to show that capturing the “spatial scale” of each data relationship is crucially important to make SVC modeling more stable and, in doing so, adds flexibility. Here, the analytical properties of six SVC models are summarized in terms of their characterization of scale. Models are examined through a series of Monte Carlo simulation experiments to assess the extent to which spatial scale influences model stability and the accuracy of their SVC estimates. The following models are studied: (1) geographically weighted regression (GWR) with a fixed distance or (2) an adaptive distance bandwidth (GWRa); (3) flexible bandwidth GWR (FB-GWR) with fixed distance or (4) adaptive distance bandwidths (FB-GWRa); (5) eigenvector spatial filtering (ESF); and (6) random effects ESF (RE-ESF). Results reveal that the SVC models designed to capture scale dependencies in local relationships (FB-GWR, FB-GWRa, and RE-ESF) most accurately estimate the simulated SVCs, where RE-ESF is the most computationally efficient. Conversely, GWR and ESF, where SVC estimates are naïvely assumed to operate at the same spatial scale for each relationship, perform poorly. Results also confirm that the adaptive bandwidth GWR models (GWRa and FB-GWRa) are superior to their fixed bandwidth counterparts (GWR and FB-GWR). <i>Key Words: flexible bandwidth geographically weighted regression, Monte Carlo simulation, nonstationarity, random effects eigenvector spatial filtering, spatial scale</i>.";"Evolutionary Biology;FOS: Biological sciences;FOS: Biological sciences;59999 Environmental Sciences not elsewhere classified;FOS: Earth and related environmental sciences;FOS: Earth and related environmental sciences;Ecology;Sociology;FOS: Sociology;FOS: Sociology;69999 Biological Sciences not elsewhere classified;80699 Information Systems not elsewhere classified;FOS: Computer and information sciences;FOS: Computer and information sciences;Inorganic Chemistry;FOS: Chemical sciences;FOS: Chemical sciences;Science Policy";"10.1080/24694452.2018.1462691";"The Importance of Scale in Spatially Varying Coefficient Modeling";"Annals of the American Association of Geographers";"2018";"article";FALSE;"not_open_or_unknown";;"https://doi.org/10.1080/24694452.2018.1462691";"91";"Creative Commons Attribution 4.0 International";"https://creativecommons.org/licenses/by/4.0/legalcode";"";"9769147";"https://tandf.figshare.com/articles/The_Importance_of_Scale_in_Spatially_Varying_Coefficient_Modeling/7492280";"https://doi.org/10.6084/m9.figshare.7492280";"https://doi.org/10.1080/24694452.2018.1462691";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"medium_spatial_regression_article_not_oa";"benchmark_model=TRUE; article_is_oa=FALSE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"5,82";TRUE;FALSE;FALSE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"high_open_spatial_regression";"0";"10.6084/m9.figshare.3189004";"A bootstrap test for constant coefficients in geographically weighted regression models";"Taylor & Francis";"2016";"Statistical tests for whether some coefficients really vary over space play an important role in using the geographically weighted regression (GWR) to explore spatial non-stationarity of the regression relationship. In view of some shortcomings of the existing inferential methods, we propose a residual-based bootstrap test to detect the constant coefficients in a GWR model. The proposed test is free of the assumption that the model error term is normally distributed and admits some useful extensions for identifying more complicated spatial patterns of the coefficients. Some simulation with comparison to the existing test methods is conducted to assess the test performance, including the accuracy of the bootstrap approximation to the null distribution of the test statistic, the power in identifying spatially varying coefficients and the robustness to collinearity among the explanatory variables. The simulation results demonstrate that the bootstrap test works quite well. Furthermore, a real-world data set is analyzed to illustrate the application of the proposed test.";"Medicine;59999 Environmental Sciences not elsewhere classified;FOS: Earth and related environmental sciences;FOS: Earth and related environmental sciences;Sociology;FOS: Sociology;FOS: Sociology;69999 Biological Sciences not elsewhere classified;FOS: Biological sciences;FOS: Biological sciences;80699 Information Systems not elsewhere classified;FOS: Computer and information sciences;FOS: Computer and information sciences;19999 Mathematical Sciences not elsewhere classified;FOS: Mathematics;FOS: Mathematics";"10.1080/13658816.2016.1149181";"A bootstrap test for constant coefficients in geographically weighted regression models";"International Journal of Geographical Information Systems";"2016";"article";TRUE;"open_access";"https://figshare.com/articles/dataset/A_bootstrap_test_for_constant_coefficients_in_geographically_weighted_regression_models/3189004";"https://doi.org/10.1080/13658816.2016.1149181";"55";"Creative Commons Attribution 4.0 International";"https://creativecommons.org/licenses/by/4.0/legalcode";"";"109459";"https://tandf.figshare.com/articles/dataset/A_bootstrap_test_for_constant_coefficients_in_geographically_weighted_regression_models/3189004";"https://doi.org/10.6084/m9.figshare.3189004";"https://figshare.com/articles/dataset/A_bootstrap_test_for_constant_coefficients_in_geographically_weighted_regression_models/3189004";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"high_open_spatial_regression";"benchmark_model=TRUE; article_is_oa=TRUE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"5,10";TRUE;FALSE;FALSE;TRUE;TRUE
"spatialtidymodels_metadata_v1";"datacite";"needs_manual_curation";"medium_spatial_regression_article_not_oa";"0";"10.3886/e112541v1";"Replication data for: A Rational Expectations Approach to Hedonic Price Regressions with Time-Varying Unobserved Product Attributes: The Price of Pollution";"ICPSR - Interuniversity Consortium for Political and Social Research";"2012";"We propose a new strategy for a pervasive problem in the hedonics literature: recovering hedonic prices in the presence of time-varying correlated unobservables. Our approach relies on an assumption about home buyer rationality, under which prior sales prices can be used to control for time-varying unobservable attributes of the house or neighborhood. Using housing transactions data from California's Bay Area between 1990 and 2006, we apply our estimator to recover marginal willingness to pay for reductions in three of the EPA's ""criteria"" air pollutants. Our findings suggest that ignoring bias from time-varying correlated unobservables considerably understates the benefits of a pollution reduction policy. (JEL D12, D84, Q53, Q58, R21)";"";"10.1257/aer.102.5.1898";"A Rational Expectations Approach to Hedonic Price Regressions with Time-Varying Unobserved Product Attributes: The Price of Pollution";"American Economic Review";"2012";"article";FALSE;"not_open_or_unknown";;"https://doi.org/10.1257/aer.102.5.1898";"168";;;"";;"https://www.openicpsr.org/openicpsr/project/112541/version/V1/view";"https://doi.org/10.3886/e112541v1";"https://doi.org/10.1257/aer.102.5.1898";"not_found";"pending_grobid_kg";"DataCite formats/description/subjects matched geometry heuristics";"DataCite/OpenAlex title, abstract metadata or subjects matched strict spatial regression heuristics";"download data metadata, add BibTeX, fetch OA PDF if legal, run GROBID -> KG -> wiki fiche";"datacite_harvest_v2";"medium_spatial_regression_article_not_oa";"benchmark_model=TRUE; article_is_oa=FALSE; target_scope=TRUE; spatiotemporal=FALSE; non_benchmark_product=FALSE";"5,00";TRUE;FALSE;FALSE;TRUE;TRUE
