11:57:25 === baltimore graine 11 : N=211, sites=211, folds(lignes)=41/45/45/36/44 | estimateurs: baseline_mean,ols,gam_spatial,random_forest,xgboost,sar_lag,sem_error,inla_spde 
11:57:25 baseline_mean | fold 1 ok (0.0s) 
11:57:25 baseline_mean | fold 2 ok (0.0s) 
11:57:25 baseline_mean | fold 3 ok (0.0s) 
11:57:25 baseline_mean | fold 4 ok (0.0s) 
11:57:25 baseline_mean | fold 5 ok (0.0s) 
11:57:25 ols | fold 1 ok (0.0s) 
11:57:25 ols | fold 2 ok (0.0s) 
11:57:25 ols | fold 3 ok (0.0s) 
11:57:25 ols | fold 4 ok (0.0s) 
11:57:25 ols | fold 5 ok (0.0s) 
11:57:25 gam_spatial | fold 1 ok (0.0s) 
11:57:25 gam_spatial | fold 2 ok (0.0s) 
11:57:25 gam_spatial | fold 3 ok (0.0s) 
11:57:25 gam_spatial | fold 4 ok (0.0s) 
11:57:25 gam_spatial | fold 5 ok (0.0s) 
11:57:25 random_forest | fold 1 ok (0.0s) 
11:57:25 random_forest | fold 2 ok (0.0s) 
11:57:25 random_forest | fold 3 ok (0.0s) 
11:57:25 random_forest | fold 4 ok (0.0s) 
11:57:25 random_forest | fold 5 ok (0.0s) 
11:57:26 xgboost | fold 1 ok (0.1s) 
11:57:26 xgboost | fold 2 ok (0.1s) 
11:57:26 xgboost | fold 3 ok (0.1s) 
11:57:26 xgboost | fold 4 ok (0.1s) 
11:57:26 xgboost | fold 5 ok (0.1s) 
11:57:27 sar_lag | fold 1 ok (0.8s) 
11:57:28 sar_lag | fold 2 ok (0.8s) 
11:57:29 sar_lag | fold 3 ok (0.8s) 
11:57:29 sar_lag | fold 4 ok (0.8s) 
11:57:30 sar_lag | fold 5 ok (0.8s) 
11:57:31 sem_error | fold 1 ok (0.8s) 
11:57:32 sem_error | fold 2 ok (0.7s) 
11:57:33 sem_error | fold 3 ok (0.8s) 
11:57:33 sem_error | fold 4 ok (0.8s) 
11:57:34 sem_error | fold 5 ok (0.9s) 
11:57:50 inla_spde | fold 1 ok (15.0s) 
11:58:04 inla_spde | fold 2 ok (14.8s) 
11:58:21 inla_spde | fold 3 ok (16.3s) 
11:58:36 inla_spde | fold 4 ok (15.7s) 
11:58:53 inla_spde | fold 5 ok (16.8s) 
