"dataset","seed","estimator","fold","ok","elapsed","attempts","mlik","range","error"
"baltimore",33,"baseline_mean",1,TRUE,0,1,NA,NA,NA
"baltimore",33,"baseline_mean",2,TRUE,0,1,NA,NA,NA
"baltimore",33,"baseline_mean",3,TRUE,0,1,NA,NA,NA
"baltimore",33,"baseline_mean",4,TRUE,0,1,NA,NA,NA
"baltimore",33,"baseline_mean",5,TRUE,0,1,NA,NA,NA
"baltimore",33,"ols",1,TRUE,0.0199999999995271,1,NA,NA,NA
"baltimore",33,"ols",2,TRUE,0.0799999999999272,1,NA,NA,NA
"baltimore",33,"ols",3,TRUE,0,1,NA,NA,NA
"baltimore",33,"ols",4,TRUE,0,1,NA,NA,NA
"baltimore",33,"ols",5,TRUE,0,1,NA,NA,NA
"baltimore",33,"gam_spatial",1,TRUE,0.0799999999999272,1,NA,NA,NA
"baltimore",33,"gam_spatial",2,TRUE,0.0799999999999272,1,NA,NA,NA
"baltimore",33,"gam_spatial",3,TRUE,0.0799999999999272,1,NA,NA,NA
"baltimore",33,"gam_spatial",4,TRUE,0.0900000000001455,1,NA,NA,NA
"baltimore",33,"gam_spatial",5,TRUE,0.100000000000364,1,NA,NA,NA
"baltimore",33,"random_forest",1,TRUE,0.0900000000001455,1,NA,NA,NA
"baltimore",33,"random_forest",2,TRUE,0.0599999999994907,1,NA,NA,NA
"baltimore",33,"random_forest",3,TRUE,0.069999999999709,1,NA,NA,NA
"baltimore",33,"random_forest",4,TRUE,0.0299999999997453,1,NA,NA,NA
"baltimore",33,"random_forest",5,TRUE,0.0399999999999636,1,NA,NA,NA
"baltimore",33,"xgboost",1,TRUE,0.089999999999236,1,NA,NA,NA
"baltimore",33,"xgboost",2,TRUE,0.0900000000001455,1,NA,NA,NA
"baltimore",33,"xgboost",3,TRUE,0.0900000000001455,1,NA,NA,NA
"baltimore",33,"xgboost",4,TRUE,0.069999999999709,1,NA,NA,NA
"baltimore",33,"xgboost",5,TRUE,0.0900000000001455,1,NA,NA,NA
"baltimore",33,"sar_lag",1,TRUE,1.10999999999967,1,NA,NA,NA
"baltimore",33,"sar_lag",2,TRUE,0.850000000000364,1,NA,NA,NA
"baltimore",33,"sar_lag",3,TRUE,0.890000000000327,1,NA,NA,NA
"baltimore",33,"sar_lag",4,TRUE,0.859999999999673,1,NA,NA,NA
"baltimore",33,"sar_lag",5,TRUE,0.869999999999891,1,NA,NA,NA
"baltimore",33,"sem_error",1,TRUE,0.760000000000218,1,NA,NA,NA
"baltimore",33,"sem_error",2,TRUE,0.760000000000218,1,NA,NA,NA
"baltimore",33,"sem_error",3,TRUE,0.680000000000291,1,NA,NA,NA
"baltimore",33,"sem_error",4,TRUE,0.729999999999563,1,NA,NA,NA
"baltimore",33,"sem_error",5,TRUE,0.719999999999345,1,NA,NA,NA
"baltimore",33,"inla_spde",1,TRUE,26.1599999999999,1,-765.088418307673,13.378266619059,NA
"baltimore",33,"inla_spde",2,TRUE,25.3100000000004,1,-703.277448744808,8.49251456883544,NA
"baltimore",33,"inla_spde",3,TRUE,25.71,1,-774.372385646575,9.08263822910456,NA
"baltimore",33,"inla_spde",4,TRUE,26.1199999999999,1,-767.779207912161,11.5702902432222,NA
"baltimore",33,"inla_spde",5,TRUE,24.5599999999995,1,-730.433426495131,11.2971127180995,NA
