11:17:46 === crane graine 33 : N=650, sites=130, folds(lignes)=135/145/125/125/120 | estimateurs: baseline_mean,ols,gam_spatial,random_forest,xgboost,sar_probit,sem_probit,inla_spde,inla_spde_st 
11:17:46 baseline_mean | fold 1 ok (0.0s) 
11:17:46 baseline_mean | fold 2 ok (0.0s) 
11:17:46 baseline_mean | fold 3 ok (0.0s) 
11:17:46 baseline_mean | fold 4 ok (0.0s) 
11:17:46 baseline_mean | fold 5 ok (0.0s) 
11:17:46 ols | fold 1 ok (0.0s) 
11:17:46 ols | fold 2 ok (0.0s) 
11:17:46 ols | fold 3 ok (0.0s) 
11:17:46 ols | fold 4 ok (0.0s) 
11:17:46 ols | fold 5 ok (0.0s) 
11:17:47 gam_spatial | fold 1 ok (0.1s) 
11:17:47 gam_spatial | fold 2 ok (0.1s) 
11:17:47 gam_spatial | fold 3 ok (0.1s) 
11:17:47 gam_spatial | fold 4 ok (0.2s) 
11:17:47 gam_spatial | fold 5 ok (0.1s) 
11:17:47 random_forest | fold 1 ok (0.1s) 
11:17:47 random_forest | fold 2 ok (0.0s) 
11:17:47 random_forest | fold 3 ok (0.0s) 
11:17:47 random_forest | fold 4 ok (0.0s) 
11:17:48 random_forest | fold 5 ok (0.0s) 
11:17:48 xgboost | fold 1 ok (0.1s) 
11:17:48 xgboost | fold 2 ok (0.1s) 
11:17:48 xgboost | fold 3 ok (0.1s) 
11:17:48 xgboost | fold 4 ok (0.1s) 
11:17:48 xgboost | fold 5 ok (0.1s) 
11:17:49 sar_probit | fold 1 ok (0.5s) 
11:17:49 sar_probit | fold 2 ok (0.4s) 
11:17:50 sar_probit | fold 3 ok (0.4s) 
11:17:50 sar_probit | fold 4 ok (0.3s) 
11:17:51 sar_probit | fold 5 ok (0.4s) 
11:17:51 sem_probit | fold 1 ok (0.2s) 
11:17:52 sem_probit | fold 2 ok (0.5s) 
11:17:52 sem_probit | fold 3 ok (0.2s) 
11:17:52 sem_probit | fold 4 ok (0.2s) 
11:17:52 sem_probit | fold 5 ok (0.3s) 
11:18:14 inla_spde | fold 1 ok (21.0s) 
11:18:34 inla_spde | fold 2 ok (20.5s) 
11:18:56 inla_spde | fold 3 ok (21.9s) 
11:19:18 inla_spde | fold 4 ok (21.7s) 
11:19:41 inla_spde | fold 5 ok (22.7s) 
11:20:57 inla_spde_st | fold 1 ok (76.2s) 
11:22:03 inla_spde_st | fold 2 ok (66.1s) 
11:23:19 inla_spde_st | fold 3 ok (75.3s) 
11:24:19 inla_spde_st | fold 4 ok (60.0s) 
11:25:37 inla_spde_st | fold 5 ok (78.6s) 
11:25:38 === crane graine 33 TERMINE 
