"dataset","seed","estimator","fold","ok","elapsed","attempts","mlik","range","error"
"flapper",11,"baseline_mean",1,TRUE,0,1,NA,NA,NA
"flapper",11,"baseline_mean",2,TRUE,0,1,NA,NA,NA
"flapper",11,"baseline_mean",3,TRUE,0,1,NA,NA,NA
"flapper",11,"baseline_mean",4,TRUE,0,1,NA,NA,NA
"flapper",11,"baseline_mean",5,TRUE,0,1,NA,NA,NA
"flapper",11,"ols",1,TRUE,0,1,NA,NA,NA
"flapper",11,"ols",2,TRUE,0.0299999999997453,1,NA,NA,NA
"flapper",11,"ols",3,TRUE,0.0100000000002183,1,NA,NA,NA
"flapper",11,"ols",4,TRUE,0,1,NA,NA,NA
"flapper",11,"ols",5,TRUE,0,1,NA,NA,NA
"flapper",11,"gam_spatial",1,TRUE,0.109999999999673,1,NA,NA,NA
"flapper",11,"gam_spatial",2,TRUE,0.119999999999891,1,NA,NA,NA
"flapper",11,"gam_spatial",3,TRUE,0.139999999999418,1,NA,NA,NA
"flapper",11,"gam_spatial",4,TRUE,0.190000000000509,1,NA,NA,NA
"flapper",11,"gam_spatial",5,TRUE,0.130000000000109,1,NA,NA,NA
"flapper",11,"random_forest",1,TRUE,0.0599999999994907,1,NA,NA,NA
"flapper",11,"random_forest",2,TRUE,0.0599999999994907,1,NA,NA,NA
"flapper",11,"random_forest",3,TRUE,0.0600000000004002,1,NA,NA,NA
"flapper",11,"random_forest",4,TRUE,0.0800000000008367,1,NA,NA,NA
"flapper",11,"random_forest",5,TRUE,0.0600000000004002,1,NA,NA,NA
"flapper",11,"xgboost",1,TRUE,0.0900000000001455,1,NA,NA,NA
"flapper",11,"xgboost",2,TRUE,0.089999999999236,1,NA,NA,NA
"flapper",11,"xgboost",3,TRUE,0.109999999999673,1,NA,NA,NA
"flapper",11,"xgboost",4,TRUE,0.100000000000364,1,NA,NA,NA
"flapper",11,"xgboost",5,TRUE,0.0700000000006185,1,NA,NA,NA
"flapper",11,"sar_probit",1,TRUE,0.619999999999891,1,NA,NA,NA
"flapper",11,"sar_probit",2,TRUE,0.550000000000182,1,NA,NA,NA
"flapper",11,"sar_probit",3,TRUE,0.329999999999927,1,NA,NA,NA
"flapper",11,"sar_probit",4,TRUE,0.4399999999996,1,NA,NA,NA
"flapper",11,"sar_probit",5,TRUE,0.579999999999927,1,NA,NA,NA
"flapper",11,"sem_probit",1,TRUE,0.320000000000618,1,NA,NA,NA
"flapper",11,"sem_probit",2,TRUE,0.279999999999745,1,NA,NA,NA
"flapper",11,"sem_probit",3,TRUE,0.300000000000182,1,NA,NA,NA
"flapper",11,"sem_probit",4,TRUE,0.329999999999927,1,NA,NA,NA
"flapper",11,"sem_probit",5,TRUE,0.529999999999745,1,NA,NA,NA
"flapper",11,"inla_spde",1,TRUE,21.3599999999997,1,-185.679730378986,21.0640583951064,NA
"flapper",11,"inla_spde",2,TRUE,21.6800000000003,1,-146.672595911283,20.4659154629045,NA
"flapper",11,"inla_spde",3,TRUE,23.29,1,-145.089765929394,30.884144538469,NA
"flapper",11,"inla_spde",4,TRUE,20.3699999999999,1,-168.478139174478,18.2592077162751,NA
"flapper",11,"inla_spde",5,TRUE,21.1400000000003,1,-194.400408005056,17.6516034574391,NA
"flapper",11,"inla_spde_group",1,TRUE,14.7300000000005,1,-186.595301967408,21.0657555730537,NA
"flapper",11,"inla_spde_group",2,TRUE,16.1800000000003,1,-147.611733447443,20.458356441264,NA
"flapper",11,"inla_spde_group",3,TRUE,15.3999999999996,1,-146.001420883068,30.9045326976976,NA
"flapper",11,"inla_spde_group",4,TRUE,14.4699999999993,1,-169.406852407796,18.2891438774,NA
"flapper",11,"inla_spde_group",5,TRUE,15.1899999999996,1,-195.317017214517,17.6644368203657,NA
