"dataset","seed","estimator","fold","ok","elapsed","attempts","mlik","range","error"
"georgia",22,"baseline_mean",1,TRUE,0,1,NA,NA,NA
"georgia",22,"baseline_mean",2,TRUE,0,1,NA,NA,NA
"georgia",22,"baseline_mean",3,TRUE,0,1,NA,NA,NA
"georgia",22,"baseline_mean",4,TRUE,0,1,NA,NA,NA
"georgia",22,"baseline_mean",5,TRUE,0,1,NA,NA,NA
"georgia",22,"ols",1,TRUE,0.0100000000002183,1,NA,NA,NA
"georgia",22,"ols",2,TRUE,0.0900000000001455,1,NA,NA,NA
"georgia",22,"ols",3,TRUE,0.0200000000004366,1,NA,NA,NA
"georgia",22,"ols",4,TRUE,0,1,NA,NA,NA
"georgia",22,"ols",5,TRUE,0,1,NA,NA,NA
"georgia",22,"gam_spatial",1,TRUE,0.0600000000004002,1,NA,NA,NA
"georgia",22,"gam_spatial",2,TRUE,0.0499999999992724,1,NA,NA,NA
"georgia",22,"gam_spatial",3,TRUE,0.0599999999994907,1,NA,NA,NA
"georgia",22,"gam_spatial",4,TRUE,0.0600000000004002,1,NA,NA,NA
"georgia",22,"gam_spatial",5,TRUE,0.0600000000004002,1,NA,NA,NA
"georgia",22,"random_forest",1,TRUE,0.0799999999999272,1,NA,NA,NA
"georgia",22,"random_forest",2,TRUE,0.0599999999994907,1,NA,NA,NA
"georgia",22,"random_forest",3,TRUE,0.0499999999992724,1,NA,NA,NA
"georgia",22,"random_forest",4,TRUE,0.0799999999999272,1,NA,NA,NA
"georgia",22,"random_forest",5,TRUE,0.0500000000001819,1,NA,NA,NA
"georgia",22,"xgboost",1,TRUE,0.170000000000073,1,NA,NA,NA
"georgia",22,"xgboost",2,TRUE,0.1899999999996,1,NA,NA,NA
"georgia",22,"xgboost",3,TRUE,0.199999999999818,1,NA,NA,NA
"georgia",22,"xgboost",4,TRUE,0.170000000000073,1,NA,NA,NA
"georgia",22,"xgboost",5,TRUE,0.140000000000327,1,NA,NA,NA
"georgia",22,"sar_lag",1,TRUE,1.36999999999989,1,NA,NA,NA
"georgia",22,"sar_lag",2,TRUE,1.75,1,NA,NA,NA
"georgia",22,"sar_lag",3,TRUE,1.36999999999989,1,NA,NA,NA
"georgia",22,"sar_lag",4,TRUE,1.32999999999993,1,NA,NA,NA
"georgia",22,"sar_lag",5,TRUE,1.39000000000033,1,NA,NA,NA
"georgia",22,"sem_error",1,TRUE,1.32999999999993,1,NA,NA,NA
"georgia",22,"sem_error",2,TRUE,1.32999999999993,1,NA,NA,NA
"georgia",22,"sem_error",3,TRUE,1.44999999999982,1,NA,NA,NA
"georgia",22,"sem_error",4,TRUE,1.21999999999935,1,NA,NA,NA
"georgia",22,"sem_error",5,TRUE,1.1899999999996,1,NA,NA,NA
"georgia",22,"inla_spde",1,TRUE,19.7200000000003,1,-376.435261160056,0.297128761249973,NA
"georgia",22,"inla_spde",2,TRUE,20.6700000000001,1,-371.39510331367,0.201508193615736,NA
"georgia",22,"inla_spde",3,TRUE,19.79,1,-363.678009630058,0.226879424325289,NA
"georgia",22,"inla_spde",4,TRUE,20.6499999999996,1,-392.593786104047,0.241452990734223,NA
"georgia",22,"inla_spde",5,TRUE,19.4200000000001,1,-348.912915475071,0.296956840773059,NA
