"dataset","seed","estimator","fold","ok","elapsed","attempts","mlik","range","error"
"goa",22,"baseline_mean",1,TRUE,0,1,NA,NA,NA
"goa",22,"baseline_mean",2,TRUE,0.00999999999999801,1,NA,NA,NA
"goa",22,"baseline_mean",3,TRUE,0,1,NA,NA,NA
"goa",22,"baseline_mean",4,TRUE,0,1,NA,NA,NA
"goa",22,"baseline_mean",5,TRUE,0,1,NA,NA,NA
"goa",22,"ols",1,TRUE,0.00999999999999801,1,NA,NA,NA
"goa",22,"ols",2,TRUE,0.149999999999999,1,NA,NA,NA
"goa",22,"ols",3,TRUE,0,1,NA,NA,NA
"goa",22,"ols",4,TRUE,0,1,NA,NA,NA
"goa",22,"ols",5,TRUE,0,1,NA,NA,NA
"goa",22,"gam_spatial",1,TRUE,0.0700000000000003,1,NA,NA,NA
"goa",22,"gam_spatial",2,TRUE,0.0399999999999991,1,NA,NA,NA
"goa",22,"gam_spatial",3,TRUE,0.0499999999999972,1,NA,NA,NA
"goa",22,"gam_spatial",4,TRUE,0.0399999999999991,1,NA,NA,NA
"goa",22,"gam_spatial",5,TRUE,0.0700000000000003,1,NA,NA,NA
"goa",22,"random_forest",1,TRUE,0.189999999999998,1,NA,NA,NA
"goa",22,"random_forest",2,TRUE,0.0600000000000023,1,NA,NA,NA
"goa",22,"random_forest",3,TRUE,0.0500000000000043,1,NA,NA,NA
"goa",22,"random_forest",4,TRUE,0.0499999999999972,1,NA,NA,NA
"goa",22,"random_forest",5,TRUE,0.0399999999999991,1,NA,NA,NA
"goa",22,"xgboost",1,TRUE,0.0700000000000003,1,NA,NA,NA
"goa",22,"xgboost",2,TRUE,0.0900000000000034,1,NA,NA,NA
"goa",22,"xgboost",3,TRUE,0.0900000000000034,1,NA,NA,NA
"goa",22,"xgboost",4,TRUE,0.0800000000000054,1,NA,NA,NA
"goa",22,"xgboost",5,TRUE,0.0799999999999983,1,NA,NA,NA
"goa",22,"sar_lag",1,TRUE,1.75,1,NA,NA,NA
"goa",22,"sar_lag",2,TRUE,1.24,1,NA,NA,NA
"goa",22,"sar_lag",3,TRUE,1.16,1,NA,NA,NA
"goa",22,"sar_lag",4,TRUE,1.04,1,NA,NA,NA
"goa",22,"sar_lag",5,TRUE,1.02,1,NA,NA,NA
"goa",22,"sem_error",1,TRUE,0.960000000000001,1,NA,NA,NA
"goa",22,"sem_error",2,TRUE,0.969999999999999,1,NA,NA,NA
"goa",22,"sem_error",3,TRUE,1.01,1,NA,NA,NA
"goa",22,"sem_error",4,TRUE,1.02,1,NA,NA,NA
"goa",22,"sem_error",5,TRUE,0.960000000000001,1,NA,NA,NA
"goa",22,"inla_spde",1,TRUE,18.6,1,-2549.75301212678,73630477.2845698,NA
"goa",22,"inla_spde",2,TRUE,12.85,1,-2424.28523512866,0.973138498705917,NA
"goa",22,"inla_spde",3,TRUE,16.05,1,-2613.41709550176,0.716172681658694,NA
"goa",22,"inla_spde",4,TRUE,14.17,1,-2503.95433611394,0.792208968578615,NA
"goa",22,"inla_spde",5,TRUE,13.08,1,-2574.40294135272,7.00759821954452,NA
"goa",22,"inla_spde_group",1,TRUE,16.65,1,-2561.13076595121,26631765.2801875,NA
"goa",22,"inla_spde_group",2,TRUE,20.1,1,-2432.53548466931,0.971965126825612,NA
"goa",22,"inla_spde_group",3,TRUE,22.27,1,-2620.67396181021,0.717921921181381,NA
"goa",22,"inla_spde_group",4,TRUE,20.34,1,-2509.58827060019,0.768911966288144,NA
"goa",22,"inla_spde_group",5,TRUE,25,1,-2576.24957223422,6.79399526212473,NA
"goa",22,"inla_spde_st",1,TRUE,583,1,-2504.40539768148,0.45569461624929,NA
"goa",22,"inla_spde_st",2,TRUE,531.06,1,-2423.08360288081,1.01269893750186,NA
"goa",22,"inla_spde_st",3,TRUE,572.23,1,-2609.77698802682,0.602456967438121,NA
"goa",22,"inla_spde_st",4,TRUE,995.97,1,-2500.51190722683,0.629111583832647,NA
"goa",22,"inla_spde_st",5,TRUE,570.61,1,-3086.63984011586,0.259633151080731,NA
