"dataset","seed","estimator","fold","ok","elapsed","attempts","mlik","range","error"
"mistletoe",11,"baseline_mean",1,TRUE,0,1,NA,NA,NA
"mistletoe",11,"baseline_mean",2,TRUE,0,1,NA,NA,NA
"mistletoe",11,"baseline_mean",3,TRUE,0,1,NA,NA,NA
"mistletoe",11,"baseline_mean",4,TRUE,0,1,NA,NA,NA
"mistletoe",11,"baseline_mean",5,TRUE,0,1,NA,NA,NA
"mistletoe",11,"ols",1,TRUE,0.0200000000004366,1,NA,NA,NA
"mistletoe",11,"ols",2,TRUE,0.0500000000001819,1,NA,NA,NA
"mistletoe",11,"ols",3,TRUE,0,1,NA,NA,NA
"mistletoe",11,"ols",4,TRUE,0,1,NA,NA,NA
"mistletoe",11,"ols",5,TRUE,0,1,NA,NA,NA
"mistletoe",11,"gam_spatial",1,TRUE,0.199999999999818,1,NA,NA,NA
"mistletoe",11,"gam_spatial",2,TRUE,0.0900000000001455,1,NA,NA,NA
"mistletoe",11,"gam_spatial",3,TRUE,0.289999999999964,1,NA,NA,NA
"mistletoe",11,"gam_spatial",4,TRUE,0.170000000000073,1,NA,NA,NA
"mistletoe",11,"gam_spatial",5,TRUE,0.220000000000255,1,NA,NA,NA
"mistletoe",11,"xgboost",1,TRUE,0.149999999999636,1,NA,NA,NA
"mistletoe",11,"xgboost",2,TRUE,0.119999999999891,1,NA,NA,NA
"mistletoe",11,"xgboost",3,TRUE,0.130000000000109,1,NA,NA,NA
"mistletoe",11,"xgboost",4,TRUE,0.0999999999994543,1,NA,NA,NA
"mistletoe",11,"xgboost",5,TRUE,0.0900000000001455,1,NA,NA,NA
"mistletoe",11,"inla_spde",1,TRUE,20.4300000000003,1,-3340.7992816645,0.278081176006917,NA
"mistletoe",11,"inla_spde",2,TRUE,19.0500000000002,1,-3693.94625620434,0.404193889478825,NA
"mistletoe",11,"inla_spde",3,TRUE,19.0600000000004,1,-3391.47507120983,0.533109407847461,NA
"mistletoe",11,"inla_spde",4,TRUE,20.0899999999992,1,-2978.23413305401,0.256486273595947,NA
"mistletoe",11,"inla_spde",5,TRUE,19.9499999999998,1,-3838.79280783386,0.612414657839824,NA
"mistletoe",11,"inla_spde_group",1,TRUE,12.1400000000003,1,-3319.62429421329,0.519511275406902,NA
"mistletoe",11,"inla_spde_group",2,TRUE,11.8200000000006,1,-3675.98573109184,0.459118568243653,NA
"mistletoe",11,"inla_spde_group",3,TRUE,14.1300000000001,1,-3374.00986211844,0.555330627163408,NA
"mistletoe",11,"inla_spde_group",4,TRUE,13.0800000000008,1,-2978.2699238701,0.355286881485078,NA
"mistletoe",11,"inla_spde_group",5,TRUE,12.7200000000003,1,-3823.35443568226,0.706819081031519,NA
"mistletoe",11,"inla_spde_st",1,TRUE,63.3199999999997,1,-2980.68025728951,0.297708575942691,NA
"mistletoe",11,"inla_spde_st",2,TRUE,59.5799999999999,1,-3312.14114606185,0.413314935403353,NA
"mistletoe",11,"inla_spde_st",3,TRUE,53.8800000000001,1,-3053.28530328295,0.519169308707205,NA
"mistletoe",11,"inla_spde_st",4,TRUE,57.6199999999999,1,-2770.9366494405,0.306358753195178,NA
"mistletoe",11,"inla_spde_st",5,TRUE,44.2200000000003,1,-3433.62760058887,0.353477776843172,NA
"mistletoe",11,"inla_spde_st_group",1,TRUE,206.13,1,-2959.05215009639,0.292403893915879,NA
"mistletoe",11,"inla_spde_st_group",2,TRUE,138.389999999999,1,-3295.2237585237,0.438732897592382,NA
"mistletoe",11,"inla_spde_st_group",3,TRUE,138.26,1,-3033.8348881207,0.510188597678087,NA
"mistletoe",11,"inla_spde_st_group",4,TRUE,144.580000000001,1,-2763.08003397436,0.353352047517847,NA
"mistletoe",11,"inla_spde_st_group",5,TRUE,140.29,1,-3419.12468536793,0.369485187640994,NA
