"dataset","cv_scheme","estimator","n","response","rmse","mae","rmse_sd","mae_sd","duration_sec","aicc","logLik","spatial_param","spatial_value","moran_i","moran_abs","moran_p_value","moran_error","n_resamples","n_failed_resamples","fit_error"
"paper_wang_henan_cultivated_land_quality","near_prediction","ols",80,"Effective.soil.thickness",37.4083116312184,31.7955551231008,6.43146012954523,7.05123221503055,0.580000000000002,1438.08762229356,-711.628996331963,NA,NA,-0.142857142857143,0.142857142857143,0.642857142967338,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","gam_spatial",80,"Effective.soil.thickness",27.0383653506205,22.059918665016,5.79692284732396,4.47374210864303,0.569999999999999,1353.42785505359,-646.993995345125,NA,NA,-0.142857142857143,0.142857142857143,0.437499999474558,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","sar_lag",80,"Effective.soil.thickness",47.2437913364353,39.3954335515656,11.8055131205306,12.6689821214932,3.94999999999999,1339.93816196706,-661.431767550694,"rho",0.63127908321468,-0.144990862851936,0.148483440236339,0.49748461871099,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","sem_error",80,"Effective.soil.thickness",39.5671325677169,33.7757167930932,8.3876900999254,8.48729703502621,3.89,1382.40329967395,-682.66433640414,"lambda",0.841986808093642,-0.142857142857143,0.142857142857143,0.437499998949115,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","sdm_mixed",80,"Effective.soil.thickness",44.5402466042704,37.7143647681857,9.81407147014144,8.73983051945402,3.67,1347.68836685803,-659.433330715835,"rho",0.644266107490998,-0.13169540780978,0.137382245458514,0.456619016888925,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","mgwrsar_gwr",80,"Effective.soil.thickness",32.0081410260017,26.6038526528494,5.7729626726953,5.39655842646445,0.379999999999999,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.499999998798989,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","spboost_bspa_sar_ml",80,"Effective.soil.thickness",18.7982652399853,13.6898863587059,5.5110732461813,4.3006219090203,3.36,77126.323017921,-37739.2091280081,"rho",0.279255093150747,-0.147922479431512,0.147922479431512,0.509429162539651,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","spboost_bspa_sem_ml",80,"Effective.soil.thickness",19.3070513902941,15.2355614193059,4.08542842492086,4.0251348175926,4.53000000000001,80743.5015529856,-40063.5063320484,"lambda",0.370439384888874,-0.119034290199728,0.144439108211849,0.469205528245325,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","random_forest",80,"Effective.soil.thickness",16.619921051683,11.4767238524104,4.75297783315026,3.39011059942089,0.269999999999989,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0.583333334033923,NA,10,0,NA
"paper_wang_henan_cultivated_land_quality","near_prediction","xgboost",80,"Effective.soil.thickness",17.7824243251282,9.60091544932063,8.6968505561286,6.28829313609188,0.670000000000002,NA,NA,NA,NA,-0.142857142857143,0.142857142857143,0,NA,10,0,NA
