"dataset";"origin";"source_package";"source_weight_status";"weight_type";"weight_style";"weight_object";"weight_file";"evidence";"cardinality_summary";"action"
"georgia";"Python package";"libpysal/GWmodel";"not_documented_in_source_package";;;;;"Documentation libpysal/GWmodel: exemples GWR par coordonnees; aucune matrice W source identifiee.";;"benchmark_knn_default"
"columbus_crime";"Python/R package";"geodatasets/spData/spdep";"available_original";"irregular_contiguity_neighbors";"W";"columbus_crime_listw";"data/final_datasets/weights/columbus_crime_listw.rds";"Voisinage original lu depuis spData::weights/columbus.gal.";"n=49; voisins min=2, mediane=4, moyenne=4.69, max=10";"use_original_W_when_loaded"
"london_hp";"R package";"GWmodel";"not_documented_in_source_package";;;;;"Documentation GWmodel LondonHP: exemple GWR par coordonnees/bandwidth; aucune matrice W source identifiee.";;"benchmark_knn_default"
"boston_housing";"Python package";"geodatasets/spData";"not_documented_in_source_package";;;;;"Documentation geodatasets/spData Boston: donnees et geometries; aucune matrice W source identifiee.";;"benchmark_knn_default"
"dub_voter";"R package";"GWmodel";"not_documented_in_source_package";;;;;"Documentation GWmodel DubVoter: exemple GWR par coordonnees/bandwidth; aucune matrice W source identifiee.";;"benchmark_knn_default"
"ewhp";"R package";"GWmodel";"not_documented_in_source_package";;;;;"Documentation GWmodel EWHP: exemple hedonique/GWR; aucune matrice W source identifiee.";;"benchmark_knn_default"
"lasrosas";"R package";"agridat";"not_documented_in_source_package";;;;;"Documentation agridat lasrosas.corn: donnees grillees; la matrice de voisinage exacte de l'article n'est pas distribuee comme objet source.";;"benchmark_knn_default"
"paper_covid_sociodemographic_risk";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
"paper_spatial_confounding_diabetes";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
"paper_florida_crash_gsvcm";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
"paper_wildfire_bootleg_severity";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
"paper_amphibian_functional_diversity";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
"paper_dragonfly_diversity_europe";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
"paper_wang_henan_cultivated_land_quality";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
"paper_seshat_social_complexity";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
"paper_airbnb_europe_prices";"paper-derived dataset";;"not_applicable_not_package_source";;;;;"Dataset issu d'un papier et non d'un package R/Python source; la presence d'une W doit etre lue dans le papier ou reconstruite.";;"paper_specific_review_if_W_needed"
