"id"	"family"	"title"	"doi"	"status"	"path"	"bytes"	"pages"	"title_check"	"tei_status"	"tei_path"	"tei_bytes"	"tei_paragraphs"
"E01"	"spatial_econometrics"	"A Generalized Moments Estimator for the Autoregressive Parameter in a Spatial Model"	"10.1111/1468-2354.00027"	"available"	"corpus\papers\raw_pdf\E01.pdf"	"470372"	"36"	"7/7"	"available"	"corpus\papers\tei\E01.tei.xml"	"91930"	"92"
"E02"	"spatial_econometrics"	"GMM and 2SLS estimation of mixed regressive, spatial autoregressive models"	"10.1016/j.jeconom.2005.10.004"	"available"	"corpus\papers\raw_pdf\E02.pdf"	"442743"	"39"	"7/7"	"available"	"corpus\papers\tei\E02.tei.xml"	"129260"	"276"
"E03"	"spatial_econometrics"	"GMM estimation of spatial autoregressive models with unknown heteroskedasticity"	"10.1016/j.jeconom.2009.10.035"	"available"	"corpus\papers\raw_pdf\E03.pdf"	"491658"	"42"	"7/7"	"available"	"corpus\papers\tei\E03.tei.xml"	"142639"	"202"
"E04"	"spatial_econometrics"	"Specification and estimation of spatial autoregressive models with autoregressive and heteroskedastic disturbances"	"10.1016/j.jeconom.2009.10.025"	"available"	"corpus\papers\raw_pdf\E04.pdf"	"743431"	"15"	"7/8"	"available"	"corpus\papers\tei\E04.tei.xml"	"147094"	"256"
"E05"	"spatial_econometrics"	"A Spatial Cliff-Ord-Type Model With Heteroskedastic Innovations: Small and Large Sample Results"	"10.1111/j.1467-9787.2009.00618.x"	"available"	"corpus\papers\raw_pdf\10_1111_j_1467_9787_2009_00618_x.pdf"	"528053"	"42"	"10/10"	"available"	"corpus\papers\tei\10_1111_j_1467_9787_2009_00618_x.tei.xml"	"262088"	"118"
"E06"	"spatial_econometrics"	"Efficient estimation of the semiparametric spatial autoregressive model"	"10.1016/j.jeconom.2009.10.031"	"available"	"corpus\papers\raw_pdf\E06.pdf"	"436146"	"30"	"6/6"	"available"	"corpus\papers\tei\E06.tei.xml"	"72766"	"135"
"E07"	"spatial_econometrics"	"On Two-Step Estimation of a Spatial Autoregressive Model with Autoregressive Disturbances and Endogenous Regressors"	"10.1080/07474938.2013.741020"	"available"	"corpus\papers\raw_pdf\E07.pdf"	"516284"	"58"	"10/10"	"available"	"corpus\papers\tei\E07.tei.xml"	"173607"	"165"
"E08"	"spatial_econometrics"	"GMM estimation of spatial autoregressive models with moving average disturbances"	"10.1016/j.regsciurbeco.2013.09.002"	"available"	"corpus\papers\raw_pdf\E08.pdf"	"636124"	"24"	"8/8"	"available"	"corpus\papers\tei\E08.tei.xml"	"214769"	"204"
"E09"	"spatial_econometrics"	"Spatial autoregressive models with unknown heteroskedasticity: A comparison of Bayesian and robust GMM approach"	"10.1016/j.regsciurbeco.2013.12.003"	"available"	"corpus\papers\raw_pdf\E09.pdf"	"728281"	"21"	"10/10"	"available"	"corpus\papers\tei\E09.tei.xml"	"171468"	"182"
"E10"	"spatial_econometrics"	"Estimating a spatial autoregressive model with an endogenous spatial weight matrix"	"10.1016/j.jeconom.2014.08.008"	"available"	"corpus\papers\raw_pdf\E10.pdf"	"597357"	"24"	"5/8"	"available"	"corpus\papers\tei\E10.tei.xml"	"160196"	"254"
"E11"	"spatial_econometrics"	"Modified QML estimation of spatial autoregressive models with unknown heteroskedasticity and nonnormality"	"10.1016/j.regsciurbeco.2015.02.003"	"available"	"corpus\papers\raw_pdf\E11.pdf"	"363660"	"42"	"8/9"	"available"	"corpus\papers\tei\E11.tei.xml"	"136862"	"170"
"E12"	"spatial_econometrics"	"A spatial autoregressive model with a nonlinear transformation of the dependent variable"	"10.1016/j.jeconom.2014.12.005"	"available"	"corpus\papers\raw_pdf\E12.pdf"	"828704"	"18"	"7/8"	"available"	"corpus\papers\tei\E12.tei.xml"	"163033"	"209"
"E13"	"spatial_econometrics"	"Estimators of Binary Spatial Autoregressive Models: A Monte Carlo Study"	"10.1111/jors.12116"	"available"	"corpus\papers\raw_pdf\E13.pdf"	"466582"	"22"	"8/8"	"available"	"corpus\papers\tei\E13.tei.xml"	"104716"	"99"
"E14"	"spatial_econometrics"	"Approximate likelihood estimation of spatial probit models"	"10.1016/j.regsciurbeco.2017.02.002"	"available"	"corpus\papers\raw_pdf\E14.pdf"	"1193336"	"16"	"6/6"	"available"	"corpus\papers\tei\E14.tei.xml"	"138786"	"141"
"G01"	"GWR_MGWR_SVC"	"Geographically Weighted Regression: A Method for Exploring Spatial Nonstationarity"	"10.1111/j.1538-4632.1996.tb00936.x"	"available"	"corpus\papers\raw_pdf\G01.pdf"	"1272680"	"18"	"7/7"	"available"	"corpus\papers\tei\G01.tei.xml"	"58842"	"51"
"G02"	"GWR_MGWR_SVC"	"Geographically Weighted Regression"	"10.1111/1467-9884.00145"	"available"	"corpus\papers\raw_pdf\G02.pdf"	"346090"	"13"	"3/3"	"available"	"corpus\papers\tei\G02.tei.xml"	"51250"	"49"
"G03"	"GWR_MGWR_SVC"	"A Simulation-Based Study of Geographically Weighted Regression as a Method for Investigating Spatially Varying Relationships"	"10.1068/a44111"	"available"	"corpus\papers\raw_pdf\G03.pdf"	"2355636"	"20"	"11/11"	"available"	"corpus\papers\tei\G03.tei.xml"	"69050"	"49"
"G04"	"GWR_MGWR_SVC"	"Multiscale Geographically Weighted Regression (MGWR)"	"10.1080/24694452.2017.1352480"	"available"	"corpus\papers\raw_pdf\fotheringham2017_Wenbai Yang, and Wei Kang.pdf"	"2007751"	"20"	"5/5"	"available"	"corpus\papers\tei\fotheringham2017_Wenbai Yang, and Wei Kang.tei.xml"	"95609"	"79"
"G05"	"GWR_MGWR_SVC"	"Structure identification and variable selection in geographically weighted regression models"	"10.1080/00949655.2017.1311896"	"available"	"corpus\papers\raw_pdf\Structure identification and variable selection in geographically weighted regression models.pdf"	"1746293"	"20"	"8/8"	"available"	"corpus\papers\tei\Structure identification and variable selection in geographically weighted regression models.tei.xml"	"97213"	"96"
"G06"	"GWR_MGWR_SVC"	"Estimation and inference in spatially varying coefficient models"	"10.1002/env.2485"	"available"	"corpus\papers\raw_pdf\Estimation and inference in spatially varying coefficient models.pdf"	"1475474"	"19"	"6/6"	"available"	"corpus\papers\tei\Estimation and inference in spatially varying coefficient models.tei.xml"	"109190"	"89"
"G07"	"GWR_MGWR_SVC"	"Inference in Multiscale Geographically Weighted Regression"	"10.1111/gean.12189"	"available"	"corpus\papers\raw_pdf\G07.pdf"	"1392178"	"20"	"5/5"	"available"	"corpus\papers\tei\G07.tei.xml"	"63644"	"57"
"G08"	"GWR_MGWR_SVC"	"Backfitting Estimation for Geographically Weighted Regression Models with Spatial Autocorrelation in the Response"	"10.1111/gean.12289"	"available"	"corpus\papers\raw_pdf\G08.pdf"	"5791628"	"25"	"10/10"	"available"	"corpus\papers\tei\G08.tei.xml"	"103108"	"86"
"G09"	"GWR_MGWR_SVC"	"On the local modeling of count data: multiscale geographically weighted Poisson regression"	"10.1080/13658816.2023.2250838"	"available"	"corpus\papers\raw_pdf\G09.pdf"	"3506422"	"25"	"9/9"	"available"	"corpus\papers\tei\G09.tei.xml"	"93638"	"58"
"G10"	"GWR_MGWR_SVC"	"Adaptive estimation for spatially varying coefficient models"	"10.3934/math.2023713"	"available"	"corpus\papers\raw_pdf\G10.pdf"	"1375566"	"20"	"6/6"	"available"	"corpus\papers\tei\G10.tei.xml"	"67401"	"69"
"G11"	"GWR_MGWR_SVC"	"Scale and correlation in multiscale geographically weighted regression (MGWR)"	"10.1007/s10109-025-00468-1"	"available"	"corpus\papers\raw_pdf\10_1007_s10109_025_00468_1.pdf"	"2615182"	"26"	"7/7"	"available"	"corpus\papers\tei\10_1007_s10109_025_00468_1.tei.xml"	"95487"	"58"
"S01"	"geostatistics_GP"	"Spatial Modelling Using a New Class of Nonstationary Covariance Functions"	"10.1002/env.785"	"available"	"corpus\papers\raw_pdf\S01.pdf"	"547864"	"38"	"7/7"	"available"	"corpus\papers\tei\S01.tei.xml"	"111694"	"104"
"S02"	"geostatistics_GP"	"Covariance Tapering for Interpolation of Large Spatial Datasets"	"10.1198/106186006X132178"	"available"	"corpus\papers\raw_pdf\S02.pdf"	"4331272"	"18"	"6/6"	"available"	"corpus\papers\tei\S02.tei.xml"	"78145"	"94"
"S03"	"geostatistics_GP"	"Covariance Tapering for Likelihood-Based Estimation in Large Spatial Data Sets"	"10.1198/016214508000000959"	"available"	"corpus\papers\raw_pdf\S03.pdf"	"385664"	"12"	"9/9"	"available"	"corpus\papers\tei\S03.tei.xml"	"80939"	"91"
"S04"	"geostatistics_GP"	"Gaussian Predictive Process Models for Large Spatial Data Sets"	"10.1111/j.1467-9868.2008.00663.x"	"available"	"corpus\papers\raw_pdf\S04.pdf"	"4887982"	"24"	"8/8"	"available"	"corpus\papers\tei\S04.tei.xml"	"116917"	"73"
"S05"	"geostatistics_GP"	"Local likelihood estimation for nonstationary random fields"	"10.1016/j.jmva.2010.10.010"	"available"	"corpus\papers\raw_pdf\S05.pdf"	"872662"	"15"	"6/6"	"available"	"corpus\papers\tei\S05.tei.xml"	"75641"	"95"
"S06"	"geostatistics_GP"	"A Full Scale Approximation of Covariance Functions for Large Spatial Data Sets"	"10.1111/j.1467-9868.2011.01007.x"	"available"	"corpus\papers\raw_pdf\S06.pdf"	"672976"	"24"	"9/9"	"available"	"corpus\papers\tei\S06.tei.xml"	"104413"	"98"
"S07"	"geostatistics_GP"	"Hierarchical Nearest-Neighbor Gaussian Process Models for Large Geostatistical Datasets"	"10.1080/01621459.2015.1044091"	"available"	"corpus\papers\raw_pdf\S07.pdf"	"1354134"	"14"	"9/9"	"available"	"corpus\papers\tei\S07.tei.xml"	"108087"	"81"
