"id"	"family"	"title"	"doi"	"tei_path"	"openalex_cited_by_count"	"openalex_id"	"citation_retrieved_at"	"citation_tier"	"screening_decision"	"screening_reason"	"primary_parametric_dgp_analysis"	"influential_contextual_stratum"	"monte_carlo_status"	"n_simulation_experiments"	"n_dgp_structures"	"n_cells_by_experiment"	"n_dgp_cells_main_text"	"cell_count_status"	"n_replications_by_experiment"	"internal_bootstrap_counts"	"randomization_counts"	"real_data_status"	"n_real_datasets"	"real_dataset_class"	"real_dataset_names"	"real_data_role"	"n_real_with_perf"	"out_of_sample_evaluation"	"validation_scheme"	"method_proposed"	"comparators"	"metrics"	"simulation_sections_reviewed"	"simulation_text_characters_reviewed"	"simulation_scope_note"	"simulation_evidence_section"	"simulation_evidence_excerpt"	"real_data_evidence_section"	"real_data_evidence_excerpt"	"coding_status"	"coder_notes"	"axis_sample_size"	"axis_spatial_dependence"	"axis_weights_geometry"	"axis_noise_snr"	"axis_error_distribution"	"axis_heteroskedasticity"	"axis_nonlinearity"	"axis_x_correlation"	"axis_spatial_scale"	"axis_measurement_error"	"axis_missing_data"
"C01"	"complementary"	"A tuning parameter free test for properties of space-time covariance functions"	"10.1016/j.jspi.2009.05.008"	"corpus\papers\tei\C01.tei.xml"	"9"	"https://openalex.org/W2094878231"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"multiple size/power experiments for univariate and multivariate symmetry/separability tests"	"univariate and multivariate space-time autoregressive processes under null and alternatives"	"grid size × time length × temporal correlation × null/alternative configurations"	"unclear"	"table_reconstruction_required"	"3000 per cell"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"2"	"2"	"Pacific Ocean wind; Irish wind data"	"two real-data illustrations"	"unclear"	"no"	"in-sample hypothesis-test calibration"	"self-normalized tests of space-time symmetry and separability"	"two proposed self-normalized statistics; Li et al. subsampling-based test"	"empirical size; size-adjusted power"	"Simulation studies"	"352"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Simulation studies"	"In this section, we use the same simulation settings in Li et al. (2007 Li et al. ( , 2008) ) and make a thorough comparison with their tests in terms of finite-sample size and power. For the sake of readership, we present the details of the simulation setup. Throughout simulations, the significance level is 5% and the number of replications is 3000."	"Real data illustration"	"[Real data illustration] We revisit the two real data sets analyzed in Li et al. (2007) . For the Pacific Ocean wind data, it contains the east-west wind velocity from a region over the tropical western Pacific Ocean for the period from November 1992 to February 1993. The winds are given every 6 h and at a 17 × 17 grid with grid interval of about 210 km. Following Li et al. (2007) , we remove the time-averaged mean for each grid location and choose the same spatio-temporal testing lags as used in their paper, which results in q = 15. Tables 5 and 6 show the test results for full symmetry and separability, respectively. Note that the 90%, 95%, 97.5%, 99%, 99.5% upper critical values of U 15 are 1662, 1957, 2261, 2658 and 2956, respectively; see Table 1 in Lobato (2001) . In our table, we only give a range for the p-values of our tests, but the exact p-values can be obtained through simulations when necessary. Compared to Li et al.'s test, the p-value corresponding to our test seems larger, which may lead to different conclusions. For example, in the case of symmetry test, when h = (10, 11, 12) and u = (1, 3, 5, 7, 9), our test would fail to reject the null hypothesis at 5% level, while Li et al.'s test rejects. Nevertheless, since the truth is unknown (i.e. whether the symmetry holds in this case), it is difficult to make judgement on the validity of the different conclusions d…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"C02"	"complementary"	"Spatial measurement error and correction by spatial SIMEX in linear regression models when using predicted air pollution exposures"	"10.1093/biostatistics/kxv048"	"corpus\papers\tei\C02.tei.xml"	"44"	"https://openalex.org/W2305331653"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"4"	"correct kriging models (constant/covariate means, smooth/rough fields); omitted-covariate misspecification; estimated error covariance; non-Gaussian covariates"	"monitor counts 20/40 × exposure-surface/mean-model and misspecification settings × SIMEX assumptions"	"not uniquely enumerable from reported scenario descriptions"	"verified_complex_design_replication_count_not_reported"	"not reported in the article text"	"200 per spatial-SIMEX standard-error calculation"	"none_explicitly_found"	"yes"	"1"	"1"	"Massachusetts birth registry and PM2.5 exposure study"	"empirical analysis"	"unclear"	"yes"	"held-out monitors used to estimate classical-error covariance in designated scenarios; bootstrap kept separate from DGP repetitions"	"spatial SIMEX for misspecified exposure models"	"naive plug-in; Berkson-error analysis; linear and quadratic spatial SIMEX"	"health-effect bias; standard error; confidence-interval coverage"	"Simulation Step. | Simulation Study"	"5188"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Simulation Study"	"We conduct a simulation study to explore the degree of bias for small sample estimation error when the exposure model is correctly specified. We consider a small number of monitors, m = 20 and m = 40. In scenario IA, we assume a constant mean model, so all of the exposure variability comes from the spatially correlated residuals. First, we consider a smooth surface that satisfies the smoothness conditions needed in our Taylor expansion. For our Matérn covariance function, we chose covaria"	"Data Example: Association between air pollution and low birthweight"	"[Data Example: Association between air pollution and low birthweight] We applied our spatial SIMEX method to a study of birthweight and particulate matter exposure during pregnancy in Massachusetts. The objective of the study was to estimate the association between birthweight and PM 2.5 exposure during the second and third trimesters. The study population included all singleton live births in Massachusetts from the Massachusetts Birth Registry during 2008 (January 1 to December 31), a total of 70,340 births. Individual-level data on the mother and baby come from the Massachusetts Birth Registry. Confounders in the health model include maternal age, gestational age, number of cigarettes smoked during and before pregnancy, chronic conditions of mother or conditions of pregnancy (lung disease, hypertension, gestational diabetes and non-gestational diabetes), and socioeconomic measures (mother's race, mother's years of education, and the Kotelchuck index of adequacy of prenatal care utilization). Area-level socioeconomic status is controlled by census-tract median household income using data from the United States Census Bureau of 2000 for each census tract in Massachusetts. These covariates are consistent with the published literature on birthweight and particulate matter (Dadvand and others, 2013) . Some studies also adjust for co-pollutant exposures, such as ozone, although th…"	"simulation_manually_verified"	"Full TEI rechecked. Four scenario families and their subsettings are described, but a total DGP replication count is not reported. K=200 is the bootstrap standard-error step inside spatial SIMEX and is not a DGP replication count."	"unclear"	"yes_candidate"	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"C03"	"complementary"	"A double fixed rank kriging approach to spatial regression models with covariate measurement error"	"10.1002/env.2771"	"corpus\papers\tei\C03.tei.xml"	"3"	"https://openalex.org/W4306408135"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1 principal factorial plus supplementary sensitivity experiments"	"2 response distributions (Poisson; binomial) with spatial covariate measurement error and residual spatial effect"	"2 responses × 3 measurement-error levels × 3 sample sizes = 18 principal cells"	"18"	"exact_principal_design"	"1000 per sample-size/response/error setting"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"1"	"1"	"Carolina wren presence-absence and PRISM climate data"	"empirical application"	"unclear"	"yes"	"simulation parameter recovery; empirical train/test prediction in Carolina-wren application"	"double fixed-rank kriging (dFRK)"	"dFRK; corrected nonspatial; naive spatial FRK; naive nonspatial"	"coefficient bias; estimated-to-empirical SD ratio; predictive MSE; predictive deviance; AUC"	"SIMULATION STUDY"	"10065"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"SIMULATION STUDY"	"s i = (s i1 , s i2 ); i = 1, … , 22,500 in the unit square [0, 1] 2 . Given the set of s i 's, we then generated two true error-free spatially correlated covariates as follows. We simulated the first vector {x 1 (s 1 ), … , x 1 (s 22,500 )} from a Gaussian field with Matérn covariance for two spatial locations s, s * , where 𝜁 2 is the marginal variance, 𝜐 is the smoothness parameter controlling the mean-square differentiability of a Gaussian process with said covariance function, 𝜏 is the spatial range parameter, and K 𝜐 (⋅) is the modified Bessel function of the second kind of order 𝜐. We set 𝜁 2 = 0.5, 𝜐 = 1, 𝜏 = 0.1 where the spatial ran…"	"APPLICATION TO CAROLINA WREN PRESENCE-ABSENCE DATA"	"[APPLICATION TO CAROLINA WREN PRESENCE-ABSENCE DATA] We illustrate an application of the proposed double FRK method on our motivating Carolina wren presence-absence data. Recall that, alongside the response, we have data from the PRISM project on spatially indexed climate variables that we use as covariates. Briefly, PRISM is a weighted, local regression technique that accounts for physiographic factors affecting spatial climate variations, and has been used extensively in the United States, Europe and Asia (Bishop & Beier, 2013; Daly et al., 2003 Daly et al., , 2008)) . In constructing estimates of climate variables, PRISM takes into account factors such as distance, elevation, coastal proximity, vertical atmospheric layer and topographic position among others. For the purposes of this article, we obtained (from the authors of Stoklosa et al., 2015) model-generated 1971-2000 mean minimum temperatures in January and 1971-2000 mean maximum temperatures in July for a conterminous USA, both at a grid cell resolution of 30 arcs (averages to about 800 m on a side). These values, as well as their corresponding measurement errors, are displayed in Figure 3 . Because in this particular application we have knowledge of the measurement errors, we will make use of this in comparing double FRK to some other measurement error methods that rely on this information. Note interestingly though…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"yes_candidate"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"yes_candidate"	"yes_candidate"	"unclear"
"C04"	"complementary"	"PDE-regularised spatial quantile regression"	"10.1016/j.jmva.2024.105381"	"corpus\papers\tei\C04.tei.xml"	"8"	"https://openalex.org/W4403714627"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"2"	"heteroskedastic fields on irregular horseshoe domain; anisotropic fields on square domain"	"3 heteroskedastic scenarios + 3 anisotropy scenarios = 6, each evaluated at 5 quantiles"	"6"	"exact_dgp_scenarios"	"100 per scenario"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"2"	"2"	"Switzerland rainfall; Gulf of Mexico sea-surface conductivity"	"two empirical applications"	"unclear"	"no"	"in-sample recovery of known quantile fields"	"spatial quantile regression with PDE regularization (SQR-PDE)"	"SOAP/H-SOAP; TPS/H-TPS; quantile smoothing splines; isotropic/anisotropic SQR-PDE"	"quantile-surface RMSE; computation time"	"Simulation studies | First simulation setup: field over irregular domain | Second simulation setup: anisotropic field over regular domain"	"8220"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Simulation studies"	"In this section, we present the results of two simulation studies, in order to assess the performance of the proposed method and to compare it with alternative existing approaches. We consider heteroscedastic data generating models, defined as with 𝑖 ∈ {1, … , 𝑛}, and where 𝜇 ∶ 𝛺 → R is the spatial mean surface, and 𝜎 ∶ 𝛺 → R + is the standard deviation surface. In the first simulation, we consider three combinations of mean and standard deviation surfaces defined over a non-trivial horseshoe domain. In the second simulat"	"Switzerland rainfall data | Sea surface conductivity in the Gulf of Mexico"	"[Switzerland rainfall data] We apply the proposed spatial quantile regression method to the Switzerland rainfall data, illustrated in Figs. 1 and 9 , collecting 467 rainfall measurements (in 1∕10 mm units) recorded on May 8, 1986 . This dataset has already been analysed in, e.g., [12, 64, 65] . In these works the authors estimated the underlying spatial field employing several geostatistical approaches, taking into account the macroscopic southwest-northeast directional anisotropy characterising the spatial mean of the underlying data-generating process. These works are restricted to mean field estimation. In our work, we instead explore quantile levels, therefore obtaining additional insights, and highlighting areas of exceedingly high or low precipitation. Indeed, meteorological data cannot be solely characterised by a spatially varying mean. Precipitation, temperature, pressure, humidity, and possibly other climatic variables, often have distributions manifesting heteroscedasticity and local skewness, as well as fat tails and extreme values. This is the case also for the Switzerland rainfall data, for which we can observe a highly heteroscedastic spatial distribution, where regions showing higher precipitation levels also have higher variability. For the sake of illustration, we first replicate the analysis proposed by [64] , which developed an anisotropic spatial linear re…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"unclear"	"yes_candidate"	"unclear"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"C05"	"complementary"	"Quantile regression for partially linear varying coefficient spatial autoregressive models"	"10.1080/03610918.2022.2154365"	"corpus\papers\tei\C05.tei.xml"	"9"	"https://openalex.org/W2484874274"	"2026-09-17"	"below_200"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"2"	"homoskedastic and heteroskedastic partially linear varying-coefficient SAR"	"2 DGPs × 4 sample sizes × 3 quantiles = 24 principal estimation cells; test-power alternatives reported separately"	"24"	"exact_principal_design"	"1000 per cell"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"1"	"1"	"Boston housing"	"empirical illustration"	"unclear"	"no"	"in-sample estimation and hypothesis-test calibration"	"instrumental-variable quantile regression for PLVCSAR"	"IVQR; ordinary quantile regression; constant-coefficient SAR"	"bias; RMSE; mean absolute deviation error; confidence intervals; test size; power"	"Monte Carlo simulations"	"336"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Monte Carlo simulations"	"In this section, we conduct Monte Carlo simulations to investigate the finite sample performance of the proposed estimation and inference methods. The Monte Carlo simulations are repeated 1000 times for each sample size n = 100, 200, 500, 800. The quantile regression based estimators are calculated for quantiles τ = (0.25, 0.5, 0.75)."	"Illustration"	"[Illustration] In this section, we apply the proposed estimation method to the Boston housing price data, 5 . From Table 5 , we can see that the effect of X 2 is varying at quantile 0.2-0.9, the effect of X 3 is varying at quantile 0.6, the effect of X 5 is varying at quantile 0.4-0.8, and the coefficients of the other two variables are constant at all quantile levels. It is noted that the result is a little different from Sun, et al. (2014) . In which, coefficients of where w ij is the (i, j)th element of W , W is the spatial weight matrix generated by the longitude and latitude of the 506 observations (LeSage, 1999, p68). Table 7 reports the estimates of the constant coefficients ρ, γ 1 , γ 3 and γ 4 , which shows the per capita crime rate by town (X 1 ) and full-value property-tax rate per $10,000 dollar (X 4 ) has negative impact on house price, the index of accessibility to radial highways (X 3 ) has positive impact on house price. Besides, the coefficient of spatial correlation is 0.1 at τ = 0.1, 0.3, 0.7, 0.05 at τ = 0.5, and -0.25 at τ = 0.9, which indicates the house prices in a neighborhood do affect each other. Table 4: Size and power for testing H 0 : β = 0 and H 0 : γ 1 (u) = γ 1 at τ = 0.5 and n = 200. Here the nominal significance level is 0.05. Example 1 Example 2 Example 1 Example 2 β QR IVQR QR IVQR η QR IVQR QR IVQR 0 0.0619 0.0530 0.0548 0.0486 0 0.0400 0.0…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E01"	"spatial_econometrics"	"A Generalized Moments Estimator for the Autoregressive Parameter in a Spatial Model"	"10.1111/1468-2354.00027"	"corpus\papers\tei\E01.tei.xml"	"1493"	"https://openalex.org/W2144751663"	"2026-09-17"	"very_high_500_plus"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"2"	"1"	"45; 63"	"108"	"exact"	"500; 500"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"generalized moments estimator"	"GMM; QML; NLS; OLS"	"bias; RMSE; interquantile dispersion"	"A Monte Carlo Model Study"	"20124"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"A Monte Carlo Model Study"	"em with those of the (quasi) maximum likelihood estimator ρQML defined as the maximizer of the normal log-likelihood function (3). 15 For this purpose we have conducted a two part Monte Carlo study. The first part of the Monte Carlo study is based on ""idealized"" weighting matrices M which differ in size and in the number of neighbors. For these idealized weighting matrices the number of neighbors per unit is taken to be the same in each of the respective matrices. For future reference, we note that, for a given sample size, the number of neighbors per unit can be viewed as a measure of the sparseness of that matrix. In using these idealized…"	"An Application to the Generalized Least Squares Model"	"[An Application to the Generalized Least Squares Model] As discussed, the vector u defined in (1) will often represent the vector of disturbances of some econometric model. In such cases ρ will often be a nuisance parameter in the sense that the asymptotic distribution of some estimator of the model parameters of interest will be the same if ρ is known or if ρ is replaced by a consistent estimator. In many of these cases it will be possible to estimate the disturbances N 1/2 -consistently in a first step. The force of Theorem 1 is that based on those estimated disturbances a simple and consistent estimator of ρ is available. In the following we illustrate this point within the context of a linear regression model with spatially autoregressive disturbances. In particular, consider the following model: where y is the N × 1 vector of observations on the dependent variable, X is the N × K matrix of observations on the explanatory variables, β is the K×1 vector of unknown model parameters and u is the vector of disturbances assumed to be generated by (1) . As discussed in Section 2, in general, the elements of u and hence those of y will depend on N . For reasons of generality we also permit the elements of X to depend on N , but again we do not indicate this possible dependence on N explicitly. We maintain the following typical assumptions for the regressor matrix X and the varian…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E02"	"spatial_econometrics"	"GMM and 2SLS estimation of mixed regressive, spatial autoregressive models"	"10.1016/j.jeconom.2005.10.004"	"corpus\papers\tei\E02.tei.xml"	"466"	"https://openalex.org/W2117420831"	"2026-09-17"	"high_200_499"	"exclude_no_monte_carlo"	"Methodological theory article; prior full-text screening found neither Monte Carlo experiment nor empirical application."	"no"	"no"	"no"	"0"	"0"	"0"	"0"	"not_applicable"	"not_applicable"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	""	"0"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	""	""	""	""	"screening_resolved_no_simulation"	"Resolved at screening: no simulation or empirical application. This record has no TEI among the current 67-file corpus and is outside the quantitative denominator."	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E03"	"spatial_econometrics"	"GMM estimation of spatial autoregressive models with unknown heteroskedasticity"	"10.1016/j.jeconom.2009.10.035"	"corpus\papers\tei\E03.tei.xml"	"266"	"https://openalex.org/W2112531842"	"2026-09-17"	"high_200_499"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"2"	"2 variance structures"	"8 main estimation cells; test design reported separately"	"lower_bound_8"	"lower_bound"	"1000; 1000"	"none_explicitly_found"	"none_explicitly_found"	"yes"	"1"	"1"	"US county teenage-pregnancy rates"	"empirical illustration"	"unclear"	"no"	"unclear"	"heteroskedasticity-robust GMM"	"MLE; GMME; robust GMME; 2SLS/B2SLS; Hausman and LM tests"	"mean; bias; SD; RMSE; empirical size; power"	"Monte Carlo Study | Monte Carlo Results for the Tests"	"11462"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Monte Carlo Study"	"Some Monte Carlo experiments are designed to study the finite sample properties of the various robust and non-robust estimators. We focus on the case of group interactions. The data generating process is as follows. There are two regressors in addition to the intercept term, which are generated as x ir,1 ∼ N (3, 1) and x ir,2 ∼ U (-1, 2). The size of each group is determined by a uniform U (3, 20) variable (round to the closest integer), so the mean group size is about 11. The erro"	"Application to County Teenage Pregnancy Rates"	"[Application to County Teenage Pregnancy Rates] Teenage pregnancy is one of the contexts where social interaction effects are believed to be most important. Jencks and Mayer (1990) , for example, conclude that, ""neighborhoods and classmates probably have a stronger effect on sexual behavior than on cognitive skills, school enrollment decisions, or even criminal activity."" Many studies, including Hogan and Kitagawa (1985) , Crane (1991) , Case and Katz (1991) and Evans et al., (1992) , analyze neighborhood effects in teenage pregnancy by using micro-data. It would be of interest to study the spatial effects at more aggregated levels and see how county teenage pregnancy rates are affected by each other. We suspect the possible presence of unknown heteoskedasticity in this aggregated data. Therefore, we apply the RGMM 18 In the variance design V-D1, the group size variable in the variance function is nonlinear and complicated. So the linear index specification of the variance for the LM test provides only an approximation to the true variance function. Our intention is to see whether a linear index approximation can capture the alternative in its power function, since in practice we may not know the exact variance function. 19 The results of the Hausman-type tests reported in Table 6 are those with the Moore-Penrose generalized inverse. 20 This may indicate that the linear index…"	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"unclear"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"
"E04"	"spatial_econometrics"	"Specification and estimation of spatial autoregressive models with autoregressive and heteroskedastic disturbances"	"10.1016/j.jeconom.2009.10.025"	"corpus\papers\tei\E04.tei.xml"	"1080"	"https://openalex.org/W3121675824"	"2026-09-17"	"very_high_500_plus"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1"	"homoskedastic; heteroskedastic"	"unclear"	"not reported"	"not_reported_in_article"	"not reported in this article; details referred to Kelejian and Prucha (2007b)"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"GS2SLS/GM for SARAR"	"GS2SLS/GM; ML"	"bias; rejection rate"	"Some Monte Carlo results"	"1465"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Some Monte Carlo results"	"In order to obtain some insights relating to the small sample properties of our suggested estimators, as well as the quasi-maximum likelihood estimator, we undertook a limited Monte Carlo study. Because of space constraints we do not report the details of that study here; however, those details can be found in Kelejian and Prucha (2007b) . In essence the results of that Monte Carlo study were quite consistent with the theoretical results presented above. Specifically, in our considered cases with heteroskedastic innovations the generalized spatial 2SLS/GM estimators had very little bias even in small samples. In contrast, the ML estimators w…"	""	""	"simulation_manually_verified"	"Full TEI rechecked. Section 5 states that the limited Monte Carlo details are omitted for space and deferred to Kelejian and Prucha (2007b); no cell or replication total can be reconstructed from this article."	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
"E05"	"spatial_econometrics"	"A Spatial Cliff-Ord-Type Model With Heteroskedastic Innovations: Small and Large Sample Results"	"10.1111/j.1467-9787.2009.00618.x"	"corpus\papers\tei\10_1111_j_1467_9787_2009_00618_x.tei.xml"	"266"	"https://openalex.org/W2166856702"	"2026-09-17"	"high_200_499"	"candidate_review"	"simulation evidence found; confirm methodological contribution"	"yes"	"no"	"yes"	"1"	"homoskedastic; heteroskedastic"	"multiple W/sample/parameter cells across Tables 2-14"	"unclear"	"table_reconstruction_required"	"2000"	"none_explicitly_found"	"none_explicitly_found"	"no"	"0"	"0"	""	"none"	"unclear"	"no"	"unclear"	"heteroskedasticity-robust GS2SLS/GM"	"GS2SLS/GM; ML"	"bias; SD; RMSE; rejection rate"	"Monte Carlo Experiments | Monte Carlo Results"	"9367"	"DGP replications; bootstrap/randomization must be kept separate during manual verification."	"Monte Carlo Experiments"	"In this section we give Monte Carlo results which suggest that our estimators and corresponding test statistics behave well in finite samples. Our Monte Carlo model is a special case of the one specified in (1) and ( 2 ). Our experimental design is somewhat similar to those used in the literature by Kelejian and Prucha (1999, 2007a) and by Anselin and Florax (1995) ."	""	""	"simulation_manually_verified"	"Simulation design checked against full TEI; uncertainty is explicitly retained where tables do not permit an exact total."	"yes_candidate"	"yes_candidate"	"yes_candidate"	"unclear"	"unclear"	"yes_candidate"	"unclear"	"unclear"	"unclear"	"unclear"	"unclear"
