"dataset","generator","task","fold","method","draws","failed","nmse_mean","coverage_90pct","mean_width_90pct","error"
"georgia","polynomial","known_network",1,"linear",30,FALSE,1.75554216033462,0.114285714285714,0.70134692179054,""
"georgia","polynomial","known_network",1,"polynomial",30,FALSE,0.136962848043415,0.2,0.68748952261731,""
"georgia","polynomial","known_network",1,"gam_covariates",30,FALSE,0.137873480535693,0.114285714285714,0.479374582087605,""
"georgia","polynomial","known_network",1,"gam_spatial",30,FALSE,0.140515425429401,0.142857142857143,0.51613739196049,""
"georgia","polynomial","known_network",1,"forest",30,FALSE,0.656800656026429,0.114285714285714,0.922085925412773,""
"georgia","polynomial","known_network",2,"linear",30,FALSE,0.302517037699256,0.285714285714286,1.35712403699461,""
"georgia","polynomial","known_network",2,"polynomial",30,FALSE,0.104146042623926,0.228571428571429,0.748918292911285,""
"georgia","polynomial","known_network",2,"gam_covariates",30,FALSE,0.109765706067743,0.342857142857143,0.722944736638226,""
"georgia","polynomial","known_network",2,"gam_spatial",30,FALSE,0.109284714492776,0.314285714285714,0.611128052792214,""
"georgia","polynomial","known_network",2,"forest",30,FALSE,0.189022092210857,0.342857142857143,0.894550016085726,""
"georgia","polynomial","known_network",3,"linear",30,FALSE,0.437724478856426,0.333333333333333,1.02975847260859,""
"georgia","polynomial","known_network",3,"polynomial",30,FALSE,0.0395263748404078,0.333333333333333,0.724163123514365,""
"georgia","polynomial","known_network",3,"gam_covariates",30,FALSE,0.0461438937787422,0.416666666666667,0.774230208812035,""
"georgia","polynomial","known_network",3,"gam_spatial",30,FALSE,0.0767332698421644,0.444444444444444,0.960602547828354,""
"georgia","polynomial","known_network",3,"forest",30,FALSE,0.0942279391239775,0.583333333333333,1.12785765731427,""
"georgia","polynomial","geographic_transfer",1,"linear",30,FALSE,1.77967055247609,0.171428571428571,0.933037037183819,""
"georgia","polynomial","geographic_transfer",1,"polynomial",30,FALSE,0.156044705511294,0.285714285714286,0.91211978369836,""
"georgia","polynomial","geographic_transfer",1,"gam_covariates",30,FALSE,0.150741798267538,0.171428571428571,0.614368750080919,""
"georgia","polynomial","geographic_transfer",1,"gam_spatial",30,FALSE,0.155927337125277,0.2,0.640844304163647,""
"georgia","polynomial","geographic_transfer",1,"forest",30,FALSE,0.650771544955779,0.114285714285714,0.979238883006302,""
"georgia","polynomial","geographic_transfer",2,"linear",30,FALSE,0.317838196753338,0.457142857142857,1.93233578013437,""
"georgia","polynomial","geographic_transfer",2,"polynomial",30,FALSE,0.119872253575545,0.4,1.06083739734905,""
"georgia","polynomial","geographic_transfer",2,"gam_covariates",30,FALSE,0.118424203365386,0.371428571428571,0.974948637352505,""
"georgia","polynomial","geographic_transfer",2,"gam_spatial",30,FALSE,0.117603926276697,0.371428571428571,0.843728641811472,""
"georgia","polynomial","geographic_transfer",2,"forest",30,FALSE,0.210744695372365,0.371428571428571,1.13654157765072,""
"georgia","polynomial","geographic_transfer",3,"linear",30,FALSE,0.491290043909018,0.444444444444444,1.81420184505888,""
"georgia","polynomial","geographic_transfer",3,"polynomial",30,FALSE,0.0626634566729965,0.638888888888889,1.25271652296257,""
"georgia","polynomial","geographic_transfer",3,"gam_covariates",30,FALSE,0.0636173474309797,0.555555555555556,1.12381855698594,""
"georgia","polynomial","geographic_transfer",3,"gam_spatial",30,FALSE,0.0996289400359231,0.5,1.16962310871321,""
"georgia","polynomial","geographic_transfer",3,"forest",30,FALSE,0.118932326739125,0.583333333333333,1.39699156762987,""
"georgia","forest","known_network",1,"linear",30,FALSE,0.510408311657844,0.142857142857143,0.708727838086075,""
"georgia","forest","known_network",1,"polynomial",30,FALSE,0.324191281207395,0.0857142857142857,0.782639218880088,""
"georgia","forest","known_network",1,"gam_covariates",30,FALSE,0.172244219100988,0.0857142857142857,0.633438524333284,""
"georgia","forest","known_network",1,"gam_spatial",30,FALSE,0.24684479458661,0.0857142857142857,0.526674431936614,""
"georgia","forest","known_network",1,"forest",30,FALSE,0.14994112933481,0.428571428571429,1.04922984287234,""
"georgia","forest","known_network",2,"linear",30,FALSE,0.232487594802906,0.371428571428571,1.23869511429943,""
"georgia","forest","known_network",2,"polynomial",30,FALSE,0.275656823116175,0.285714285714286,1.17233923111056,""
"georgia","forest","known_network",2,"gam_covariates",30,FALSE,0.19185621811327,0.4,1.15848133453691,""
"georgia","forest","known_network",2,"gam_spatial",30,FALSE,0.200044580619598,0.4,1.07876682059802,""
