"contrast","dataset","generator","context","method","repetitions","difference","mcse"
"transfer_minus_known","georgia","forest","idw","forest",40,0.0366226139922973,0.00349125741737297
"transfer_minus_known","meuse","forest","idw","forest",40,0.0580748657516503,0.00699792913727377
"transfer_minus_known","georgia","polynomial","idw","forest",40,0.0376899995519238,0.00404650731879426
"transfer_minus_known","meuse","polynomial","idw","forest",40,0.0814600687872199,0.0104971153815845
"transfer_minus_known","georgia","forest","kriging","forest",40,0.0328056801291346,0.0038413980335811
"transfer_minus_known","meuse","forest","kriging","forest",40,0.0246852925835325,0.00499519866085095
"transfer_minus_known","georgia","polynomial","kriging","forest",40,0.0408167000042114,0.00395636759910619
"transfer_minus_known","meuse","polynomial","kriging","forest",40,0.0540246801210811,0.00693002325193367
"transfer_minus_known","georgia","forest","idw","gam_covariates",40,0.0274408153338901,0.00235277743935614
"transfer_minus_known","meuse","forest","idw","gam_covariates",40,0.0569893158478559,0.0152008633744971
"transfer_minus_known","georgia","polynomial","idw","gam_covariates",40,0.0373201630459167,0.00284991056812054
"transfer_minus_known","meuse","polynomial","idw","gam_covariates",40,0.0631142520885239,0.0126168824231697
"transfer_minus_known","georgia","forest","kriging","gam_covariates",40,0.0311606253722143,0.00243616316895759
"transfer_minus_known","meuse","forest","kriging","gam_covariates",40,0.0342390396697847,0.0102913500721458
"transfer_minus_known","georgia","polynomial","kriging","gam_covariates",40,0.0402933102070192,0.00340503389017062
"transfer_minus_known","meuse","polynomial","kriging","gam_covariates",40,0.0399115218153883,0.0111490223234782
"transfer_minus_known","georgia","forest","idw","gam_spatial",40,0.0284355638672721,0.00314146333769127
"transfer_minus_known","meuse","forest","idw","gam_spatial",40,0.0455203949907705,0.0175854731394628
"transfer_minus_known","georgia","polynomial","idw","gam_spatial",40,0.0412237315231072,0.00563623796260245
"transfer_minus_known","meuse","polynomial","idw","gam_spatial",40,0.0476722968791419,0.0128575976594074
"transfer_minus_known","georgia","forest","kriging","gam_spatial",40,0.0284011320522945,0.00399073404972571
"transfer_minus_known","meuse","forest","kriging","gam_spatial",40,0.0215188479187736,0.0139109307165773
"transfer_minus_known","georgia","polynomial","kriging","gam_spatial",40,0.0407201961148292,0.00384067955362154
"transfer_minus_known","meuse","polynomial","kriging","gam_spatial",40,0.0270922735368179,0.0101378259702416
"transfer_minus_known","georgia","forest","idw","linear",40,0.0380075421891717,0.00151335908462303
"transfer_minus_known","meuse","forest","idw","linear",40,0.0925836095106009,0.00860924091512115
"transfer_minus_known","georgia","polynomial","idw","linear",40,0.0558575711109364,0.00141612174394062
"transfer_minus_known","meuse","polynomial","idw","linear",40,0.0684090661423531,0.00864471833793621
"transfer_minus_known","georgia","forest","kriging","linear",40,0.0459914695903848,0.00191888881717769
"transfer_minus_known","meuse","forest","kriging","linear",40,0.0585100154176,0.00539177659873299
"transfer_minus_known","georgia","polynomial","kriging","linear",40,0.0713849973178239,0.00221834809627304
"transfer_minus_known","meuse","polynomial","kriging","linear",40,0.0464329700306264,0.0069323567649287
"transfer_minus_known","georgia","forest","idw","polynomial",40,0.030435866132538,0.00157882970351827
"transfer_minus_known","meuse","forest","idw","polynomial",40,0.111284894718955,0.00859230312011518
"transfer_minus_known","georgia","polynomial","idw","polynomial",40,0.036265647817796,0.00142624294816296
"transfer_minus_known","meuse","polynomial","idw","polynomial",40,0.0904854179961712,0.00838150939168345
"transfer_minus_known","georgia","forest","kriging","polynomial",40,0.027311436613581,0.0017822416784003
"transfer_minus_known","meuse","forest","kriging","polynomial",40,0.0613907780946266,0.00540076795922612
"transfer_minus_known","georgia","polynomial","kriging","polynomial",40,0.0407255671436021,0.0018664321308511
"transfer_minus_known","meuse","polynomial","kriging","polynomial",40,0.0613527828201829,0.0066382568320489
"kriging_minus_idw","georgia","forest","geographic_transfer","forest",40,-0.00041335564085515,0.00253928961593329
"kriging_minus_idw","meuse","forest","geographic_transfer","forest",40,-0.0315999484205715,0.00436084500458958
"kriging_minus_idw","georgia","polynomial","geographic_transfer","forest",40,0.0129118320355273,0.00277776436483376
"kriging_minus_idw","meuse","polynomial","geographic_transfer","forest",40,-0.0310253502944104,0.00585403625127647
"kriging_minus_idw","georgia","forest","known_network","forest",40,0.0034035782223075,0.00116985874343591
"kriging_minus_idw","meuse","forest","known_network","forest",40,0.00178962474754635,0.00163323923500835
"kriging_minus_idw","georgia","polynomial","known_network","forest",40,0.00978513158323972,0.00178243332119443
"kriging_minus_idw","meuse","polynomial","known_network","forest",40,-0.00358996162827163,0.00273793232232326
"kriging_minus_idw","georgia","forest","geographic_transfer","gam_covariates",40,0.00454601091909684,0.00171959257167345
"kriging_minus_idw","meuse","forest","geographic_transfer","gam_covariates",40,-0.0343372831046385,0.00541888003470737
"kriging_minus_idw","georgia","polynomial","geographic_transfer","gam_covariates",40,0.00510832580907894,0.00195901289456358
"kriging_minus_idw","meuse","polynomial","geographic_transfer","gam_covariates",40,-0.0118457087264545,0.00372159762294082
"kriging_minus_idw","georgia","forest","known_network","gam_covariates",40,0.000826200880772626,0.000905772520958164
"kriging_minus_idw","meuse","forest","known_network","gam_covariates",40,-0.0115870069265673,0.00503693199665942
"kriging_minus_idw","georgia","polynomial","known_network","gam_covariates",40,0.00213517864797641,0.00112882388234399
"kriging_minus_idw","meuse","polynomial","known_network","gam_covariates",40,0.0113570215466811,0.00402497855712037
"kriging_minus_idw","georgia","forest","geographic_transfer","gam_spatial",40,0.000946336053795929,0.00264256765546543
"kriging_minus_idw","meuse","forest","geographic_transfer","gam_spatial",40,-0.0308714100614141,0.011584610840194
"kriging_minus_idw","georgia","polynomial","geographic_transfer","gam_spatial",40,-0.000743590433852439,0.00497458128301182
"kriging_minus_idw","meuse","polynomial","geographic_transfer","gam_spatial",40,-0.0010120709180955,0.00563423644027014
"kriging_minus_idw","georgia","forest","known_network","gam_spatial",40,0.000980767868773531,0.00194337732893185
"kriging_minus_idw","meuse","forest","known_network","gam_spatial",40,-0.00686986298941726,0.00937529643460728
"kriging_minus_idw","georgia","polynomial","known_network","gam_spatial",40,-0.000240055025574428,0.00136136139897208
"kriging_minus_idw","meuse","polynomial","known_network","gam_spatial",40,0.0195679524242285,0.00614135492651363
"kriging_minus_idw","georgia","forest","geographic_transfer","linear",40,0.0111557054786358,0.00117199041734923
"kriging_minus_idw","meuse","forest","geographic_transfer","linear",40,-0.0360546716445896,0.00436419155092417
"kriging_minus_idw","georgia","polynomial","geographic_transfer","linear",40,0.025876861887793,0.00188602292198818
"kriging_minus_idw","meuse","polynomial","geographic_transfer","linear",40,-0.0180068403167683,0.00300077324805816
"kriging_minus_idw","georgia","forest","known_network","linear",40,0.00317177807742266,0.000340594815427866
"kriging_minus_idw","meuse","forest","known_network","linear",40,-0.00198107755158872,0.0011798685972005
"kriging_minus_idw","georgia","polynomial","known_network","linear",40,0.0103494356809056,0.000542931942367748
"kriging_minus_idw","meuse","polynomial","known_network","linear",40,0.00396925579495834,0.00149586808821489
"kriging_minus_idw","georgia","forest","geographic_transfer","polynomial",40,0.00279558620484959,0.000994991916185351
"kriging_minus_idw","meuse","forest","geographic_transfer","polynomial",40,-0.0531891775229236,0.00437655535283962
"kriging_minus_idw","georgia","polynomial","geographic_transfer","polynomial",40,0.00778818037739546,0.00114117526746991
"kriging_minus_idw","meuse","polynomial","geographic_transfer","polynomial",40,-0.0244234224693596,0.00378239353617392
"kriging_minus_idw","georgia","forest","known_network","polynomial",40,0.00592001572380665,0.000696961397490476
"kriging_minus_idw","meuse","forest","known_network","polynomial",40,-0.00329506089859519,0.00201236196536422
"kriging_minus_idw","georgia","polynomial","known_network","polynomial",40,0.00332826105158942,0.000595377450787761
"kriging_minus_idw","meuse","polynomial","known_network","polynomial",40,0.0047092127066287,0.00286127988323399
