"contrast","dataset","generator","context","method","repetitions","difference","mcse"
"transfer_minus_known","georgia","forest","0.2","forest",160,0.0100778452251255,0.00202814104888251
"transfer_minus_known","meuse","forest","0.2","forest",160,0.0242195056438205,0.00368326689313471
"transfer_minus_known","georgia","polynomial","0.2","forest",160,0.00438397158392553,0.00183465520277463
"transfer_minus_known","meuse","polynomial","0.2","forest",160,0.0251394220507727,0.00378920389600889
"transfer_minus_known","georgia","forest","0.7","forest",160,0.0390873458177037,0.00176416597307383
"transfer_minus_known","meuse","forest","0.7","forest",160,0.0804806890217711,0.00433318805853941
"transfer_minus_known","georgia","polynomial","0.7","forest",160,0.0526113126651957,0.00211354611914461
"transfer_minus_known","meuse","polynomial","0.7","forest",160,0.140726929544295,0.00481057031102893
"transfer_minus_known","georgia","forest","0.2","gam_covariates",160,0.018775126404271,0.00146332336238352
"transfer_minus_known","meuse","forest","0.2","gam_covariates",160,0.0213008142088538,0.00536220132578929
"transfer_minus_known","georgia","polynomial","0.2","gam_covariates",160,0.00865559617719642,0.000951678599572358
"transfer_minus_known","meuse","polynomial","0.2","gam_covariates",160,0.00998335617869139,0.00345960420427699
"transfer_minus_known","georgia","forest","0.7","gam_covariates",160,0.0201176531336574,0.00148564927337201
"transfer_minus_known","meuse","forest","0.7","gam_covariates",160,0.0957198933176143,0.00542566841735856
"transfer_minus_known","georgia","polynomial","0.7","gam_covariates",160,0.0472044318706941,0.00146588114338191
"transfer_minus_known","meuse","polynomial","0.7","gam_covariates",160,0.153191849927242,0.0057202933621984
"transfer_minus_known","georgia","forest","0.2","gam_spatial",160,0.017016157464611,0.00207603912403284
"transfer_minus_known","meuse","forest","0.2","gam_spatial",160,0.0154608260057699,0.00543907705291514
"transfer_minus_known","georgia","polynomial","0.2","gam_spatial",160,0.00862145831829899,0.00185744468692689
"transfer_minus_known","meuse","polynomial","0.2","gam_spatial",160,-0.000595753922978027,0.00300306390277047
