"dataset","network","task","generator","z_rmse","generator_z_only_hit_rate","generator_mean_nmse"
"georgia",1,"geographic_transfer","forest",1.17309186090035,0.811375661375661,0.200448215859763
"meuse",1,"geographic_transfer","forest",1.37461808869426,0.813725490196078,0.157061640766821
"georgia",2,"geographic_transfer","forest",1.13845163780535,0.83042328042328,0.161989057189115
"meuse",2,"geographic_transfer","forest",1.39265053494779,0.794117647058823,0.170684402826378
"georgia",3,"geographic_transfer","forest",1.22863921249254,0.802116402116402,0.199625583799325
"meuse",3,"geographic_transfer","forest",1.45452521773149,0.803921568627451,0.193286938392781
"georgia",4,"geographic_transfer","forest",1.16505976299775,0.830687830687831,0.153764263463418
"meuse",4,"geographic_transfer","forest",1.42564811042871,0.813725490196078,0.180815554211638
"georgia",5,"geographic_transfer","forest",1.22863921249254,0.791798941798942,0.205217386683155
"meuse",5,"geographic_transfer","forest",1.54035998275478,0.754901960784314,0.220332073422774
"georgia",6,"geographic_transfer","forest",1.14837196032865,0.783333333333333,0.17298510684724
"meuse",6,"geographic_transfer","forest",1.40997123365774,0.784313725490196,0.178007662492621
"georgia",7,"geographic_transfer","forest",1.14977612873247,0.792857142857143,0.153231953980151
"meuse",7,"geographic_transfer","forest",1.3932210305207,0.862745098039216,0.153606681924889
"georgia",8,"geographic_transfer","forest",1.15456751952837,0.811375661375661,0.165646759156405
"meuse",8,"geographic_transfer","forest",1.45452521773149,0.764705882352941,0.187154962162254
"georgia",9,"geographic_transfer","forest",1.14134443353454,0.839417989417989,0.174610367719066
"meuse",9,"geographic_transfer","forest",1.52766390854858,0.774509803921569,0.206976512113842
"georgia",10,"geographic_transfer","forest",1.26091153524298,0.773544973544974,0.184418571520238
"meuse",10,"geographic_transfer","forest",1.54035998275478,0.735294117647059,0.229918610412911
"georgia",11,"geographic_transfer","forest",1.13578575005486,0.849206349206349,0.171692392683317
"meuse",11,"geographic_transfer","forest",1.24042316280248,0.852941176470588,0.137614692464546
"georgia",12,"geographic_transfer","forest",1.18982586552331,0.820899470899471,0.18856541309728
"meuse",12,"geographic_transfer","forest",1.38414348513181,0.813725490196078,0.168390840585215
"georgia",13,"geographic_transfer","forest",1.24542971178836,0.773280423280423,0.225124732227848
"meuse",13,"geographic_transfer","forest",1.49808810420824,0.803921568627451,0.194044815244599
"georgia",14,"geographic_transfer","forest",1.16398381286521,0.83968253968254,0.176831852428857
"meuse",14,"geographic_transfer","forest",1.52670077006109,0.735294117647059,0.214047220815045
"georgia",15,"geographic_transfer","forest",1.12277934624696,0.83015873015873,0.151410212572412
"meuse",15,"geographic_transfer","forest",1.30512474319476,0.852941176470588,0.186625467160502
"georgia",16,"geographic_transfer","forest",1.1991994313296,0.782539682539683,0.205786120767295
"meuse",16,"geographic_transfer","forest",1.47032400734796,0.813725490196078,0.175546785011082
"georgia",17,"geographic_transfer","forest",1.1501278133516,0.830687830687831,0.167361700282647
"meuse",17,"geographic_transfer","forest",1.47032400734796,0.784313725490196,0.173090702225694
"georgia",18,"geographic_transfer","forest",1.13226664167386,0.802645502645503,0.181277252083054
"meuse",18,"geographic_transfer","forest",1.39265053494779,0.784313725490196,0.186879315117198
"georgia",19,"geographic_transfer","forest",1.12673994737754,0.801587301587302,0.136876494445181
"meuse",19,"geographic_transfer","forest",1.24189497599017,0.803921568627451,0.15478548329796
"georgia",20,"geographic_transfer","forest",1.18982586552331,0.83994708994709,0.180721350317522
"meuse",20,"geographic_transfer","forest",1.34463923910604,0.813725490196078,0.15153618270886
"georgia",1,"known_network","forest",0.795756503552067,0.905026455026455,0.100134888750439
"meuse",1,"known_network","forest",0.745331803284769,0.96078431372549,0.0618166483941998
"georgia",2,"known_network","forest",0.889893185776393,0.915079365079365,0.0768101353744408
"meuse",2,"known_network","forest",0.743536029072432,0.92156862745098,0.0540860436279059
"georgia",3,"known_network","forest",0.667537068739657,0.895767195767196,0.0924571378491953
"meuse",3,"known_network","forest",0.771240694545102,0.911764705882353,0.0588402146380903
"georgia",4,"known_network","forest",0.688196677532786,0.915343915343915,0.0922743380068157
"meuse",4,"known_network","forest",0.792885664927591,0.901960784313726,0.064128224236509
"georgia",5,"known_network","forest",0.667537068739657,0.905026455026455,0.0926590300568229
"meuse",5,"known_network","forest",0.770708043894705,0.882352941176471,0.0649329936671571
"georgia",6,"known_network","forest",0.811871234940574,0.877513227513227,0.105899615712765
"meuse",6,"known_network","forest",0.74526948583316,0.911764705882353,0.062250113186156
"georgia",7,"known_network","forest",0.751293941591957,0.914814814814815,0.0661312199543569
"meuse",7,"known_network","forest",0.727459155053801,0.931372549019608,0.0516574781549877
"georgia",8,"known_network","forest",0.821399480993681,0.905555555555556,0.0918225969272981
"meuse",8,"known_network","forest",0.771240694545102,0.911764705882353,0.059300780862037
"georgia",9,"known_network","forest",0.817518135894001,0.867989417989418,0.0785962765228822
"meuse",9,"known_network","forest",0.709473773504487,0.931372549019608,0.0521182603676319
"georgia",10,"known_network","forest",0.702636842935117,0.896031746031746,0.0577343577462092
"meuse",10,"known_network","forest",0.770708043894705,0.892156862745098,0.0600809018663789
"georgia",11,"known_network","forest",0.822695434637037,0.886507936507936,0.102603934384109
"meuse",11,"known_network","forest",0.786821177400296,0.92156862745098,0.0588384588574527
"georgia",12,"known_network","forest",0.762720492842723,0.905555555555556,0.0803958255652112
"meuse",12,"known_network","forest",0.855715960879365,0.901960784313726,0.0691796848209577
"georgia",13,"known_network","forest",0.863177362458186,0.905555555555556,0.109389080629113
"meuse",13,"known_network","forest",0.73090958566424,0.941176470588235,0.061319363479886
"georgia",14,"known_network","forest",0.745805000287657,0.876984126984127,0.0567839764925249
"meuse",14,"known_network","forest",0.814830246155592,0.872549019607843,0.0693004936094423
"georgia",15,"known_network","forest",0.787491904811505,0.887037037037037,0.098870897115893
"meuse",15,"known_network","forest",0.782744151582553,0.892156862745098,0.0567668255342537
"georgia",16,"known_network","forest",0.76233150414623,0.886243386243386,0.0848619242503907
"meuse",16,"known_network","forest",0.766966424991493,0.911764705882353,0.0593677092546462
"georgia",17,"known_network","forest",0.731390417830016,0.896296296296296,0.0939653249705089
"meuse",17,"known_network","forest",0.766966424991493,0.92156862745098,0.0554478459201821
