"dataset","network","task","generator","z_rmse","generator_z_only_hit_rate","generator_mean_nmse"
"georgia",1,"geographic_transfer","forest",1.17309186090035,0.508201058201058,0.254236257044651
"meuse",1,"geographic_transfer","forest",1.37461808869426,0.549019607843137,0.221691195909219
"georgia",2,"geographic_transfer","forest",1.13845163780535,0.575396825396825,0.193203980095171
"meuse",2,"geographic_transfer","forest",1.39265053494779,0.480392156862745,0.226083881492715
"georgia",1,"known_network","forest",0.795756503552067,0.734656084656085,0.121921280736684
"meuse",1,"known_network","forest",0.745331803284769,0.745098039215686,0.0776974823653837
"georgia",2,"known_network","forest",0.889893185776393,0.744708994708995,0.0814154964035032
"meuse",2,"known_network","forest",0.743536029072432,0.735294117647059,0.0814329045130632
"georgia",1,"geographic_transfer","polynomial",1.17309186090035,0.593121693121693,0.143452297693634
"meuse",1,"geographic_transfer","polynomial",1.37461808869426,0.57843137254902,0.305096021550655
"georgia",2,"geographic_transfer","polynomial",1.13845163780535,0.64973544973545,0.108975608527681
"meuse",2,"geographic_transfer","polynomial",1.39265053494779,0.549019607843137,0.376236766052403
"georgia",1,"known_network","polynomial",0.795756503552067,0.792328042328042,0.0703493034367995
"meuse",1,"known_network","polynomial",0.745331803284769,0.774509803921569,0.0739937082114037
"georgia",2,"known_network","polynomial",0.889893185776393,0.734920634920635,0.0707855023042421
"meuse",2,"known_network","polynomial",0.743536029072432,0.774509803921569,0.0968446746093574
