"dataset","generator","pi_s","range_fraction","n_conditioning_sites","n_test_region_conditioning_sites","max_honor_error","max_conditional_mean_mc_error","mean_conditional_variance_expected","mean_conditional_variance_empirical","min_conditional_eigenvalue"
"georgia","polynomial",0.1,0.1,14,0,0,0.153920243561134,2.66120979575067,2.68412518050896,2.26652965939448
"georgia","polynomial",0.1,0.3,14,0,0,0.142404614418453,2.65950031260206,2.69073823668694,1.97370134091152
"georgia","polynomial",0.2,0.1,14,0,0,0.145926441127204,2.65290574423865,2.67668148429869,1.77829681510678
"georgia","polynomial",0.2,0.3,14,0,0,0.138705546433747,2.50458565850898,2.54171198275032,1.11943183371129
"georgia","forest",0.1,0.1,14,0,0,0.155914422088316,2.7306133436389,2.7541263547121,2.32564006850506
"georgia","forest",0.1,0.3,14,0,0,0.144249597363352,2.72885927768597,2.76091187739832,2.02517487589916
"georgia","forest",0.2,0.1,14,0,0,0.147817052580975,2.72209272497096,2.74648852915238,1.82467425906622
"georgia","forest",0.2,0.3,14,0,0,0.140502604545791,2.56990449619252,2.60799906375934,1.1486262779083
"meuse","polynomial",0.1,0.1,13,0,0,0.0367787851485613,0.175518446703416,0.176938862112796,0.134332581456849
"meuse","polynomial",0.1,0.3,13,0,0,0.0388743871302896,0.173454861689546,0.174881324500037,0.123792926233275
"meuse","polynomial",0.2,0.1,13,0,0,0.0394032044883463,0.1715174426779,0.172626925900369,0.0827524585670462
"meuse","polynomial",0.2,0.3,13,0,0,0.0355495946241315,0.152944081587168,0.154140000397937,0.0590674763385729
"meuse","forest",0.1,0.1,13,0,0,0.0322629972483282,0.135063322630643,0.136156347485352,0.103370358671026
"meuse","forest",0.1,0.3,13,0,0,0.0341012961670388,0.133475371883933,0.134573050278499,0.0952599812114834
"meuse","forest",0.2,0.1,13,0,0,0.0345651840550954,0.131984507225799,0.13283826643598,0.0636789022455631
"meuse","forest",0.2,0.3,13,0,0,0.0311847296995998,0.117692107147921,0.118612379468083,0.0454530550123612
