"dataset","generator","variant","pi_s","range_fraction","n_conditioning_sites","n_test_region_conditioning_sites","buffer_m","min_conditioning_test_distance_m","max_honor_error","max_conditional_mean_mc_error","mean_conditional_variance_expected","mean_conditional_variance_empirical","min_conditional_eigenvalue"
"georgia","polynomial","innovation",0.1,0.1,14,0,26928.0748864869,33067.7459360393,0,0.111726029642952,2.66120979575067,2.66546215229727,2.26652965939448
"georgia","polynomial","trend",0.1,0.1,14,0,26928.0748864869,33067.7459360393,0,0.0646244379824185,0.880357448039426,0.881609467188581,0.495117730355774
"georgia","polynomial","innovation",0.1,0.3,14,0,26928.0748864869,33067.7459360393,0,0.112418057489367,2.65950031260206,2.66404113179409,1.97370134091152
"georgia","polynomial","trend",0.1,0.3,14,0,26928.0748864869,33067.7459360393,0,0.061952052732323,0.782754126556678,0.785029414826898,0.202286445693065
"georgia","polynomial","innovation",0.2,0.1,14,0,26928.0748864869,33067.7459360393,0,0.111870703942099,2.65290574423865,2.65674699992937,1.77829681510678
"georgia","polynomial","trend",0.2,0.1,14,0,26928.0748864869,33067.7459360393,0,0.0969366569736277,1.98080425808871,1.98362130117431,1.11401489330049
"georgia","polynomial","innovation",0.2,0.3,14,0,26928.0748864869,33067.7459360393,0,0.110122875030144,2.50458565850898,2.50963419362345,1.11943183371129
"georgia","polynomial","trend",0.2,0.3,14,0,26928.0748864869,33067.7459360393,0,0.0929280790984845,1.76119678475252,1.76631618336052,0.455144502809396
"georgia","forest","innovation",0.1,0.1,14,0,26928.0748864869,33067.7459360393,0,0.113173543264855,2.7306133436389,2.73497660036018,2.32564006850506
"georgia","forest","trend",0.1,0.1,14,0,26928.0748864869,33067.7459360393,0,0.0654617071003337,0.903316904449561,0.904601575880064,0.508030251256578
"georgia","forest","innovation",0.1,0.3,14,0,26928.0748864869,33067.7459360393,0,0.113874536969429,2.72885927768597,2.73351852007138,2.02517487589916
"georgia","forest","trend",0.1,0.3,14,0,26928.0748864869,33067.7459360393,0,0.0627546986378603,0.803168117815064,0.80550274491632,0.207562015113866
"georgia","forest","innovation",0.2,0.1,14,0,26928.0748864869,33067.7459360393,0,0.113320091952802,2.72209272497096,2.72603415945018,1.82467425906622
"georgia","forest","trend",0.2,0.1,14,0,26928.0748864869,33067.7459360393,0,0.0981925606505007,2.03246303501151,2.03535354573014,1.1430680653273
"georgia","forest","innovation",0.2,0.3,14,0,26928.0748864869,33067.7459360393,0,0.111549618307415,2.56990449619252,2.57508469557831,1.1486262779083
"georgia","forest","trend",0.2,0.3,14,0,26928.0748864869,33067.7459360393,0,0.0941320479567904,1.80712826508389,1.81238117606172,0.467014534006197
"meuse","polynomial","innovation",0.1,0.1,13,0,116.826722197744,120.149906367005,0,0.0177315042623187,0.175518446703416,0.175676616876748,0.134332581456849
"meuse","polynomial","trend",0.1,0.1,13,0,116.826722197744,120.149906367005,0,0.0115034186770576,0.0557151917945799,0.0556646204539125,0.0172514112077336
"meuse","polynomial","innovation",0.1,0.3,13,0,116.826722197744,120.149906367005,0,0.0194771271310126,0.173454861689546,0.17364937663318,0.123792926233275
"meuse","polynomial","trend",0.1,0.3,13,0,116.826722197744,120.149906367005,0,0.0119908230500463,0.0446289818780922,0.0445349849208174,0.00672705503769025
"meuse","polynomial","innovation",0.2,0.1,13,0,116.826722197744,120.149906367005,0,0.0193050942228518,0.1715174426779,0.171465589086529,0.0827524585670462
"meuse","polynomial","trend",0.2,0.1,13,0,116.826722197744,120.149906367005,0,0.0172551280155864,0.125359181537805,0.125245396021303,0.0388156752174006
"meuse","polynomial","innovation",0.2,0.3,13,0,116.826722197744,120.149906367005,0,0.0206834059559434,0.152944081587168,0.152794505629314,0.0590674763385729
"meuse","polynomial","trend",0.2,0.3,13,0,116.826722197744,120.149906367005,0,0.0179862345750694,0.100415209225707,0.100203716071839,0.0151358738348031
"meuse","forest","innovation",0.1,0.1,13,0,116.826722197744,120.149906367005,0,0.0155543874250639,0.135063322630643,0.135185036271303,0.103370358671026
"meuse","forest","trend",0.1,0.1,13,0,116.826722197744,120.149906367005,0,0.0100910012015118,0.0428734361892747,0.0428345210015624,0.0132751454992147
"meuse","forest","innovation",0.1,0.3,13,0,116.826722197744,120.149906367005,0,0.0170856785099054,0.133475371883933,0.133625053214198,0.0952599812114834
"meuse","forest","trend",0.1,0.3,13,0,116.826722197744,120.149906367005,0,0.010518560890638,0.0343424790458824,0.0342701473815751,0.00517654082505033
"meuse","forest","innovation",0.2,0.1,13,0,116.826722197744,120.149906367005,0,0.0169347682169146,0.131984507225799,0.131944605332452,0.0636789022455631
"meuse","forest","trend",0.2,0.1,13,0,116.826722197744,120.149906367005,0,0.0151365018022677,0.096465231425868,0.0963776722535155,0.0298690773732331
"meuse","forest","innovation",0.2,0.3,13,0,116.826722197744,120.149906367005,0,0.0181438475128307,0.117692107147921,0.117577006848022,0.0454530550123612
"meuse","forest","trend",0.2,0.3,13,0,116.826722197744,120.149906367005,0,0.015777841335957,0.0772705778532354,0.0771078316085439,0.0116472168563632
