"dataset","generator","variant","pi_s","range_fraction","n_conditioning_sites","n_test_region_conditioning_sites","max_honor_error","max_conditional_mean_mc_error","mean_conditional_variance_expected","mean_conditional_variance_empirical","min_conditional_eigenvalue"
"georgia","polynomial","innovation",0.1,0.1,14,0,0,0.153920243561134,2.66120979575067,2.68412518050896,2.26652965939448
"georgia","polynomial","trend",0.1,0.1,14,0,0,0.0813266520020961,0.880357448039426,0.888489255362836,0.495117730355774
"georgia","polynomial","innovation",0.1,0.3,14,0,0,0.142404614418453,2.65950031260206,2.69073823668694,1.97370134091152
"georgia","polynomial","trend",0.1,0.3,14,0,0,0.0785853390507377,0.782754126556678,0.795740850065659,0.202286445693065
"georgia","polynomial","innovation",0.2,0.1,14,0,0,0.145926441127204,2.65290574423865,2.67668148429869,1.77829681510678
"georgia","polynomial","trend",0.2,0.1,14,0,0,0.121989978003144,1.98080425808871,1.99910082456638,1.11401489330049
"georgia","polynomial","innovation",0.2,0.3,14,0,0,0.138705546433747,2.50458565850898,2.54171198275032,1.11943183371129
"georgia","polynomial","trend",0.2,0.3,14,0,0,0.117878008576107,1.76119678475252,1.79041691264773,0.455144502809396
"georgia","forest","innovation",0.1,0.1,14,0,0,0.155914422088316,2.7306133436389,2.7541263547121,2.32564006850506
"georgia","forest","trend",0.1,0.1,14,0,0,0.082380313686602,0.903316904449561,0.911660786852467,0.508030251256578
"georgia","forest","innovation",0.1,0.3,14,0,0,0.144249597363352,2.72885927768597,2.76091187739832,2.02517487589916
"georgia","forest","trend",0.1,0.3,14,0,0,0.0796034845010082,0.803168117815064,0.816493531151659,0.207562015113866
"georgia","forest","innovation",0.2,0.1,14,0,0,0.147817052580975,2.72209272497096,2.74648852915238,1.82467425906622
"georgia","forest","trend",0.2,0.1,14,0,0,0.123570470529903,2.03246303501151,2.05123677041805,1.1430680653273
"georgia","forest","innovation",0.2,0.3,14,0,0,0.140502604545791,2.56990449619252,2.60799906375934,1.1486262779083
"georgia","forest","trend",0.2,0.3,14,0,0,0.119405226751512,1.80712826508389,1.83711044509123,0.467014534006197
"meuse","polynomial","innovation",0.1,0.1,13,0,0,0.0367787851485613,0.175518446703416,0.176938862112796,0.134332581456849
"meuse","polynomial","trend",0.1,0.1,13,0,0,0.0234364476795719,0.0557151917945799,0.056037963742987,0.0172514112077336
"meuse","polynomial","innovation",0.1,0.3,13,0,0,0.0388743871302896,0.173454861689546,0.174881324500037,0.123792926233275
"meuse","polynomial","trend",0.1,0.3,13,0,0,0.0198900117566026,0.0446289818780922,0.0450070700989454,0.00672705503769025
"meuse","polynomial","innovation",0.2,0.1,13,0,0,0.0394032044883463,0.1715174426779,0.172626925900369,0.0827524585670462
"meuse","polynomial","trend",0.2,0.1,13,0,0,0.0351546715193578,0.125359181537805,0.126085418421721,0.0388156752174006
"meuse","polynomial","innovation",0.2,0.3,13,0,0,0.0355495946241315,0.152944081587168,0.154140000397937,0.0590674763385729
"meuse","polynomial","trend",0.2,0.3,13,0,0,0.0298350176349039,0.100415209225707,0.101265907722627,0.0151358738348031
"meuse","forest","innovation",0.1,0.1,13,0,0,0.0322629972483282,0.135063322630643,0.136156347485352,0.103370358671026
"meuse","forest","trend",0.1,0.1,13,0,0,0.0205588641370933,0.0428734361892747,0.0431218126569487,0.0132751454992147
"meuse","forest","innovation",0.1,0.3,13,0,0,0.0341012961670388,0.133475371883933,0.134573050278499,0.0952599812114834
"meuse","forest","trend",0.1,0.3,13,0,0,0.0174478681658572,0.0343424790458824,0.034633421977039,0.00517654082505033
"meuse","forest","innovation",0.2,0.1,13,0,0,0.0345651840550954,0.131984507225799,0.13283826643598,0.0636789022455631
"meuse","forest","trend",0.2,0.1,13,0,0,0.03083829620564,0.096465231425868,0.0970240784781346,0.0298690773732331
"meuse","forest","innovation",0.2,0.3,13,0,0,0.0311847296995998,0.117692107147921,0.118612379468083,0.0454530550123612
"meuse","forest","trend",0.2,0.3,13,0,0,0.0261718022487859,0.0772705778532354,0.0779251994483378,0.0116472168563632
