"dataset","generator","pi_s","range_fraction","draws","n_sites","expected_snr","expected_pi_s","expected_total_variance","mean_realized_total_variance","mcse_realized_total_variance","required_draws_for_2pct_variance_mcse","covariance_relative_mc_error","covariance_max_diagonal_relative_error","expected_moran_covariance_ratio","mean_realized_moran","mcse_realized_moran","max_abs_covariate_field_correlation_mean"
"georgia","polynomial",0.1,0.1,1000,106,3,0.1,2.6571131894318,2.65904545360321,0.0117715525648952,50,0.326020141703859,0.153271217653391,0.0384301409846178,0.0358278558944372,0.00225599321053169,0.123279158066959
"georgia","polynomial",0.1,0.3,1000,106,3,0.1,2.6571131894318,2.6726343883072,0.0129535165946662,60,0.291924550442867,0.135895691987872,0.147323359353122,0.141210642823875,0.00291374730420601,0.133257111385618
"georgia","polynomial",0.2,0.1,1000,106,3,0.2,2.6571131894318,2.64152586317944,0.012583730913066,57,0.316209345941743,0.133609514159881,0.0983725791201519,0.0957189505693571,0.00233975632753983,0.130589455188735
"georgia","polynomial",0.2,0.3,1000,106,3,0.2,2.6571131894318,2.66280592966727,0.016980895507292,103,0.203751823001442,0.0795380310056611,0.343382320449287,0.329420329438088,0.00338793914872206,0.144802070766214
"georgia","forest",0.1,0.1,1000,106,3,0.1,2.72640989906426,2.74135922090972,0.0119040205002019,48,0.324213037868682,0.149514142609338,0.0384301409846178,0.0372201811693326,0.00215561565155123,0.12814030705495
"georgia","forest",0.1,0.3,1000,106,3,0.1,2.72640989906426,2.73154044645217,0.0133208557211472,60,0.286362585133072,0.108304189233573,0.147323359353122,0.144031536193827,0.00287502496950624,0.132963544293134
"georgia","forest",0.2,0.1,1000,106,3,0.2,2.72640989906426,2.74227954058578,0.0123554291739689,52,0.320191821211786,0.1599028117672,0.0983725791201519,0.0979199781316056,0.00239471607956743,0.130537213959198
"georgia","forest",0.2,0.3,1000,106,3,0.2,2.72640989906426,2.73324703935856,0.0183780526173033,114,0.206427831127824,0.118323824021798,0.343382320449287,0.330051339320661,0.00346960828402847,0.145156487438212
"meuse","polynomial",0.1,0.1,1000,102,3,0.1,0.175556775211251,0.173903447788463,0.000808267396447993,53,0.304872134477559,0.108804847524929,0.0829029388251444,0.0834007012651741,0.0024962695932073,0.141383989713873
"meuse","polynomial",0.1,0.3,1000,102,3,0.1,0.175556775211251,0.175615037323389,0.000926255051195494,70,0.250094681908888,0.125456198364963,0.188003100188845,0.179898830954663,0.00336820574906974,0.165323219383972
"meuse","polynomial",0.2,0.1,1000,102,3,0.2,0.175556775211251,0.175630613078204,0.000900188832658042,66,0.276845722013171,0.100625650259657,0.198907849980337,0.194469197739499,0.00288173095417234,0.161037638028124
"meuse","polynomial",0.2,0.3,1000,102,3,0.2,0.175556775211251,0.175510884253771,0.00142672162776828,166,0.165376102102037,0.155554875883648,0.435383213048664,0.4119440746909,0.00388815433962351,0.210426326253892
"meuse","forest",0.1,0.1,1000,102,3,0.1,0.135092816827503,0.135652606038868,0.000631374855564891,55,0.312281976462716,0.0972197761133711,0.0829029388251444,0.0801067081742668,0.00248486218349152,0.141703173620464
"meuse","forest",0.1,0.3,1000,102,3,0.1,0.135092816827503,0.13597166366506,0.000741989961612349,76,0.249728737221074,0.133421632800506,0.188003100188845,0.181299531859124,0.00329016541508064,0.16798925531758
"meuse","forest",0.2,0.1,1000,102,3,0.2,0.135092816827503,0.136336475023612,0.000721534221547767,72,0.280974223388432,0.121489438460694,0.198907849980337,0.193099443115639,0.00287285227712825,0.159358337736247
"meuse","forest",0.2,0.3,1000,102,3,0.2,0.135092816827503,0.134496384072225,0.00111321087944139,170,0.1694603492704,0.09461716142061,0.435383213048664,0.407922712124228,0.00397619160387753,0.207640250972636
