"variant","distance_lower_fraction","distance_upper_fraction","n_pairs","draws","expected_semivariance","observed_semivariance","mcse_semivariance","gap_over_mcse","required_draws_for_5pct_relative_mcse","dataset","generator","pi_s","range_fraction"
"innovation",0,0.05,48,1000,2.41905494306262,2.44170616579425,0.0194906798798955,1.1621566241509,26,"georgia","polynomial",0.1,0.1
"innovation",0.05,0.15,639,1000,2.61041792717754,2.6083325738469,0.0125244388497688,-0.166502735623908,10,"georgia","polynomial",0.1,0.1
"innovation",0.15,0.35,2062,1000,2.66473803313647,2.66650783785664,0.012573240347127,0.140759634851589,9,"georgia","polynomial",0.1,0.1
"innovation",0.35,1.000001,2816,1000,2.66618372944855,2.66879345773976,0.0122605684118558,0.212855407967135,9,"georgia","polynomial",0.1,0.1
"trend",0,0.05,48,1000,0.647646150108087,0.651715180510938,0.00502933774018067,0.809058888676939,25,"georgia","polynomial",0.1,0.1
"trend",0.05,0.15,639,1000,0.839009134223003,0.837397757634526,0.0041554002506496,-0.387778912085752,10,"georgia","polynomial",0.1,0.1
"trend",0.15,0.35,2062,1000,0.89332924018194,0.893092326737893,0.00453251966631993,-0.0522697001864047,11,"georgia","polynomial",0.1,0.1
"trend",0.35,1.000001,2816,1000,0.894774936494015,0.895988330063988,0.00446062788087398,0.272023043028443,10,"georgia","polynomial",0.1,0.1
"innovation",0,0.05,48,1000,2.11166155354938,2.12459510526558,0.0166335071383345,0.777560114571165,25,"georgia","polynomial",0.1,0.3
"innovation",0.05,0.15,639,1000,2.38687091524462,2.40066163089596,0.0112498933629238,1.2258530109087,9,"georgia","polynomial",0.1,0.3
"innovation",0.15,0.35,2062,1000,2.65180036730653,2.66440645712765,0.0135924168402991,0.927435493572047,11,"georgia","polynomial",0.1,0.3
"innovation",0.35,1.000001,2816,1000,2.73162367627494,2.74971623193788,0.0148479649122861,1.21852090638814,12,"georgia","polynomial",0.1,0.3
"trend",0,0.05,48,1000,0.340252760594846,0.340859669494654,0.00244182375451831,0.24854738131091,21,"georgia","polynomial",0.1,0.3
"trend",0.05,0.15,639,1000,0.615462122290084,0.618422143403977,0.00334243238908021,0.88558892726262,12,"georgia","polynomial",0.1,0.3
"trend",0.15,0.35,2062,1000,0.880391574351993,0.879757769862829,0.00674115165103221,-0.0940202093015449,24,"georgia","polynomial",0.1,0.3
"trend",0.35,1.000001,2816,1000,0.960214883320407,0.95534024025717,0.00836147771379904,-0.582988226494067,31,"georgia","polynomial",0.1,0.3
"innovation",0,0.05,48,1000,2.12148213510115,2.11433034598482,0.0161764860254418,-0.442110178012876,24,"georgia","polynomial",0.2,0.1
