paper_doi	dataset_doi	repo	target_dir	status	total_size_mb	n_files	note
10.1002/eap.2893	10.5061/dryad.7sqv9s51c	dryad		rejected_dataset_unavailable			User checked source: dataset unavailable.
10.1016/j.ufug.2020.126778	10.23719/1504128	unknown	data\raw\papers\DataCite_2020_ExaminingTheEffectsOf_10_1016_j_ufug_2	downloaded			RepeatSalesModel_RegressionData_FINAL.xlsx (already integrated)
10.1080/13658816.2019.1707834	10.6084/m9.figshare.11506803	figshare	data\raw\papers\DataCite_2020_GeographicallyNeuralNetworkWeighted_10_1080_13658816	downloaded	7.57	104	
10.1080/24694452.2018.1462691	10.6084/m9.figshare.7492280	figshare	data\raw\papers\DataCite_2018_TheImportanceOfScale_10_1080_24694452	downloaded	9.32	7	
10.1093/ajae/aaz047	10.6077/2dhd-f934	dataverse		needs_manual_spatial_evidence_review			User checked summary: spatial dimension not evident; do not promote until paper/dataset proves spatial support.
10.15196/rs04105	10.7910/dvn/djvxeh	dataverse		rejected_dataset_page_not_found			User checked source: Page Not Found.
10.1257/aer.102.5.1898	10.3886/e112541	unknown		needs_authenticated_access			User checked source: login required for data access.
10.1080/07350015.2020.1840993	10.6084/m9.figshare.13143129	figshare	data\raw\papers\DataCite_2020_BayesianModelAveragingFor_10_1080_07350015	downloaded	0.21	3	
10.1080/13658816.2016.1149181	10.6084/m9.figshare.3189004	figshare	data\raw\papers\DataCite_2016_ABootstrapTestFor_10_1080_13658816	downloaded	0.10	2	
10.1111/j.1461-0248.2007.01129.x	10.5281/zenodo.15159899	zenodo	data\raw\papers\DataCite_2007_GlobalDiversityOfIsland_10_1111_j_1461_0	downloaded	0.00	1	
10.1002/env.2485	10.6084/m9.figshare.5544445	figshare	data\raw\papers\DataCite_2017_EstimationAndInferenceIn_10_1002_env_2485	downloaded	0.01	3	
10.1016/j.eneco.2020.104699	10.17632/mhgdnc6f5w.1	mendeley	data\raw\papers\DataCite_2020_OnTheUseOf_10_1016_j_eneco_	rejected_doc_only_no_raw_data			mendeley_mhgdnc6f5w_v1.zip
10.1080/10618600.2020.1754225	10.6084/m9.figshare.12156975	figshare	data\raw\papers\DataCite_2020_GeneralizedSpatiallyVaryingCoefficient_10_1080_10618600	downloaded	1.17	1	
10.1080/17421772.2021.1905173	10.6084/m9.figshare.14401694	figshare	data\raw\papers\DataCite_2021_WomenSPoliticalEmpowerment_10_1080_17421772	downloaded	0.19	2	
10.1080/00949655.2017.1311896	10.6084/m9.figshare.4836836	figshare	data\raw\papers\DataCite_2017_StructureIdentificationAndVariable_10_1080_00949655	downloaded	0.00	1	
10.1080/0013791x.2015.1104568	10.6084/m9.figshare.1626651	figshare	data\raw\papers\DataCite_2015_CostEstimationUsingAnfis_10_1080_0013791x	downloaded	0.61	6	
10.1111/jbi.70076	10.5061/dryad.0zpc8678d	dryad	data\raw\papers\DataCite_2026_DataAndRCode_10_1111_jbi_7007	downloaded	4.49	16	
10.1111/1365-2664.14606	10.5061/dryad.kd51c5bdc	dryad	data\raw\papers\DataCite_2024_ClimaticAndManagementRelated_10_1111_1365_266	downloaded	0.17	2	dryad_kd51c5bdc_v20240201.zip
10.1080/01621459.2014.881742	10.6084/m9.figshare.7037693	figshare	data\raw\papers\DataCite_2014_SpatiallyVaryingCoefficientModel_10_1080_01621459	downloaded	10.51	19	
10.1080/01621459.2022.2123333	10.6084/m9.figshare.21082235	figshare	data\raw\papers\DataCite_2022_CropYieldPredictionUsing_10_1080_01621459	downloaded	41.92	2	
10.1093/sysbio/syaf010	10.5061/dryad.5x69p8d9z	dryad	data\raw\papers\DataCite_2025_GlobalPatternsOfTaxonomic_10_1093_sysbio_s	downloaded	81.31	9	dryad_5x69p8d9z_v20250220.zip
10.1111/1365-2664.13699	10.5061/dryad.msbcc2fvt	dryad	data\raw\papers\DataCite_2020_TradeOffsBetweenBiodiversity_10_1111_1365_266	downloaded	0.50	4	dryad_msbcc2fvt_v20200622.zip
10.1111/ecog.01243	10.5061/dryad.gq264	dryad	data\raw\papers\DataCite_2015_LeanSeasonPrimaryProductivity_10_1111_ecog_012	downloaded	0.22	1	dryad_gq264_v20150323.zip
10.1111/ecog.06391	10.5061/dryad.zgmsbcch5	dryad	data\raw\papers\DataCite_2023_IntegratedSpeciesDistributionModels_10_1111_ecog_063	downloaded	0.03	2	dryad_zgmsbcch5_v20230404.zip
10.1111/geb.13762	10.5061/dryad.05qfttf8t	dryad	data\raw\papers\DataCite_2023_GlobalVariationInThe_10_1111_geb_1376	downloaded			dryad_05qfttf8t_v20230915.zip
10.1177/23998083211063885	10.25384/sage.18902846.v1	figshare		rejected_false_positive			User checked source: false positive for benchmark dataset.
10.1186/s40462-015-0053-6	10.6084/m9.figshare.c.3627593_d4	figshare	data\raw\papers\DataCite_2015_PatternsOfLivestockActivity_10_1186_s40462_0	downloaded	0.00	1	
10.7554/elife.02851	10.5061/dryad.05f5h	dryad	data\raw\papers\DataCite_2014_GlobalDistributionMapsOf_10_7554_elife_02	downloaded	1.63	5	dryad_05f5h_v20150627.zip
10.1002/env.2410	10.6084/m9.figshare.3753288	figshare	data\raw\papers\DataCite_2016_SpatioTemporalBayesianModel_10_1002_env_2410	downloaded	0.05	1	
10.1098/rspb.2022.0358	10.5061/dryad.76hdr7sxp	dryad	data\raw\papers\DataCite_2022_MistletoesCouldModerateDrought_10_1098_rspb_202	downloaded	6.46	8	dryad_76hdr7sxp_v20220711.zip
