dataset_doi	paper_doi	status	target_dir	note
10.23719/1504128	10.1016/j.ufug.2020.126778	downloaded	data\raw\papers\DataCite_2020_ExaminingTheEffectsOf_10_1016_j_ufug_2	RepeatSalesModel_RegressionData_FINAL.xlsx (already integrated)
10.17632/mhgdnc6f5w.1	10.1016/j.eneco.2020.104699	rejected_doc_only_no_raw_data	data\raw\papers\DataCite_2020_OnTheUseOf_10_1016_j_eneco_	mendeley_mhgdnc6f5w_v1.zip
10.5061/dryad.kd51c5bdc	10.1111/1365-2664.14606	downloaded	data\raw\papers\DataCite_2024_ClimaticAndManagementRelated_10_1111_1365_266	dryad_kd51c5bdc_v20240201.zip
10.5061/dryad.5x69p8d9z	10.1093/sysbio/syaf010	downloaded	data\raw\papers\DataCite_2025_GlobalPatternsOfTaxonomic_10_1093_sysbio_s	dryad_5x69p8d9z_v20250220.zip
10.5061/dryad.msbcc2fvt	10.1111/1365-2664.13699	downloaded	data\raw\papers\DataCite_2020_TradeOffsBetweenBiodiversity_10_1111_1365_266	dryad_msbcc2fvt_v20200622.zip
10.5061/dryad.gq264	10.1111/ecog.01243	downloaded	data\raw\papers\DataCite_2015_LeanSeasonPrimaryProductivity_10_1111_ecog_012	dryad_gq264_v20150323.zip
10.5061/dryad.zgmsbcch5	10.1111/ecog.06391	downloaded	data\raw\papers\DataCite_2023_IntegratedSpeciesDistributionModels_10_1111_ecog_063	dryad_zgmsbcch5_v20230404.zip
10.5061/dryad.05qfttf8t	10.1111/geb.13762	downloaded	data\raw\papers\DataCite_2023_GlobalVariationInThe_10_1111_geb_1376	dryad_05qfttf8t_v20230915.zip
10.5061/dryad.05f5h	10.7554/elife.02851	downloaded	data\raw\papers\DataCite_2014_GlobalDistributionMapsOf_10_7554_elife_02	dryad_05f5h_v20150627.zip
10.5061/dryad.76hdr7sxp	10.1098/rspb.2022.0358	downloaded	data\raw\papers\DataCite_2022_MistletoesCouldModerateDrought_10_1098_rspb_202	dryad_76hdr7sxp_v20220711.zip
10.5061/dryad.7sqv9s51c	10.1002/eap.2893	rejected_dataset_unavailable		User checked source: dataset unavailable.
10.6077/2dhd-f934	10.1093/ajae/aaz047	needs_manual_spatial_evidence_review		User checked summary: spatial dimension not evident; do not promote until paper/dataset proves spatial support.
10.7910/dvn/djvxeh	10.15196/rs04105	rejected_dataset_page_not_found		User checked source: Page Not Found.
10.3886/e112541	10.1257/aer.102.5.1898	needs_authenticated_access		User checked source: login required for data access.
10.25384/sage.18902846.v1	10.1177/23998083211063885	rejected_false_positive		User checked source: false positive for benchmark dataset.
