dataset_doi	relation_type	related_doi	related_type	title	venue	year	authors	note
10.23719/1504128	IsSupplementTo	10.1016/j.ufug.2020.126778	DOI	Examining the effects of green infrastructure on residential sales prices in Omaha, Nebraska	Urban Forestry &amp; Urban Greening	2020	F.-A. Hoover and J.I. Price and M.E. Hopton	
10.17632/mhgdnc6f5w.1	IsVersionOf	10.17632/mhgdnc6f5w	DOI					
10.17632/mhgdnc6f5w.1	IsSupplementTo	10.1016/j.eneco.2020.104699	DOI	On the use of hedonic regression models to measure the effect of energy efficiency on residential property transaction prices: Evidence for Portugal and selected data issues	Energy Economics	2020	Rui Evangelista and Esmeralda A. Ramalho and João Andrade e Silva	
10.5061/dryad.kd51c5bdc	IsCitedBy	10.1111/1365-2664.14606	DOI	Climatic and management‐related drivers of endemic European spruce bark beetle populations in boreal forests	Journal of Applied Ecology	2024	Jostein Gohli and Paal Krokene and Eva Solbjørg Flo Heggem and Bjørn Økland	
10.5061/dryad.5x69p8d9z	IsDerivedFrom	10.5281/zenodo.13177779	DOI					
10.5061/dryad.5x69p8d9z	IsSourceOf	10.5281/zenodo.13177787	DOI					
10.5061/dryad.5x69p8d9z	IsCitedBy	10.1093/sysbio/syaf010	DOI	Global Patterns of Taxonomic Uncertainty and its Impacts on Biodiversity Research	Systematic Biology	2025	Jhonny J M Guedes and Mario R Moura and Lucas Jardim and José Alexandre F Diniz-Filho	
10.5061/dryad.msbcc2fvt	IsCitedBy	10.1111/1365-2664.13699	DOI	Trade‐offs between biodiversity and agriculture are moving targets in dynamic landscapes	Journal of Applied Ecology	2020	Leandro Macchi and Julieta Decarre and Andrea P. Goijman and Matías Mastrangelo and Pedro G. Blendinger and Gregorio I. Gavier‐Pizarro and Francisco Murray and María Piquer‐Rodriguez and Asunción Semper‐Pascual and Tobias Kuemmerle	
10.5061/dryad.gq264	IsCitedBy	10.1111/ecog.01243	DOI	Lean‐season primary productivity and heat dissipation as key drivers of geographic body‐size variation in a widespread marsupial	Ecography	2016	Rachel A. Correll and Thomas A. A. Prowse and Gavin J. Prideaux	
10.5061/dryad.zgmsbcch5	IsCitedBy	10.1111/ecog.06391	DOI	Integrated species distribution models fitted in INLA are sensitive to mesh parameterisation	Ecography	2023	Lea I. Dambly and Nick J. B. Isaac and Kate E. Jones and Katherine L. Boughey and Robert B. O'Hara	
10.5061/dryad.05qfttf8t	IsCitedBy	10.1111/geb.13762	DOI	Global variation in the relationship between avian phylogenetic diversity and functional distance is driven by environmental context and constraints	Global Ecology and Biogeography	2023	Keaghan J. Yaxley and Alexander Skeels and Robert A. Foley	
10.5061/dryad.05f5h	IsCitedBy	10.7554/elife.02851	DOI	Global distribution maps of the leishmaniases	eLife	2014	David M Pigott and Samir Bhatt and Nick Golding and Kirsten A Duda and Katherine E Battle and Oliver J Brady and Jane P Messina and Yves Balard and Patrick Bastien and Francine Pratlong and John S Brownstein and Clark C Freifeld and Sumiko R Mekaru and Peter W Gething and Dylan B George and Monica F Myers and Richard Reithinger and Simon I Hay	
10.5061/dryad.76hdr7sxp	IsDerivedFrom	10.5281/zenodo.5540210	DOI					
10.5061/dryad.76hdr7sxp	IsCitedBy	10.1098/rspb.2022.0358	DOI	Mistletoes could moderate drought impacts on birds, but are themselves susceptible to drought-induced dieback	Proceedings of the Royal Society B: Biological Sciences	2022	Ross Crates and David M. Watson and Gregory F. Albery and Timothée Bonnet and Liam Murphy and Laura Rayner and Dejan Stojanovic and Chris Timewell and Beau Meney and Mick Roderick and Dean Ingwersen and Robert Heinsohn	
