"doi"	"status"	"file"	"url"	"note"
"10.1002/ece3.7059"	"failed"	""	"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.7059"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1002/ece3.8359"	"failed"	""	"https://doi.org/10.1002/ece3.8359"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1080/01621459.2016.1261710"	"failed"	""	"https://doi.org/10.1080/01621459.2016.1261710"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1080/01621459.2024.2359131"	"not_pdf"	""	"https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/nihms-2003251.pdf"	"prefix=



< bytes=1817"
"10.1098/rsos.190335"	"failed"	""	"https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.190335"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1098/rspb.2018.0807"	"failed"	""	"https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.0807"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1111/1365-2745.12782"	"failed"	""	"https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.12782"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1111/ddi.13046"	"failed"	""	"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13046"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1111/ddi.13297"	"failed"	""	"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13297"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1111/ele.14478"	"failed"	""	"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ele.14478"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1111/eva.12161"	"failed"	""	"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/eva.12161"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1111/jbi.14708"	"failed"	""	"https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbi.14708"	"Le serveur distant a retourné une erreur : (403) Interdit."
"10.1186/s42408-024-00264-0"	"not_pdf"	""	"https://fireecology.springeropen.com/counter/pdf/10.1186/s42408-024-00264-0"	"prefix=<!DOC bytes=3038"
