doi	local_path	source_url	http_status	content_type	status	note
10.1002/eap.2893					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eap.2893 ; 401 text/html; charset=utf-8 https://eprints.soton.ac.uk/482046/1/Ecological_Applications_2023_Braun_Building_use_inspired_species_distribution_models_using_multiple_data_types_to.pdf
10.1002/sim.7172					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: ERROR ConnectionError: https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC6067680&blobtype=pdf ; 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC6067680/pdf/ ; 200 text/html; charset=utf-8 https://www.ncbi.nlm.nih.gov/pmc/articles/6067680
10.1016/j.eneco.2015.08.003					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 200 text/html;charset=UTF-8 https://doi.org/10.1016/j.eneco.2015.08.003 ; 200 text/html; charset=utf-8 http://dspace.lib.cranfield.ac.uk/handle/1826/9777 ; 202 text/html; charset=UTF-8 https://figshare.com/articles/journal_contribution/Regional_distribution_of_photovoltaic_deployment_in_the_UK_and_its_determinants_a_spatial_econometric_approach/29708726 ; 202 text/html; charset=UTF-8 http://hdl.handle.net/10871/18072
10.1016/j.envint.2019.104909					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: ERROR ConnectionError: https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC7063579&blobtype=pdf ; 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC7063579/pdf/ ; 403 text/html; charset=UTF-8 https://www.sciencedirect.com/science/article/pii/S0160412019300650/pdf ; 403 text/html; charset=UTF-8 https://doaj.org/article/b0907a6f08bc44f3ac0719554df4e069 ; 200 text/html; charset=utf-8 https://www.ncbi.nlm.nih.gov/pmc/articles/7063579
10.1016/j.ufug.2020.126778					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: ERROR ConnectionError: https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC7510957&blobtype=pdf ; 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC7510957/pdf/ ; 200 text/html; charset=utf-8 https://www.ncbi.nlm.nih.gov/pmc/articles/7510957
10.1017/pan.2020.23	corpus\papers\raw_pdf\10_1017_pan_2020_23.pdf				already_present	
10.1021/acs.est.0c01791					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: ERROR ConnectionError: https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC7498146&blobtype=pdf ; 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC7498146/pdf/ ; 200 text/html; charset=utf-8 https://www.ncbi.nlm.nih.gov/pmc/articles/7498146 ; 200 text/html;charset=UTF-8 https://researchprofiles.ku.dk/da/publications/399f5faf-6d34-40ae-8ac1-b1c64bbc5509
10.1021/acs.est.9b03358					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 200 text/html; charset=utf-8 http://hdl.handle.net/11603/17226 ; 200 text/html; charset=utf-8 https://doi.org/10.13016/m2esxg-k0fh
10.1080/07474938.2022.2047507					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 202 text/html; charset=UTF-8 https://figshare.com/articles/dataset/Model_selection_and_model_averaging_for_matrix_exponential_spatial_models/19391222 ; 202 text/html; charset=UTF-8 https://doi.org/10.6084/m9.figshare.19391222.v1
10.1080/13658816.2019.1707834					no_oa_url	Unpaywall: aucune version open access connue
10.1080/17583004.2021.1962979					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://www.tandfonline.com/doi/pdf/10.1080/17583004.2021.1962979?needAccess=true
10.1080/24694452.2018.1462691					no_oa_url	Unpaywall: aucune version open access connue
10.1093/ajae/aaz047					no_oa_url	Unpaywall OA mais sans URL exploitable
10.1093/isq/sqz068					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://academic.oup.com/isq/article-pdf/63/4/908/31169647/sqz068.pdf ; 403 text/html; charset=iso-8859-1 https://hdl.handle.net/1814/65105 ; 200 text/html; charset=utf-8 https://ora.ox.ac.uk/objects/uuid:085dc151-3aee-47b7-9e1d-33e9f684a3bd
10.1111/1365-2435.13092					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 200 text/html; charset=UTF-8 https://zotero.org/groups/5435545/items/EKCQHQ65
10.1111/2041-210x.13762	corpus\papers\raw_pdf\10_1111_2041_210x_13762.pdf				already_present	
10.1111/2041-210x.13957	corpus\papers\raw_pdf\10_1111_2041_210x_13957.pdf				already_present	
10.1111/ecog.06085					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ecog.06085
10.1111/geb.12999					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 200 text/html https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A21947
10.1111/geb.13792					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/geb.13792
10.1186/s41043-022-00309-7					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: ERROR ConnectionError: https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC9254552&blobtype=pdf ; 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC9254552/pdf/ ; 200 text/html; charset=utf-8 https://doi.org/10.1186/s41043-022-00309-7 ; 403 text/html; charset=UTF-8 https://doaj.org/article/9bfdb26bc95d44c893336f469863eb0d ; 200 text/html; charset=utf-8 https://www.ncbi.nlm.nih.gov/pmc/articles/9254552
10.1590/0034-7612163114					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: ERROR ChunkedEncodingError: http://www.scielo.br/pdf/rap/v52n1/en_1982-3134-rap-52-01-149.pdf ; 403 text/html http://old.scielo.br/scielo.php?script=sci_arttext&amp;pid=S0034-76122018000100149 ; 503 text/html;charset=utf-8 http://americanae.aecid.es/americanae/es/registros/registro.do?tipoRegistro=MTD&idBib=2711329 ; 403 text/html; charset=UTF-8 https://doaj.org/article/3699748231d94eac8c4a32964673ba42
