doi	title	dataset_doi	status	source	pmcid	url	local_path	size	note
10.1002/ece3.7059			SUCCESS_PMC_S3	pmc_s3	PMC7882943	https://pmc-oa-opendata.s3.amazonaws.com/PMC7882943.1/ECE3-11-1544-s001.pdf	corpus\papers\raw_pdf\10_1002_ece3_7059.pdf	1382431	PMC7882943.1/
10.1002/ece3.8359			SUCCESS_PMC_S3	pmc_s3	PMC8668751	https://pmc-oa-opendata.s3.amazonaws.com/PMC8668751.1/PMC8668751.1.pdf	corpus\papers\raw_pdf\10_1002_ece3_8359.pdf	899751	PMC8668751.1/
10.1080/01621459.2016.1261710			MANUAL_ACTION_REQUIRED	resolver					"no_valid_pdf_in_s3: ; openalex:http_403:https://doi.org/10.1080/01621459.2016.1261710 | openalex:http_203:https://pubmed.ncbi.nlm.nih.gov/29151657 | openalex:not_pdf:ct=text/html; charset=utf-8:prefix=b' <!DOCTYPE html> <html lang=""en""':https://www.ncbi.nlm.nih.gov/pmc/articles/5693262 | openalex:not_pdf:ct=text/html; charset=UTF-8:prefix=b' <!DOCTYPE html> <html lang=""en""':https://digitalcommons.usf.edu/mth_facpub/119 | openalex:http_403:http://hdl.handle.net/10.1080/01621459.2016.1261710"
10.1080/01621459.2024.2359131			MANUAL_ACTION_REQUIRED	resolver					"no_valid_pdf_in_s3: ; unpaywall:not_pdf:ct=text/html; charset=utf-8:prefix=b'<!doctype html><html lang=""en-US':https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/pdf/nihms-2003251.pdf | openalex:not_pdf:ct=text/html; charset=utf-8:prefix=b'<!doctype html><html lang=""en-US':https://pmc.ncbi.nlm.nih.gov/articles/PMC12148239/ | openalex:http_403:https://doi.org/10.1080/01621459.2024.2359131 | openalex:http_203:https://pubmed.ncbi.nlm.nih.gov/40496138 | openalex:not_pdf:ct=text/html; charset=utf-8:prefix=b'<!doctype html><html lang=""en-US':https://www.ncbi.nlm.nih.gov/pmc/articles/12148239"
10.1098/rsos.190335			SUCCESS_PMC_S3	pmc_s3	PMC6599776	https://pmc-oa-opendata.s3.amazonaws.com/PMC6599776.1/PMC6599776.1.pdf	corpus\papers\raw_pdf\10_1098_rsos_190335.pdf	1225151	PMC6599776.1/
10.1098/rspb.2018.0807			SUCCESS_PMC_S3	pmc_s3	PMC6030522	https://pmc-oa-opendata.s3.amazonaws.com/PMC6030522.1/PMC6030522.1.pdf	corpus\papers\raw_pdf\10_1098_rspb_2018_0807.pdf	1125622	PMC6030522.1/
10.1111/1365-2745.12782			MANUAL_ACTION_REQUIRED	resolver					pmc_idconv_no_pmcid ; unpaywall:http_403:https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.12782 | openalex:http_403:https://doi.org/10.1111/1365-2745.12782
10.1111/ddi.13046			MANUAL_ACTION_REQUIRED	resolver					"pmc_idconv_no_pmcid ; unpaywall:http_403:https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13046 | unpaywall:not_pdf:ct=text/html; charset=utf-8:prefix=b'<!DOCTYPE html><html data-critte':https://hdl.handle.net/10568/108131 | unpaywall:not_pdf:ct=text/html; charset=utf-8:prefix=b'<!DOCTYPE html><html lang=""en""><':https://hdl.handle.net/20.500.11766/11839 | openalex:http_403:https://doi.org/10.1111/ddi.13046"
10.1111/ddi.13297			MANUAL_ACTION_REQUIRED	resolver					pmc_idconv_no_pmcid ; unpaywall:http_403:https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ddi.13297 | openalex:http_403:https://doi.org/10.1111/ddi.13297
10.1111/ele.14478			MANUAL_ACTION_REQUIRED	resolver					pmc_idconv_no_pmcid ; unpaywall:http_403:https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ele.14478 | openalex:http_403:https://doi.org/10.1111/ele.14478 | openalex:http_203:https://pubmed.ncbi.nlm.nih.gov/39092581
10.1111/eva.12161			SUCCESS_PMC_S3	pmc_s3	PMC4227855	https://pmc-oa-opendata.s3.amazonaws.com/PMC4227855.1/PMC4227855.1.pdf	corpus\papers\raw_pdf\10_1111_eva_12161.pdf	1484748	PMC4227855.1/
10.1111/jbi.14708			MANUAL_ACTION_REQUIRED	resolver					pmc_idconv_no_pmcid ; unpaywall:http_403:https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbi.14708 | openalex:http_403:https://doi.org/10.1111/jbi.14708
10.1186/s42408-024-00264-0			ALREADY_PRESENT				corpus\papers\raw_pdf\10_1186_s42408_024_00264_0.pdf	1458006	
