bib_key	paper_title	dataset_doi	data_access_url
DataCite_2022_ModelingOfSpatialPattern_10_1371_journal_	Modeling of spatial pattern and influencing factors of cultivated land quality in Henan Province based on spatial big data	10.5061/dryad.v6wwpzgz0	https://datadryad.org/dataset/doi:10.5061/dryad.v6wwpzgz0
DataCite_2014_MethodOfTheGeographically_10_15196_rs04105	Method of the Geographically Weighted Regression and an Example for its Application	10.7910/dvn/djvxeh	https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/DJVXEH
DataCite_2012_ARationalExpectationsApproach_10_1257_aer_102_	A Rational Expectations Approach to Hedonic Price Regressions with Time-Varying Unobserved Product Attributes: The Price of Pollution	10.3886/e112541	https://www.openicpsr.org/openicpsr/project/112541
DataCite_2015_SpatialAutocorrelationInFitness_10_1111_2041_210	Spatial autocorrelation in fitness affects the estimation of natural selection in the wild	10.5061/dryad.pm86c	https://datadryad.org/dataset/doi:10.5061/dryad.pm86c
DataCite_2020_RelationshipsBetweenTheDistribution_10_1111_ddi_1313	Relationships between the distribution of wildlife and livestock diversity	10.5061/dryad.0gb5mkkzd	https://datadryad.org/dataset/doi:10.5061/dryad.0gb5mkkzd
DataCite_2019_AgriculturalTechnologyAdoptionAnd_10_1080_1747423x	Agricultural technology adoption and land use: evidence for Brazilian municipalities	10.6084/m9.figshare.11492220	https://tandf.figshare.com/articles/Agricultural_technology_adoption_and_land_use_evidence_for_Brazilian_municipalities/11492220
DataCite_2019_TheImpactOfEnergy_10_1016_j_scitot	The impact of energy price on CO2 emissions in China: A spatial econometric analysis	10.17632/hm29shxmfc.1	https://data.mendeley.com/datasets/hm29shxmfc/1
DataCite_2020_BayesianModelAveragingFor_10_1080_07350015	Bayesian Model Averaging for Spatial Autoregressive Models Based on Convex Combinations of Different Types of Connectivity Matrices	10.6084/m9.figshare.13143129	https://tandf.figshare.com/articles/dataset/Bayesian_model_averaging_for_spatial_autoregressive_models_based_on_convex_combinations_of_different_types_of_connectivity_matrices/13143129
DataCite_2016_ABootstrapTestFor_10_1080_13658816	A bootstrap test for constant coefficients in geographically weighted regression models	10.6084/m9.figshare.3189004	https://tandf.figshare.com/articles/dataset/A_bootstrap_test_for_constant_coefficients_in_geographically_weighted_regression_models/3189004
DataCite_2007_GlobalDiversityOfIsland_10_1111_j_1461_0	Global diversity of island floras from a macroecological perspective	10.5281/zenodo.15159899	https://zenodo.org/doi/10.5281/zenodo.15159899
DataCite_2014_TheGwmodelRPackage_10_1080_10095020	The GWmodel R package: further topics for exploring spatial heterogeneity using geographically weighted models	10.6084/m9.figshare.1038371	https://tandf.figshare.com/articles/dataset/The_GWmodel_R_package_further_topics_for_exploring_spatial_heterogeneity_using_geographically_weighted_models/1038371
DataCite_2017_EstimationAndInferenceIn_10_1002_env_2485	Estimation and inference in spatially varying coefficient models	10.6084/m9.figshare.5544445	https://wiley.figshare.com/articles/dataset/Dataset_for_Estimation_and_inference_in_spatially_varying_coefficient_models/5544445/1
DataCite_2020_OnTheUseOf_10_1016_j_eneco_	On the use of hedonic regression models to measure the effect of energy efficiency on residential property transaction prices: Evidence for Portugal and selected data issues	10.17632/mhgdnc6f5w.1	https://data.mendeley.com/datasets/mhgdnc6f5w/1
DataCite_2011_TheAssemblyOfEcological_10_1086_659625	The Assembly of Ecological Communities Inferred from Taxonomic and Functional Composition	10.5061/dryad.8445	https://datadryad.org/dataset/doi:10.5061/dryad.8445
DataCite_2020_GeneralizedSpatiallyVaryingCoefficient_10_1080_10618600	Generalized Spatially Varying Coefficient Models	10.6084/m9.figshare.12156975	https://tandf.figshare.com/articles/dataset/Generalized_Spatially_Varying_Coefficient_Models/12156975
DataCite_2021_WomenSPoliticalEmpowerment_10_1080_17421772	Women’s political empowerment and welfare policy decisions: a spatial analysis of European countries	10.6084/m9.figshare.14401694	https://tandf.figshare.com/articles/dataset/Women_s_political_empowerment_and_welfare_policy_decisions_a_spatial_analysis_of_European_countries/14401694
DataCite_2017_StructureIdentificationAndVariable_10_1080_00949655	Structure identification and variable selection in geographically weighted regression models	10.6084/m9.figshare.4836836	https://tandf.figshare.com/articles/dataset/Structure_identification_and_variable_selection_in_geographically_weighted_regression_models/4836836
DataCite_2015_CostEstimationUsingAnfis_10_1080_0013791x	Cost estimation using ANFIS	10.6084/m9.figshare.1626651	https://tandf.figshare.com/articles/dataset/Technical_note_Cost_estimation_using_ANFIS/1626651/3
DataCite_2026_DataAndRCode_10_1111_jbi_7007	Data and R code for: Biogeography and conservation of bycatch decapods	10.5061/dryad.0zpc8678d	https://datadryad.org/dataset/doi:10.5061/dryad.0zpc8678d
