doi	local_path	source_url	http_status	content_type	status	note
10.1016/j.cageo.2004.03.012					no_oa_url	Unpaywall: aucune version open access connue
10.1016/j.geoderma.2007.04.028					no_oa_url	Unpaywall: aucune version open access connue
10.7717/peerj.5518					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: ERROR ConnectionError: https://europepmc.org/backend/ptpmcrender.fcgi?accid=PMC6119462&blobtype=pdf ; 200 text/html; charset=utf-8 https://pmc.ncbi.nlm.nih.gov/articles/PMC6119462/pdf/ ; 403 text/html; charset=UTF-8 https://doi.org/10.7717/peerj.5518 ; 200 text/html;charset=UTF-8 https://research.wur.nl/en/publications/random-forest-as-a-generic-framework-for-predictive-modeling-of-s ; 200 text/html; charset=UTF-8 https://arbor.bfh.ch/8184/ ; 403 text/html; charset=UTF-8 https://doaj.org/article/4bfec830fe31433dbe828a0831e83544 ; 404 text/html;charset=UTF-8 http://europepmc.org/pmc/articles/PMC6119462 ; 403 text/html; charset=UTF-8 https://peerj.com/articles/5518/#supplemental-information ; 200 text/html; charset=utf-8 https://www.ncbi.nlm.nih.gov/pmc/articles/6119462 ; 202 text/html; charset=UTF-8 https://doi.org/10.24451/arbor.8184
10.1111/ejss.12687					no_oa_url	Unpaywall: aucune version open access connue
10.3390/ijgi9100587					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html https://www.mdpi.com/2220-9964/9/10/587/pdf?version=1603721211 ; 403 text/html; charset=UTF-8 https://doaj.org/article/11ead2c8b3f441958c52fe9c91edfe33 ; 403 text/html https://dx.doi.org/10.3390/ijgi9100587
10.2991/assehr.k.201214.522					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 200 text/html;charset=utf-8 https://doi.org/10.2991/assehr.k.201214.522
10.1080/24694452.2024.2350982					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://www.tandfonline.com/doi/pdf/10.1080/24694452.2024.2350982?needAccess=true
10.1111/j.0002-9092.2004.00610.x					no_oa_url	Unpaywall: aucune version open access connue
10.1007/s11119-004-6344-3					no_oa_url	Unpaywall: aucune version open access connue
10.1016/j.fcr.2020.107783					no_oa_url	Unpaywall: aucune version open access connue
10.1016/j.fcr.2022.108477					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 202 text/html; charset=UTF-8 http://hdl.handle.net/20.500.11937/87925
10.1080/24694452.2026.2648327					no_oa_url	Unpaywall: aucune version open access connue
10.3390/rs12101687					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html https://www.mdpi.com/2072-4292/12/10/1687/pdf?version=1590483202 ; 200 text/html;charset=UTF-8 https://research.wur.nl/en/publications/random-forest-spatial-interpolation ; 403 text/html; charset=UTF-8 https://doaj.org/article/7dece9a19db7478f87bb8d165be54b10 ; 403 text/html https://www.mdpi.com/2072-4292/12/10/1687 ; 403 text/html https://dx.doi.org/10.3390/rs12101687
10.3390/ijgi11040242					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html https://www.mdpi.com/2220-9964/11/4/242/pdf?version=1649398052 ; 403 text/html https://dx.doi.org/10.3390/ijgi11040242
10.1007/s13253-022-00512-3					no_oa_url	Unpaywall: aucune version open access connue
10.4230/LIPIcs.GIScience.2023.11					no_oa_url	Unpaywall HTTP 404
10.1111/exsy.13747					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/exsy.13747
10.1007/s10651-026-00728-3					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 200 text/html; charset=utf-8 https://link.springer.com/content/pdf/10.1007/s10651-026-00728-3.pdf
10.1016/j.tourman.2021.104319					not_downloaded	Aucune URL OA n'a renvoye un PDF. Tentatives: 403 text/html; charset=UTF-8 https://www.sciencedirect.com/science/article/pii/S0261517721000388/pdf
10.1016/j.apgeog.2019.102136					no_oa_url	Unpaywall: aucune version open access connue
10.1177/1354816618825415					no_oa_url	Unpaywall: aucune version open access connue
10.1177/0894439307298925					no_oa_url	Unpaywall: aucune version open access connue
10.1007/s10109-008-0073-5					no_oa_url	Unpaywall: aucune version open access connue
