category;bib_key;title;dataset_doi;data_access_url;note
telecharge_sans_geometrie_exploitable;Warehouse_2025_SpatialAdaptiveSelectionUsing_10_6084_m9_figsh;Spatial Adaptive Selection using Binary Conditional Autoregressive Model with Application to Brain-Computer Interface;10.6084/m9.figshare.28908299;https://tandf.figshare.com/articles/dataset/Spatial_Adaptive_Selection_using_Binary_Conditional_Autoregressive_Model_with_Application_to_Brain-Computer_Interface/28908299;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
depot_non_gere_automatiquement;Warehouse_2012_ReplicationDataForA_10_3886_e112541v;Replication data for: A Rational Expectations Approach to Hedonic Price Regressions with Time-Varying Unobserved Product Attributes: The Price of Pollution;10.3886/e112541v1;https://www.openicpsr.org/openicpsr/project/112541/version/V1/view;
depot_non_gere_automatiquement;Warehouse_2020_SuperconductingGravimeterDataFrom_10_5880_igets_la;Superconducting Gravimeter Data from Larzac Observatory - Level 1;10.5880/igets.la.l1.001;https://dataservices.gfz.de/igets/showshort.php?id=0bd2b336-c0f5-11ea-9603-497c92695674;
depot_non_gere_automatiquement;Warehouse_2017_SuperconductingGravimeterDataFrom_10_5880_igets_st;Superconducting Gravimeter Data from Strasbourg - Level 1;10.5880/igets.st.l1.001;http://dataservices.gfz.de/igets/showshort.php?id=escidoc:2308899;
depot_non_gere_automatiquement;Warehouse_2019_LocalEcologicalNicheModels_10_5066_p91v2s8c;Local ecological niche models, genotype associations and environmental data for desert tortoises.;10.5066/p91v2s8c;https://www.sciencebase.gov/catalog/item/5cb0e0e5e4b0c3b0065741e7;
telecharge_sans_geometrie_exploitable;Warehouse_2025_SpatialWeightsMatrixSelection_10_6084_m9_figsh;Spatial weights matrix selection and model averaging for multivariate spatial autoregressive models;10.6084/m9.figshare.30219127;https://tandf.figshare.com/articles/dataset/Spatial_weights_matrix_selection_and_model_averaging_for_multivariate_spatial_autoregressive_models/30219127;aucun fichier vecteur, coordonnee ou code administratif reconnaissable trouve
echec_telechargement;Warehouse_2025_DataFromSpatialHeterogeneity_10_5061_dryad_47;Data from: Spatial heterogeneity of habitat selection of large carnivores and their ungulate prey in proximity to roads;10.5061/dryad.47d7wm3p6;https://datadryad.org/dataset/doi:10.5061/dryad.47d7wm3p6;
telecharge_sans_geometrie_exploitable;Warehouse_2026_ArboviralDiseaseCasesIn_10_5281_zenodo_1;Arboviral Disease Cases in Recife, Brazil (2013–2025): Clean and Geocoded Dataset;10.5281/zenodo.17849495;https://zenodo.org/doi/10.5281/zenodo.17849495;code(s) administratif(s) detecte(s) sans geometrie directe - necessite une jointure vers un referentiel externe (GEOID/FIPS/IBGE/sigungu/code postal s
erreur_api_listing;Warehouse_2011_Mdd1982Csv_10_7910_dvn_l99p;mdd1982.csv;10.7910/dvn/l99p1o/whfmee;https://dataverse.harvard.edu/file.xhtml?persistentId=doi:10.7910/DVN/L99P1O/WHFMEE;
depot_non_gere_automatiquement;Warehouse_2019_SouthAfricanMeanAnnual_10_15493_dea_car;South African Mean Annual Precipitation at a 1000m grid;10.15493/dea.carbon.10000134;https://api.odp.saeon.ac.za/catalog/SAEON/go/10.15493/DEA.CARBON.10000134;
